Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
start - v1.0.0,6/1/2014,7/11/2015,1,1,1,2,2,2,2,3,4,4,5,23,51,77,77
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,1,1,1,1,1,1,1,2,3,4,7,7,7,7,7
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,1,1,1,1,1,3,3,3,3,3,7,10,10,10,10
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,1,1,2,3,3,3,4,5,6,6,8,16,16,16,16
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,1,2,2,2,2,3,3,3,4,5,9,17,17,17,17
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,1,2,3,3,3,5,6,6,7,8,8,18,24,24,24
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,1,2,3,3,3,6,7,8,9,9,13,24,37,37,37
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,1,1,1,2,3,5,7,9,11,12,16,26,34,34,34
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,1,1,1,2,3,5,6,8,10,11,17,30,39,39,39
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,0,1,2,3,3,7,8,9,10,12,19,29,40,40,40
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,1,1,2,3,4,7,8,9,11,13,20,31,39,39,39
v1.10.0 - now,3/26/2018,4/23/2018,1,2,2,3,4,6,9,12,16,18,23,31,31,31,31
