Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
start - v1.0.0,6/1/2014,7/11/2015,72.1%,90.5%,91.8%,92.7%,93.4%,95.1%,95.9%,96.5%,96.9%,97.1%,97.5%,97.7%,97.7%,97.7%,97.7%
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,93.4%,95.7%,97.9%,98.9%,99.3%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,86.3%,91.2%,94.5%,95.3%,95.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,69.3%,78.3%,86.7%,90.4%,93.1%,96.0%,96.4%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,66.3%,76.7%,83.6%,89.9%,93.1%,95.8%,96.9%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,53.1%,64.6%,75.4%,82.7%,85.7%,92.5%,94.0%,94.7%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,44.5%,59.2%,68.4%,73.2%,77.0%,86.6%,90.6%,92.6%,93.6%,93.9%,94.1%,94.1%,94.1%,94.1%,94.1%
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,49.8%,62.1%,67.6%,70.6%,72.8%,82.0%,86.7%,89.3%,90.8%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,45.9%,59.7%,63.5%,66.2%,69.0%,78.2%,82.7%,86.0%,88.2%,89.5%,90.0%,90.0%,90.0%,90.0%,90.0%
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,30.8%,43.2%,48.5%,53.0%,57.6%,72.0%,77.8%,81.1%,83.2%,84.2%,84.8%,84.8%,84.8%,84.8%,84.8%
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,21.8%,39.8%,53.1%,60.6%,66.0%,80.5%,86.5%,89.8%,91.7%,92.8%,93.4%,93.4%,93.4%,93.4%,93.4%
v1.10.0 - now,3/26/2018,4/23/2018,24.5%,36.9%,47.4%,57.5%,62.0%,76.3%,83.1%,88.0%,90.7%,91.5%,91.6%,91.6%,91.6%,91.6%,91.6%
