Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
start - v1.0.0,6/1/2014,7/11/2015,1,1,1,2,2,3,3,5,5,7,20,56,139,232
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,1,1,1,1,1,2,3,4,4,9,25,69,149,158
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,1,1,1,1,1,2,4,4,4,6,20,46,145,256
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,1,1,2,3,4,4,5,6,7,7,23,52,138,242
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,1,2,2,2,3,3,3,4,5,9,16,40,121,236
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,1,2,3,3,5,5,6,7,8,9,17,41,129,264
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,1,2,2,3,6,7,7,7,8,14,22,48,164,315
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,1,2,2,3,5,6,7,9,10,14,29,52,157,292
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,1,1,2,2,4,7,8,11,13,19,31,49,148,298
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,1,1,1,3,8,9,11,12,14,18,26,44,140,256
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,1,2,3,5,6,10,11,13,16,21,30,45,112,206
v1.10.0 - now,3/26/2018,4/13/2018,1,2,3,5,7,9,11,12,13,20,36,52,93,129
