Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
start - v1.0.0,6/1/2014,7/11/2015,12.2%,20.4%,26.1%,30.9%,35.1%,51.9%,61.1%,67.2%,72.0%,76.2%,88.4%,97.1%,99.4%,100.0%,100.0%
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,9.3%,16.2%,23.1%,29.0%,35.0%,58.1%,72.4%,83.5%,91.8%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,12.7%,19.0%,24.6%,29.6%,33.9%,51.5%,65.5%,76.1%,84.0%,89.4%,98.1%,100.0%,100.0%,100.0%,100.0%
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,12.9%,20.9%,28.6%,33.5%,37.2%,53.4%,64.9%,74.3%,82.1%,87.2%,96.7%,100.0%,100.0%,100.0%,100.0%
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,10.4%,16.4%,21.9%,26.9%,31.1%,45.1%,54.6%,62.4%,69.0%,75.2%,89.6%,99.8%,100.0%,100.0%,100.0%
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,5.4%,10.6%,15.1%,19.4%,23.7%,37.9%,48.3%,57.0%,64.6%,70.6%,86.5%,98.4%,100.0%,100.0%,100.0%
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,9.0%,12.8%,15.9%,18.9%,21.7%,33.8%,43.3%,51.5%,58.5%,63.9%,79.7%,96.6%,100.0%,100.0%,100.0%
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,19.9%,23.4%,26.6%,29.6%,31.8%,42.3%,51.5%,58.7%,64.6%,69.2%,82.8%,97.6%,100.0%,100.0%,100.0%
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,12.8%,18.6%,23.3%,27.1%,29.8%,41.1%,49.5%,56.5%,61.8%,66.2%,80.2%,95.6%,100.0%,100.0%,100.0%
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,6.9%,12.7%,17.3%,21.8%,25.4%,38.5%,48.1%,55.6%,61.6%,66.6%,80.2%,96.1%,100.0%,100.0%,100.0%
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,6.7%,13.3%,18.7%,23.6%,27.4%,42.3%,50.9%,57.6%,63.3%,68.6%,83.7%,96.9%,100.0%,100.0%,100.0%
v1.10.0 - now,3/26/2018,4/23/2018,10.5%,16.6%,22.6%,27.1%,31.4%,48.3%,59.6%,66.9%,72.3%,76.7%,89.6%,100.0%,100.0%,100.0%,100.0%
