Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
start - v1.0.0,2014-06-01,2015-07-11,9.8%,16.9%,22.7%,31.6%,47.7%,57.5%,63.5%,68.6%,72.8%,82.7%,91.1%,95.2%,98.5%,100.0%
v1.0.0 - v1.1.0,2015-07-11,2015-09-25,6.3%,11.2%,15.8%,23.4%,37.6%,47.3%,55.4%,62.2%,67.7%,80.0%,88.7%,94.1%,99.2%,100.0%
v1.1.0 - v1.2.0,2015-09-25,2016-03-16,4.5%,8.1%,11.3%,17.2%,29.9%,39.5%,47.2%,53.4%,58.6%,73.4%,85.9%,91.8%,96.7%,99.5%
v1.2.0 - v1.3.0,2016-03-16,2016-07-01,3.6%,7.1%,10.6%,16.5%,27.7%,36.8%,43.6%,49.3%,54.5%,67.9%,80.7%,88.5%,95.0%,98.9%
v1.3.0 - v1.4.0,2016-07-01,2016-09-26,6.4%,9.2%,11.7%,15.9%,24.2%,31.0%,36.8%,41.8%,45.6%,57.8%,75.4%,86.1%,93.7%,97.9%
v1.4.0 - v1.5.0,2016-09-26,2016-12-12,3.4%,6.6%,9.5%,14.0%,23.2%,30.4%,36.5%,41.6%,45.9%,58.4%,74.0%,84.0%,92.3%,97.0%
v1.5.0 - v1.6.0,2016-12-12,2017-03-28,4.0%,7.5%,9.6%,13.4%,21.1%,27.0%,31.8%,36.0%,39.8%,51.5%,68.3%,80.0%,89.5%,94.6%
v1.6.0 - v1.7.0,2017-03-28,2017-06-29,6.6%,8.8%,10.9%,14.5%,21.6%,27.4%,32.3%,36.7%,40.6%,51.9%,67.0%,78.3%,87.5%,93.0%
v1.7.0 - v1.8.0,2017-06-29,2017-09-28,4.7%,8.1%,10.4%,13.9%,20.3%,25.8%,30.6%,34.9%,38.6%,48.4%,63.4%,76.5%,86.8%,92.7%
v1.8.0 - v1.9.0,2017-09-28,2017-12-15,3.0%,5.8%,8.1%,11.5%,18.1%,23.7%,28.3%,32.4%,36.0%,46.7%,61.3%,73.7%,84.1%,90.7%
v1.9.0 - v1.10.0,2017-12-15,2018-03-26,2.3%,4.0%,5.5%,8.3%,13.9%,17.8%,21.4%,24.7%,27.6%,37.0%,50.9%,64.4%,77.1%,85.0%
v1.10.0 - now,2018-03-26,2018-04-12,2.8%,5.3%,7.2%,10.4%,16.2%,20.7%,24.6%,28.0%,30.9%,40.6%,55.2%,69.1%,85.6%,96.8%
