Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,1/13/2016,1/23/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Since joining CNCF,1/23/2017,4/17/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy"
2016,1/13/2016,1/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
2017,1/1/2017,1/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
2018,1/1/2018,4/17/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Hackbright Academy","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI","Buoyant,Code Coup,Hackbright Academy,NCBI"
02/2016,2/1/2016,3/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
03/2016,3/1/2016,4/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
04/2016,4/1/2016,5/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
05/2016,5/1/2016,6/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
06/2016,6/1/2016,7/1/2016,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant
07/2016,7/1/2016,8/1/2016,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant
08/2016,8/1/2016,9/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
09/2016,9/1/2016,10/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
10/2016,10/1/2016,11/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
11/2016,11/1/2016,12/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
12/2016,12/1/2016,1/1/2017,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant,Buoyant
01/2017,1/1/2017,2/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
02/2017,2/1/2017,3/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
03/2017,3/1/2017,4/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
04/2017,4/1/2017,5/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
05/2017,5/1/2017,6/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
06/2017,6/1/2017,7/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
07/2017,7/1/2017,8/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
08/2017,8/1/2017,9/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
09/2017,9/1/2017,10/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
10/2017,10/1/2017,11/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
11/2017,11/1/2017,12/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
12/2017,12/1/2017,1/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
01/2018,1/1/2018,2/1/2018,Buoyant,"Buoyant,Hackbright Academy","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup"
02/2018,2/1/2018,3/1/2018,Buoyant,"Buoyant,NCBI","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup"
03/2018,3/1/2018,4/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
04/2018,4/1/2018,5/1/2018,Buoyant,"Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy"
Quarter from 01/2016,1/1/2016,4/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 04/2016,4/1/2016,7/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 07/2016,7/1/2016,10/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 10/2016,10/1/2016,1/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 01/2017,1/1/2017,4/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 04/2017,4/1/2017,7/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 07/2017,7/1/2017,10/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 10/2017,10/1/2017,1/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
Quarter from 01/2018,1/1/2018,4/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy","Buoyant,Code Coup,NCBI,Hackbright Academy"
Quarter from 04/2018,4/1/2018,7/1/2018,Buoyant,"Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy"
