Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/13/2016,1/23/2017,88.5%,95.0%,96.3%,96.6%,96.8%,97.4%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
Since joining CNCF,1/23/2017,4/17/2018,76.4%,89.1%,89.7%,90.1%,90.4%,91.3%,91.9%,92.2%,92.5%,92.6%,92.9%,92.9%,92.9%,92.9%,92.9%
2016,1/13/2016,1/1/2017,88.8%,95.1%,96.4%,96.7%,96.9%,97.5%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
2017,1/1/2017,1/1/2018,77.9%,90.7%,91.2%,91.6%,91.9%,92.7%,93.2%,93.5%,93.7%,93.8%,94.0%,94.0%,94.0%,94.0%,94.0%
2018,1/1/2018,4/17/2018,68.9%,78.3%,80.6%,82.3%,83.5%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
02/2016,2/1/2016,3/1/2016,85.8%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%
03/2016,3/1/2016,4/1/2016,93.4%,99.4%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
04/2016,4/1/2016,5/1/2016,87.5%,99.6%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
05/2016,5/1/2016,6/1/2016,91.6%,97.7%,98.2%,98.4%,98.6%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%
06/2016,6/1/2016,7/1/2016,95.6%,96.5%,97.4%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
07/2016,7/1/2016,8/1/2016,93.5%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
08/2016,8/1/2016,9/1/2016,84.1%,93.0%,95.5%,96.5%,97.0%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
09/2016,9/1/2016,10/1/2016,88.6%,92.6%,94.0%,95.4%,96.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
10/2016,10/1/2016,11/1/2016,78.6%,89.5%,90.2%,91.0%,91.4%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%
11/2016,11/1/2016,12/1/2016,81.0%,91.1%,92.4%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
12/2016,12/1/2016,1/1/2017,94.5%,95.8%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%
01/2017,1/1/2017,2/1/2017,88.7%,95.1%,96.4%,97.1%,97.4%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
02/2017,2/1/2017,3/1/2017,88.3%,93.0%,95.3%,95.9%,96.5%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
03/2017,3/1/2017,4/1/2017,80.4%,82.0%,83.0%,83.5%,84.0%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%
04/2017,4/1/2017,5/1/2017,71.5%,89.8%,90.6%,91.2%,91.6%,93.1%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%
05/2017,5/1/2017,6/1/2017,80.6%,91.6%,92.4%,93.2%,93.8%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
06/2017,6/1/2017,7/1/2017,79.4%,93.3%,93.8%,94.3%,94.5%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
07/2017,7/1/2017,8/1/2017,74.7%,93.7%,94.3%,94.4%,94.6%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
08/2017,8/1/2017,9/1/2017,75.6%,87.7%,90.2%,91.0%,91.5%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%
09/2017,9/1/2017,10/1/2017,80.7%,88.4%,90.7%,91.9%,92.3%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%
10/2017,10/1/2017,11/1/2017,77.1%,79.6%,82.2%,83.4%,84.1%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%
11/2017,11/1/2017,12/1/2017,57.9%,87.1%,88.6%,89.3%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
12/2017,12/1/2017,1/1/2018,61.3%,90.0%,92.2%,92.6%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
01/2018,1/1/2018,2/1/2018,79.2%,85.4%,90.8%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%
02/2018,2/1/2018,3/1/2018,69.7%,74.2%,78.1%,81.3%,82.6%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%
03/2018,3/1/2018,4/1/2018,56.1%,76.1%,78.1%,79.4%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
04/2018,4/1/2018,5/1/2018,82.1%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
Quarter from 01/2016,1/1/2016,4/1/2016,90.8%,99.0%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
Quarter from 04/2016,4/1/2016,7/1/2016,90.6%,98.3%,98.6%,98.7%,98.9%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
Quarter from 07/2016,7/1/2016,10/1/2016,88.6%,94.0%,95.4%,96.0%,96.5%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
Quarter from 10/2016,10/1/2016,1/1/2017,83.7%,91.7%,92.2%,92.7%,93.0%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
Quarter from 01/2017,1/1/2017,4/1/2017,87.1%,92.1%,92.8%,93.5%,93.9%,95.0%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
Quarter from 04/2017,4/1/2017,7/1/2017,77.1%,91.5%,92.1%,92.4%,92.7%,93.6%,94.2%,94.5%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
Quarter from 07/2017,7/1/2017,10/1/2017,76.3%,90.6%,91.7%,92.4%,92.9%,93.4%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
Quarter from 10/2017,10/1/2017,1/1/2018,65.1%,86.1%,87.1%,87.9%,88.2%,89.4%,90.3%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%
Quarter from 01/2018,1/1/2018,4/1/2018,67.7%,78.0%,79.8%,81.6%,83.0%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%
Quarter from 04/2018,4/1/2018,7/1/2018,82.1%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
