Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,1/13/2016,1/23/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,HomeAway.com","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA","Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo,Microsoft,Wheely,Radicore AB,Strava,Ping Identity,DVLA"
Since joining CNCF,1/23/2017,4/17/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Conductor","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce,Cockroach Labs,Morten Fangel,Fixate IO,Credit Karma,Postmates","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce,Cockroach Labs,Morten Fangel,Fixate IO,Credit Karma,Postmates,ResearchGate,Eight-s,Strava,Box,Cerner,Allmyles,AVAST Software,Active Shadow,Cisco,Walt Disney,Kickback","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce,Cockroach Labs,Morten Fangel,Fixate IO,Credit Karma,Postmates,ResearchGate,Eight-s,Strava,Box,Cerner,Allmyles,AVAST Software,Active Shadow,Cisco,Walt Disney,Kickback","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce,Cockroach Labs,Morten Fangel,Fixate IO,Credit Karma,Postmates,ResearchGate,Eight-s,Strava,Box,Cerner,Allmyles,AVAST Software,Active Shadow,Cisco,Walt Disney,Kickback","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce,Cockroach Labs,Morten Fangel,Fixate IO,Credit Karma,Postmates,ResearchGate,Eight-s,Strava,Box,Cerner,Allmyles,AVAST Software,Active Shadow,Cisco,Walt Disney,Kickback","Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,Planet Labs,CNCF,Ellumia,NumberFour AG,Google,HomeAdvisor,Form3 Financial Cloud,CloudHealth Technologies,Fitbit,Intelerad Medical Systems,Variomedia AG,PrestaShop,Styra,Facebook,SalesForce,Cockroach Labs,Morten Fangel,Fixate IO,Credit Karma,Postmates,ResearchGate,Eight-s,Strava,Box,Cerner,Allmyles,AVAST Software,Active Shadow,Cisco,Walt Disney,Kickback"
2016,1/13/2016,1/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,ComScore","Buoyant,Code Coup,NCBI,ComScore,Ellumia","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA","Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft,Grovo,Ping Identity,Radicore AB,Wheely,Strava,DVLA"
2017,1/1/2017,1/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Conductor","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava,Active Shadow,Allmyles,Box,Cerner,Cisco","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava,Active Shadow,Allmyles,Box,Cerner,Cisco,Credit Karma,Eight-s,Fixate IO,Kickback,Morten Fangel,Postmates,ResearchGate,Walt Disney","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava,Active Shadow,Allmyles,Box,Cerner,Cisco,Credit Karma,Eight-s,Fixate IO,Kickback,Morten Fangel,Postmates,ResearchGate,Walt Disney","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava,Active Shadow,Allmyles,Box,Cerner,Cisco,Credit Karma,Eight-s,Fixate IO,Kickback,Morten Fangel,Postmates,ResearchGate,Walt Disney","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava,Active Shadow,Allmyles,Box,Cerner,Cisco,Credit Karma,Eight-s,Fixate IO,Kickback,Morten Fangel,Postmates,ResearchGate,Walt Disney","Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF,Ellumia,Google,NumberFour AG,HomeAdvisor,Intelerad Medical Systems,Fitbit,CloudHealth Technologies,Form3 Financial Cloud,Styra,Facebook,PrestaShop,Cockroach Labs,SalesForce,Hackbright Academy,Strava,Active Shadow,Allmyles,Box,Cerner,Cisco,Credit Karma,Eight-s,Fixate IO,Kickback,Morten Fangel,Postmates,ResearchGate,Walt Disney"
2018,1/1/2018,4/17/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Hackbright Academy","Buoyant,Code Coup,Hackbright Academy,HomeAway.com","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software"
02/2016,2/1/2016,3/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup","Buoyant,Code Coup"
03/2016,3/1/2016,4/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit"
04/2016,4/1/2016,5/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit"
05/2016,5/1/2016,6/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Ellumia","Buoyant,Code Coup,Ellumia,Strava","Buoyant,Code Coup,Ellumia,Strava,DVLA","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB","Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB"
06/2016,6/1/2016,7/1/2016,Buoyant,"Buoyant,Grovo","Buoyant,Grovo,Code Coup","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia","Buoyant,Grovo,Code Coup,Ellumia"
