Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,1/13/2016,1/23/2017,32.9%,64.0%,73.1%,79.6%,86.1%,96.3%,97.4%,97.9%,98.2%,98.5%,99.2%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,1/23/2017,4/17/2018,19.7%,34.9%,47.6%,58.7%,67.5%,88.3%,90.7%,91.8%,92.5%,93.1%,94.7%,97.2%,99.5%,100.0%,100.0%
2016,1/13/2016,1/1/2017,32.9%,64.2%,73.8%,80.2%,86.4%,96.4%,97.5%,98.0%,98.3%,98.6%,99.2%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,19.4%,33.7%,47.4%,60.2%,69.2%,90.4%,92.0%,92.8%,93.5%,94.1%,95.7%,97.9%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,28.4%,42.0%,51.4%,59.5%,65.8%,80.8%,87.9%,91.4%,93.5%,94.6%,98.7%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,21.9%,39.1%,53.3%,65.7%,78.1%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,28.2%,56.5%,72.4%,87.7%,93.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,30.1%,54.4%,74.1%,86.2%,91.8%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,38.0%,75.6%,81.8%,87.7%,91.8%,98.4%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,32.5%,60.1%,85.1%,89.9%,94.3%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,48.6%,81.6%,87.6%,91.9%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
