Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2016,1/1/2016,4/1/2016,90.8%,99.0%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
Quarter from 04/2016,4/1/2016,7/1/2016,90.6%,98.3%,98.6%,98.7%,98.9%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
Quarter from 07/2016,7/1/2016,10/1/2016,88.6%,94.0%,95.4%,96.0%,96.5%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
Quarter from 10/2016,10/1/2016,1/1/2017,83.7%,91.7%,92.2%,92.7%,93.0%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
Quarter from 01/2017,1/1/2017,4/1/2017,87.1%,92.1%,92.8%,93.5%,93.9%,95.0%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
Quarter from 04/2017,4/1/2017,7/1/2017,77.1%,91.5%,92.1%,92.4%,92.7%,93.6%,94.2%,94.5%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
Quarter from 07/2017,7/1/2017,10/1/2017,76.3%,90.6%,91.7%,92.4%,92.9%,93.4%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
Quarter from 10/2017,10/1/2017,1/1/2018,65.1%,86.1%,87.1%,87.9%,88.2%,89.4%,90.3%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%
Quarter from 01/2018,1/1/2018,4/1/2018,67.7%,78.0%,79.8%,81.6%,83.0%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%
Quarter from 04/2018,4/1/2018,7/1/2018,82.1%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
