Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,1/2/2014,3/15/2018,Apcera,"Apcera,Synadia","Apcera,Synadia,Workiva","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic","Apcera,Synadia,Workiva,Automatic"
Since joining CNCF,3/15/2018,4/17/2018,Synadia,"Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera"
2014,1/2/2014,1/1/2015,Apcera,"Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic"
2015,1/1/2015,1/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic","Apcera,Synadia,Automatic"
2016,1/1/2016,1/1/2017,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
2017,1/1/2017,1/1/2018,Synadia,"Synadia,Apcera","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva","Synadia,Apcera,Workiva"
2018,1/1/2018,4/17/2018,Synadia,"Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera","Synadia,Apcera"
01/2014,1/1/2014,2/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
02/2014,2/1/2014,3/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
03/2014,3/1/2014,4/1/2014,,,,,,,,,,,,,,,
04/2014,4/1/2014,5/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
05/2014,5/1/2014,6/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
06/2014,6/1/2014,7/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
07/2014,7/1/2014,8/1/2014,Apcera,"Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic"
08/2014,8/1/2014,9/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
09/2014,9/1/2014,10/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
10/2014,10/1/2014,11/1/2014,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
11/2014,11/1/2014,12/1/2014,Apcera,"Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic","Apcera,Automatic"
12/2014,12/1/2014,1/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
01/2015,1/1/2015,2/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
02/2015,2/1/2015,3/1/2015,Automatic,"Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera"
03/2015,3/1/2015,4/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
04/2015,4/1/2015,5/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
05/2015,5/1/2015,6/1/2015,Automatic,"Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera","Automatic,Apcera"
06/2015,6/1/2015,7/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
07/2015,7/1/2015,8/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
08/2015,8/1/2015,9/1/2015,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
09/2015,9/1/2015,10/1/2015,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera,Apcera
10/2015,10/1/2015,11/1/2015,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
11/2015,11/1/2015,12/1/2015,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
12/2015,12/1/2015,1/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
01/2016,1/1/2016,2/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
02/2016,2/1/2016,3/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
03/2016,3/1/2016,4/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
04/2016,4/1/2016,5/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
05/2016,5/1/2016,6/1/2016,Apcera,"Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia","Apcera,Synadia"
