Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,60.0%,72.0%,84.0%,88.0%,92.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,64.3%,81.0%,88.1%,92.9%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,57.7%,67.0%,74.2%,78.4%,81.4%,92.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,63.2%,72.6%,82.1%,87.4%,91.6%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,38.5%,55.4%,67.7%,76.9%,81.5%,90.8%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,82.4%,87.4%,92.4%,95.0%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,65.0%,72.8%,80.3%,81.9%,83.2%,89.0%,92.2%,93.9%,95.5%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,23.4%,46.1%,61.2%,74.2%,84.9%,92.0%,93.9%,95.6%,96.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,23.7%,39.0%,52.8%,63.3%,73.3%,93.8%,95.2%,96.0%,96.9%,97.7%,99.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,25.1%,41.9%,55.2%,66.9%,78.4%,88.1%,90.4%,91.9%,93.3%,94.3%,96.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,30.8%,54.0%,67.0%,73.3%,79.2%,90.8%,92.4%,93.6%,94.6%,95.4%,97.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,28.7%,55.4%,64.6%,72.6%,79.8%,89.4%,91.3%,92.7%,93.9%,94.9%,97.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,28.9%,45.4%,56.2%,64.1%,71.9%,88.7%,91.2%,92.6%,93.6%,94.5%,96.6%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,32.0%,47.6%,59.1%,69.5%,74.8%,86.7%,88.8%,90.4%,91.7%,92.7%,96.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,42.9%,55.5%,67.0%,72.6%,77.7%,88.9%,90.7%,91.9%,92.9%,94.0%,96.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,34.5%,51.4%,62.8%,71.5%,75.5%,83.0%,85.4%,87.4%,89.1%,90.4%,94.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,39.2%,56.9%,70.7%,84.0%,87.4%,89.4%,91.0%,92.1%,92.9%,93.7%,96.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,32.1%,58.7%,69.7%,78.0%,84.4%,94.5%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
