Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,6/22/2015,10/24/2017,Docker,"Docker,Huawei","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat,Microsoft","Docker,Huawei,Red Hat,Microsoft,Facebook","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse","Docker,Huawei,Red Hat,Microsoft,Facebook,IBM,VMware,CNCF,SERPRO,Debian,DPI Animation House,Google,Cloudflare,Ben Hall,Return Path,Quiq,OpenBet,Netlify,Credit Suisse"
Since joining CNCF,10/24/2017,4/17/2018,Docker,"Docker,Huawei","Docker,Huawei,IBM","Docker,Huawei,IBM,CNCF","Docker,Huawei,IBM,CNCF,Red Hat","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House","Docker,Huawei,IBM,CNCF,Red Hat,DPI Animation House"
2015,6/22/2015,1/1/2016,Docker,"Docker,Microsoft","Docker,Microsoft,Huawei","Docker,Microsoft,Huawei,Red Hat","Docker,Microsoft,Huawei,Red Hat,Facebook","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse","Docker,Microsoft,Huawei,Red Hat,Facebook,Netlify,Credit Suisse"
2016,1/1/2016,1/1/2017,Docker,"Docker,Huawei","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat,Debian","Docker,Huawei,Red Hat,Debian,SERPRO","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare","Docker,Huawei,Red Hat,Debian,SERPRO,Google,Microsoft,Ben Hall,Return Path,OpenBet,DPI Animation House,Cloudflare"
2017,1/1/2017,1/1/2018,Docker,"Docker,Red Hat","Docker,Red Hat,IBM","Docker,Red Hat,IBM,Huawei","Docker,Red Hat,IBM,Huawei,VMware","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft","Docker,Red Hat,IBM,Huawei,VMware,CNCF,DPI Animation House,Quiq,Microsoft"
2018,1/1/2018,4/17/2018,Docker,"Docker,Huawei","Docker,Huawei,CNCF","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM","Docker,Huawei,CNCF,IBM"
06/2015,6/1/2015,7/1/2015,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker
07/2015,7/1/2015,8/1/2015,Docker,"Docker,Microsoft","Docker,Microsoft,Facebook","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify"
08/2015,8/1/2015,9/1/2015,Docker,"Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft"
09/2015,9/1/2015,10/1/2015,Docker,"Docker,Red Hat","Docker,Red Hat,Microsoft","Docker,Red Hat,Microsoft,Huawei","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse"
