Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,6/22/2015,10/24/2017,25.1%,48.5%,69.1%,81.5%,84.6%,91.2%,93.3%,94.6%,95.5%,96.1%,97.7%,99.5%,100.0%,100.0%,100.0%
Since joining CNCF,10/24/2017,4/17/2018,25.4%,46.4%,57.1%,65.2%,71.0%,83.0%,88.4%,92.4%,94.6%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2015,6/22/2015,1/1/2016,29.5%,52.0%,71.3%,78.9%,85.1%,94.9%,97.9%,98.8%,99.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,38.8%,64.1%,83.5%,88.9%,92.8%,95.9%,97.0%,97.7%,98.3%,98.6%,99.7%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,34.1%,47.1%,58.8%,62.8%,65.5%,73.9%,79.8%,84.8%,88.7%,91.5%,98.0%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,31.1%,49.7%,65.6%,71.5%,76.8%,86.1%,92.7%,96.0%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,50.0%,80.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,43.4%,62.5%,77.8%,89.2%,93.8%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,33.9%,55.9%,71.2%,84.7%,91.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,17.6%,35.3%,47.1%,58.8%,70.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,41.0%,69.4%,83.8%,88.4%,91.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,54.9%,77.5%,90.1%,92.5%,94.4%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,46.0%,70.1%,81.8%,89.1%,94.9%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,32.9%,58.8%,77.9%,89.5%,93.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,40.3%,70.0%,84.2%,96.8%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,35.9%,67.6%,95.2%,97.8%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,48.4%,79.3%,96.6%,98.2%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,34.9%,66.3%,89.8%,93.4%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,50.0%,71.2%,81.1%,84.1%,87.1%,94.7%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,39.9%,69.7%,81.3%,87.4%,90.9%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,53.5%,70.2%,81.4%,87.0%,92.6%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,37.7%,65.0%,84.7%,89.1%,90.7%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,31.1%,56.3%,80.6%,91.3%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,52.1%,81.7%,88.7%,93.0%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,38.5%,59.0%,76.9%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,25.9%,38.9%,50.0%,61.1%,70.4%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,53.7%,70.7%,80.5%,87.8%,92.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,68.0%,80.0%,84.0%,88.0%,92.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,41.7%,55.6%,66.7%,77.8%,83.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,23.8%,41.2%,53.8%,62.5%,68.8%,93.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,33.3%,41.7%,50.0%,58.3%,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,31.0%,54.8%,73.8%,81.0%,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,29.2%,47.9%,56.2%,64.6%,72.9%,89.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,42.3%,61.5%,76.9%,84.6%,88.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,55.6%,64.8%,70.4%,75.9%,79.6%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,43.5%,65.2%,78.3%,82.6%,87.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,27.6%,44.8%,55.2%,65.5%,72.4%,93.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,17.6%,35.3%,52.9%,64.7%,70.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,35.0%,67.5%,80.0%,85.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,25.0%,47.5%,67.5%,77.5%,82.5%,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,44.4%,70.4%,79.6%,85.2%,88.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,50.0%,80.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,40.5%,60.7%,75.1%,87.1%,91.2%,98.9%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
