Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
06/2015,6/1/2015,7/1/2015,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker
07/2015,7/1/2015,8/1/2015,Docker,"Docker,Microsoft","Docker,Microsoft,Facebook","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify","Docker,Microsoft,Facebook,Netlify"
08/2015,8/1/2015,9/1/2015,Docker,"Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft","Docker,Microsoft"
09/2015,9/1/2015,10/1/2015,Docker,"Docker,Red Hat","Docker,Red Hat,Microsoft","Docker,Red Hat,Microsoft,Huawei","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse","Docker,Red Hat,Microsoft,Huawei,Credit Suisse"
10/2015,10/1/2015,11/1/2015,Docker,"Docker,Red Hat","Docker,Red Hat,Huawei","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft"
11/2015,11/1/2015,12/1/2015,Docker,"Docker,Red Hat","Docker,Red Hat,Huawei","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft"
12/2015,12/1/2015,1/1/2016,Docker,"Docker,Huawei","Docker,Huawei,Microsoft","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat","Docker,Huawei,Microsoft,Red Hat"
01/2016,1/1/2016,2/1/2016,Docker,"Docker,Red Hat","Docker,Red Hat,Huawei","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft","Docker,Red Hat,Huawei,Microsoft"
02/2016,2/1/2016,3/1/2016,Docker,"Docker,Huawei","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google","Docker,Huawei,Google"
03/2016,3/1/2016,4/1/2016,Docker,"Docker,Huawei","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat"
04/2016,4/1/2016,5/1/2016,Docker,"Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei"
05/2016,5/1/2016,6/1/2016,Docker,"Docker,Huawei","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall","Docker,Huawei,Ben Hall"
06/2016,6/1/2016,7/1/2016,Docker,"Docker,Red Hat","Docker,Red Hat,Debian","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei","Docker,Red Hat,Debian,Huawei"
07/2016,7/1/2016,8/1/2016,Docker,"Docker,Huawei","Docker,Huawei,Red Hat","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House","Docker,Huawei,Red Hat,DPI Animation House"
