Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 04/2015,4/1/2015,7/1/2015,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%
Quarter from 07/2015,7/1/2015,10/1/2015,93.9%,97.2%,98.6%,98.9%,99.0%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
Quarter from 10/2015,10/1/2015,1/1/2016,89.1%,93.5%,95.8%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
Quarter from 01/2016,1/1/2016,4/1/2016,93.5%,96.3%,98.2%,98.3%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
Quarter from 04/2016,4/1/2016,7/1/2016,92.7%,94.4%,95.2%,95.6%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
Quarter from 07/2016,7/1/2016,10/1/2016,84.1%,89.4%,90.1%,90.3%,90.4%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
Quarter from 10/2016,10/1/2016,1/1/2017,71.8%,85.0%,86.4%,86.9%,87.3%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
Quarter from 01/2017,1/1/2017,4/1/2017,66.9%,71.7%,75.9%,80.0%,80.7%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%
Quarter from 04/2017,4/1/2017,7/1/2017,57.0%,64.8%,67.2%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%
Quarter from 07/2017,7/1/2017,10/1/2017,74.1%,78.4%,80.2%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%
Quarter from 10/2017,10/1/2017,1/1/2018,51.9%,55.7%,58.5%,61.3%,64.2%,67.0%,67.0%,67.0%,67.0%,67.0%,67.0%,67.0%,67.0%,67.0%,67.0%
Quarter from 01/2018,1/1/2018,4/1/2018,62.9%,72.2%,74.2%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%
