Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 04/2015,4/1/2015,7/1/2015,50.0%,80.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,40.5%,60.7%,75.1%,87.1%,91.2%,98.9%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,47.6%,65.5%,83.2%,88.0%,92.1%,97.7%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,36.1%,64.8%,81.4%,93.4%,96.1%,99.3%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,45.5%,74.6%,92.0%,93.7%,94.6%,97.2%,98.5%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,44.1%,66.1%,82.4%,87.8%,90.9%,95.5%,97.7%,99.0%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,35.2%,54.0%,71.8%,85.0%,92.0%,97.2%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,43.4%,62.1%,66.9%,71.7%,75.9%,91.0%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,27.3%,42.2%,53.1%,60.9%,66.4%,85.2%,94.5%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,24.1%,48.3%,62.9%,68.1%,71.6%,84.5%,92.2%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,40.6%,50.0%,55.7%,60.4%,64.2%,79.2%,91.5%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,25.8%,49.5%,59.8%,69.1%,72.2%,84.5%,92.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
