ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2015-06-22T00:00:00Z,2017-10-24T00:00:00Z,Before joining CNCF,855,4520,2185,806,1529,4146,4485,122,16,88,63,38,116,19,4,13,13,10,18,5.286549707602339,2.5555555555555554,0.9426900584795321,1.7883040935672514,4.849122807017544,5.245614035087719,"riyazdf,cyli",Docker,1,2190,48.4513274336283186,"Docker,Huawei",4108,90.8849557522123894,"riyazdf,cyli",Docker,1,1371,62.7459954233409611,"Docker,Huawei",2175,99.5423340961098398,"endophage,cyli",Docker,1,315,39.0818858560794045,"Docker,Huawei",583,72.3325062034739454,"endophage,cyli",Docker,1,722,47.2204054937867888,"Docker,Huawei",1350,88.2930019620667103,"cyli,riyazdf",Docker,1,2036,49.1075735648818138,"Docker,Huawei",3793,91.4857694163048722,"endophage,cyli",Docker,1,1893,42.2073578595317726,"Docker,Huawei",3384,75.4515050167224080
2,2017-10-24T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,175,224,47,79,98,37,277,37,4,30,15,8,42,6,2,5,4,2,8,1.28,0.26857142857142857,0.4514285714285714,0.56,0.21142857142857144,1.582857142857143,"endophage,cyli",Docker,1,104,46.4285714285714286,"Docker,Huawei",159,70.9821428571428571,"cyli,endophage",Docker,1,39,82.9787234042553191,"Docker,Huawei",47,100.0000000000000000,"endophage,riyazdf",Docker,1,22,27.8481012658227848,"Docker,Huawei",34,43.0379746835443038,"endophage,cyli",Docker,1,45,45.9183673469387755,"Docker,Huawei",78,79.5918367346938776,"riyazdf,thaJeztah","Docker,DPI Animation House",2,22,59.4594594594594595,"Docker,DPI Animation House",32,86.4864864864864865,"endophage,cyli",Docker,1,86,31.0469314079422383,"Docker,Huawei",159,57.4007220216606498
1001,2015-06-22T00:00:00Z,2016-01-01T00:00:00Z,2015,193,1396,669,168,559,1090,1014,34,11,22,25,21,36,7,2,4,7,6,8,7.233160621761658,3.466321243523316,0.8704663212435233,2.8963730569948187,5.647668393782383,5.253886010362694,"diogomonica,cyli",Docker,1,726,52.0057306590257880,"Docker,Microsoft",1308,93.6962750716332378,"diogomonica,cyli",Docker,1,399,59.6412556053811659,"Docker,Facebook",667,99.7010463378176383,"cyli,endophage",Docker,1,80,47.6190476190476190,"Docker,Huawei",148,88.0952380952380952,"diogomonica,endophage",Docker,1,270,48.3005366726296959,"Docker,Microsoft",506,90.5187835420393560,"endophage,cyli",Docker,1,507,46.5137614678899083,"Docker,Microsoft",1044,95.7798165137614679,"endophage,diogomonica",Docker,1,417,41.1242603550295858,"Docker,Microsoft",830,81.8540433925049310
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,2702,1422,497,783,2502,2728,59,7,47,26,16,63,12,2,10,7,6,11,7.382513661202186,3.8852459016393444,1.3579234972677596,2.139344262295082,6.836065573770492,7.453551912568306,"riyazdf,cyli",Docker,1,1732,64.1006661732050333,"Docker,Huawei",2524,93.4122871946706144,"riyazdf,cyli",Docker,1,1154,81.1533052039381153,"Docker,Huawei",1420,99.8593530239099859,"endophage,riyazdf",Docker,1,231,46.4788732394366197,"Docker,Huawei",375,75.4527162977867203,"cyli,riyazdf",Docker,1,416,53.1289910600255428,"Docker,Huawei",729,93.1034482758620690,"riyazdf,cyli",Docker,1,1549,61.9104716227018385,"Docker,Huawei",2368,94.6442845723421263,"cyli,riyazdf",Docker,1,1234,45.2346041055718475,"Docker,Huawei",2168,79.4721407624633431
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,495,103,183,209,577,863,60,9,43,33,16,62,9,3,7,7,5,11,1.356164383561644,0.2821917808219178,0.5013698630136987,0.5726027397260274,1.5808219178082192,2.3643835616438356,"endophage,riyazdf",Docker,1,233,47.0707070707070707,"Docker,Red Hat",332,67.0707070707070707,"endophage,cyli",Docker,1,81,78.6407766990291262,"Docker,Red Hat",100,97.0873786407766990,"endophage,riyazdf",Docker,1,64,34.9726775956284153,"Docker,Red Hat",83,45.3551912568306011,"endophage,cyli",Docker,1,94,44.9760765550239234,"Docker,Red Hat",149,71.2918660287081340,"endophage,riyazdf",Docker,1,305,52.8596187175043328,"Docker,Red Hat",481,83.3622183708838821,"endophage,cyli",Docker,1,342,39.6292004634994206,"Docker,Red Hat",529,61.2977983777520278
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,151,38,37,76,14,157,26,4,19,13,4,27,4,2,2,3,2,6,1.4245283018867925,0.3584905660377358,0.3490566037735849,0.7169811320754716,0.1320754716981132,1.4811320754716981,"cyli,endophage",Docker,1,75,49.6688741721854305,"Docker,Huawei",116,76.8211920529801325,"cyli,endophage",Docker,1,31,81.5789473684210526,"Docker,Huawei",38,100.0000000000000000,"endophage,cyli",Docker,1,10,27.0270270270270270,"Docker,CNCF",16,43.2432432432432432,"cyli,justincormack",Docker,1,43,56.5789473684210526,"Docker,Huawei",64,84.2105263157894737,"thaJeztah,cyli","DPI Animation House,Docker",2,10,71.4285714285714286,"Docker,DPI Animation House",13,92.8571428571428571,"cyli,justincormack",Docker,1,64,40.7643312101910828,"Docker,Huawei",98,62.4203821656050955
2001,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,06/2015,30,10,4,5,1,7,14,4,2,3,1,5,5,1,1,1,0,1,1,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.23333333333333334,0.4666666666666667,"endophage,progrium",Docker,1,8,80.0000000000000000,Docker,6,60.0000000000000000,"endophage,diogomonica",Docker,1,4,100.0000000000000000,Docker,4,100.0000000000000000,"endophage,progrium",Docker,1,4,80.0000000000000000,Docker,2,40.0000000000000000,progrium,,0,1,100.0000000000000000,,,,"endophage,progrium",Docker,1,4,57.1428571428571429,Docker,4,57.1428571428571429,"progrium,endophage",Docker,1,11,78.5714285714285714,Docker,7,50.0000000000000000
2002,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,07/2015,31,650,357,42,251,445,352,11,6,7,10,9,15,4,2,2,4,4,5,20.967741935483872,11.516129032258064,1.3548387096774193,8.096774193548388,14.35483870967742,11.35483870967742,"diogomonica,endophage",Docker,1,406,62.4615384615384615,"Docker,Microsoft",637,98.0000000000000000,"diogomonica,endophage",Docker,1,242,67.7871148459383754,"Docker,Facebook",357,100.0000000000000000,"dmp42,diogomonica",Docker,1,26,61.9047619047619048,"Docker,Microsoft",42,100.0000000000000000,"diogomonica,endophage",Docker,1,147,58.5657370517928287,"Docker,Microsoft",241,96.0159362549800797,"NathanMcCauley,diogomonica",Docker,1,229,51.4606741573033708,"Docker,Microsoft",436,97.9775280898876404,"diogomonica,endophage",Docker,1,154,43.7500000000000000,"Docker,Microsoft",319,90.6250000000000000
2003,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,08/2015,31,59,19,8,32,43,75,8,5,4,7,6,14,2,1,1,2,2,3,1.903225806451613,0.6129032258064516,0.25806451612903225,1.032258064516129,1.3870967741935485,2.4193548387096775,"endophage,NathanMcCauley",Docker,1,33,55.9322033898305085,"Docker,Microsoft",59,100.0000000000000000,"NathanMcCauley,diogomonica",Docker,1,13,68.4210526315789474,Docker,19,100.0000000000000000,"endophage,NathanMcCauley",Docker,1,6,75.0000000000000000,Docker,8,100.0000000000000000,"endophage,jfrazelle","Docker,Microsoft",2,19,59.3750000000000000,"Docker,Microsoft",32,100.0000000000000000,"aaronlehmann,endophage",Docker,1,26,60.4651162790697674,"Docker,Microsoft",43,100.0000000000000000,"endophage,jfrazelle","Docker,Microsoft",2,41,54.6666666666666667,"Docker,Microsoft",67,89.3333333333333333
2004,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,09/2015,30,17,3,8,6,3,37,9,3,7,6,2,10,5,1,4,4,2,5,0.5666666666666667,0.1,0.26666666666666666,0.2,0.1,1.2333333333333334,"endophage,diogomonica",Docker,1,6,35.2941176470588235,"Docker,Red Hat",10,58.8235294117647059,"moxiegirl,diogomonica",Docker,1,2,66.6666666666666667,Docker,2,66.6666666666666667,"dmp42,jfrazelle","Docker,Microsoft",2,3,37.5000000000000000,"Docker,Huawei",5,62.5000000000000000,"jfrazelle,moxiegirl",Microsoft,1,2,33.3333333333333333,"Docker,Credit Suisse",3,50.0000000000000000,"NathanMcCauley,jbeda","Docker,Red Hat",2,3,100.0000000000000000,"Docker,Red Hat",3,100.0000000000000000,"jfrazelle,endophage","Microsoft,Docker",2,21,56.7567567567567568,"Microsoft,Docker",28,75.6756756756756757
