Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
12/2015,12/1/2015,1/1/2016,,,,,,,,,,,,,,,
01/2016,1/1/2016,2/1/2016,,,,,,,,,,,,,,,
02/2016,2/1/2016,3/1/2016,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
03/2016,3/1/2016,4/1/2016,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%
04/2016,4/1/2016,5/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
08/2016,8/1/2016,9/1/2016,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
09/2016,9/1/2016,10/1/2016,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
10/2016,10/1/2016,11/1/2016,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%
11/2016,11/1/2016,12/1/2016,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
12/2016,12/1/2016,1/1/2017,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
01/2017,1/1/2017,2/1/2017,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
02/2017,2/1/2017,3/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
04/2017,4/1/2017,5/1/2017,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%
05/2017,5/1/2017,6/1/2017,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%
06/2017,6/1/2017,7/1/2017,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%
07/2017,7/1/2017,8/1/2017,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%
08/2017,8/1/2017,9/1/2017,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
09/2017,9/1/2017,10/1/2017,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
10/2017,10/1/2017,11/1/2017,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
11/2017,11/1/2017,12/1/2017,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
12/2017,12/1/2017,1/1/2018,69.3%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%
01/2018,1/1/2018,2/1/2018,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%
02/2018,2/1/2018,3/1/2018,89.5%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
03/2018,3/1/2018,4/1/2018,73.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%
04/2018,4/1/2018,5/1/2018,71.9%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%
