Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Quarter from 10/2015,10/1/2015,1/1/2016,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 01/2016,1/1/2016,4/1/2016,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 04/2016,4/1/2016,7/1/2016,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 07/2016,7/1/2016,10/1/2016,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 10/2016,10/1/2016,1/1/2017,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 01/2017,1/1/2017,4/1/2017,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 04/2017,4/1/2017,7/1/2017,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 07/2017,7/1/2017,10/1/2017,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
Quarter from 10/2017,10/1/2017,1/1/2018,Styra,"Styra,Google","Styra,Google,Dell","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare","Styra,Google,Dell,CloudFlare"
Quarter from 01/2018,1/1/2018,4/1/2018,Styra,"Styra,CNCF","Styra,CNCF,x-ion","Styra,CNCF,x-ion,Google","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare","Styra,CNCF,x-ion,Google,CloudFlare"
