ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2015-12-27T00:00:00Z,2018-03-29T00:00:00Z,Before joining CNCF,823,2149,722,387,1040,600,387,35,6,22,23,18,28,3,1,3,3,1,6,2.611178614823815,0.8772782503037667,0.47023086269744835,1.2636695018226003,0.7290400972053463,0.47023086269744835,"tsandall,timothyhinrichs,mmussomele,arcurtis,repenno,mikol,jc-m,yash-styra,hekaldama,tim-styra,TristonianJones,yashtewarisaab,marco-styra,ashutosh-narkar,caniszczyk,UseTheApi,srenatus,AceHack,animale66,rlguarino","Styra,CNCF,Cloudflare",3,2131,99.1624011167985109,"Styra,CNCF,Cloudflare",1900,88.4132154490460679,"tsandall,arcurtis,timothyhinrichs,repenno,UseTheApi,TristonianJones",Styra,1,722,100.0000000000000000,Styra,694,96.1218836565096953,"tsandall,timothyhinrichs,tim-styra,mmussomele,jc-m,mikol,AceHack,caniszczyk,animale66,hauleth,rlguarino,nicdesousa,bwaz,hekaldama,brettgeer,mikestead,sargun,surjith,arcurtis,keyolk","Styra,CNCF,Cloudflare",3,385,99.4832041343669251,"Styra,CNCF,Cloudflare",320,82.6873385012919897,"tsandall,timothyhinrichs,mmussomele,repenno,yash-styra,mikol,arcurtis,hekaldama,TristonianJones,marco-styra,ashutosh-narkar,yashtewarisaab,jc-m,srenatus,anhou,Eva-xiaohui-luo,animale66,torin-styra,UseTheApi,mcdonamp",Styra,1,1037,99.7115384615384615,"Styra,CNCF,Cloudflare",886,85.1923076923076923,"tsandall,tim-styra,mmussomele,timothyhinrichs,koponen-styra,arcurtis,ashutosh-narkar,mikol,matt-styra,yash-styra,andy-styra,ash-styra,yashtewarisaab,TristonianJones,repenno,hekaldama,hauleth,torin-styra",Styra,1,600,100.0000000000000000,Styra,280,46.6666666666666667,"tsandall,mmussomele,timothyhinrichs,tim-styra,hekaldama,repenno,srenatus,rlguarino,arcurtis,AceHack,hauleth,keyolk,Eva-xiaohui-luo,jc-m,brettgeer,mikol,justincormack,yash-styra,johnbelamaric,mikestead","Styra,Cloudflare,Docker,Infoblox",4,379,97.9328165374677003,"Styra,Cloudflare,Docker,Farmers Edge,SolarWinds,Infoblox",224,57.8811369509043928
2,2018-03-29T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,19,94,28,30,36,25,38,10,3,5,7,3,6,2,1,2,2,1,2,4.947368421052632,1.4736842105263157,1.5789473684210527,1.894736842105263,1.3157894736842106,2,"tsandall,UseTheApi,caniszczyk,repenno,ashutosh-narkar,FrankJLhota,fossabot,shrinandj,srenatus,tamalsaha","Styra,CNCF",2,94,100.0000000000000000,"Styra,CNCF",71,75.5319148936170213,"tsandall,UseTheApi,repenno",Styra,1,28,100.0000000000000000,Styra,17,60.7142857142857143,"tsandall,caniszczyk,tamalsaha,shrinandj,FrankJLhota","Styra,CNCF",2,30,100.0000000000000000,"Styra,CNCF",27,90.0000000000000000,"tsandall,caniszczyk,ashutosh-narkar,UseTheApi,repenno,fossabot,srenatus","Styra,CNCF",2,36,100.0000000000000000,"Styra,CNCF",27,75.0000000000000000,"tsandall,ashutosh-narkar,repenno",Styra,1,25,100.0000000000000000,Styra,11,44.0000000000000000,"tsandall,caniszczyk,timothyhinrichs,srenatus,ashutosh-narkar,UseTheApi","Styra,CNCF",2,38,100.0000000000000000,"Styra,CNCF",34,89.4736842105263158
1001,2015-12-27T00:00:00Z,2016-01-01T00:00:00Z,2015,5,10,2,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0.4,0,1.6,0,0,timothyhinrichs,,0,10,100.0000000000000000,,,,timothyhinrichs,,0,2,100.0000000000000000,,,,,,,,,,,,timothyhinrichs,,0,8,100.0000000000000000,,,,,,,,,,,,,,,,,,,
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,659,248,70,341,221,112,6,2,6,4,6,6,1,1,1,1,1,2,1.8005464480874316,0.6775956284153005,0.1912568306010929,0.9316939890710383,0.6038251366120219,0.30601092896174864,"tsandall,timothyhinrichs,mikol,hekaldama,tim-styra,sargun",Styra,1,659,100.0000000000000000,Styra,619,93.9301972685887709,"tsandall,timothyhinrichs",Styra,1,248,100.0000000000000000,Styra,245,98.7903225806451613,"tsandall,timothyhinrichs,tim-styra,hekaldama,sargun,mikol",Styra,1,70,100.0000000000000000,Styra,54,77.1428571428571429,"tsandall,timothyhinrichs,mikol,hekaldama",Styra,1,341,100.0000000000000000,Styra,320,93.8416422287390029,"tim-styra,tsandall,timothyhinrichs,mikol,koponen-styra,hekaldama",Styra,1,221,100.0000000000000000,Styra,88,39.8190045248868778,"tsandall,timothyhinrichs,tim-styra,hekaldama,mikol,johnbelamaric","Styra,Infoblox",2,112,100.0000000000000000,"Styra,Infoblox",52,46.4285714285714286
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,1044,344,234,466,285,206,22,4,15,13,13,16,2,1,2,1,1,3,2.8602739726027395,0.9424657534246575,0.6410958904109589,1.2767123287671234,0.7808219178082192,0.5643835616438356,"tsandall,mmussomele,timothyhinrichs,arcurtis,jc-m,repenno,mikol,marco-styra,TristonianJones,AceHack,nicdesousa,tim-styra,hauleth,bwaz,anhou,mikestead,rlguarino,mcdonamp,keyolk,andy-styra","Styra,Cloudflare",2,1042,99.8084291187739464,"Styra,Cloudflare",913,87.4521072796934866,"tsandall,arcurtis,timothyhinrichs,TristonianJones",Styra,1,344,100.0000000000000000,Styra,334,97.0930232558139535,"tsandall,timothyhinrichs,jc-m,mmussomele,mikol,AceHack,hauleth,nicdesousa,tim-styra,bwaz,mikestead,andy-styra,arcurtis,rlguarino,keyolk","Styra,Cloudflare",2,234,100.0000000000000000,"Styra,Cloudflare",196,83.7606837606837607,"tsandall,mmussomele,timothyhinrichs,repenno,arcurtis,marco-styra,jc-m,TristonianJones,torin-styra,mikol,mcdonamp,anhou,Eva-xiaohui-luo",Styra,1,466,100.0000000000000000,Styra,383,82.1888412017167382,"tsandall,mmussomele,koponen-styra,timothyhinrichs,matt-styra,arcurtis,mikol,TristonianJones,andy-styra,repenno,tim-styra,torin-styra,hauleth",Styra,1,285,100.0000000000000000,Styra,147,51.5789473684210526,"tsandall,mmussomele,timothyhinrichs,AceHack,hauleth,rlguarino,arcurtis,keyolk,Eva-xiaohui-luo,jc-m,bhativ1303,mikestead,TristonianJones,tanner-bruce,bwaz,nicdesousa","Styra,Cloudflare,Farmers Edge",3,206,100.0000000000000000,"Styra,Cloudflare,Farmers Edge",124,60.1941747572815534
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,530,156,113,261,119,107,22,5,12,15,8,14,3,1,3,3,1,5,5,1.471698113207547,1.0660377358490567,2.4622641509433962,1.1226415094339623,1.009433962264151,"tsandall,repenno,UseTheApi,caniszczyk,timothyhinrichs,yash-styra,ashutosh-narkar,arcurtis,srenatus,yashtewarisaab,TristonianJones,tim-styra,animale66,rlguarino,shrinandj,brettgeer,fossabot,FrankJLhota,cyrus-mc,surjith","Styra,CNCF,Cloudflare",3,528,99.6226415094339623,"Styra,CNCF,Cloudflare",439,82.8301886792452830,"tsandall,repenno,UseTheApi,arcurtis,timothyhinrichs",Styra,1,156,100.0000000000000000,Styra,132,84.6153846153846154,"tsandall,caniszczyk,timothyhinrichs,tim-styra,animale66,brettgeer,tamalsaha,FrankJLhota,cyrus-mc,rlguarino,shrinandj,surjith","Styra,CNCF,Cloudflare",3,113,100.0000000000000000,"Styra,CNCF,Cloudflare",97,85.8407079646017699,"tsandall,ashutosh-narkar,yash-styra,repenno,caniszczyk,yashtewarisaab,srenatus,timothyhinrichs,UseTheApi,TristonianJones,arcurtis,fossabot,animale66,rlguarino,llofberg","Styra,CNCF,Cloudflare",3,261,100.0000000000000000,"Styra,CNCF,Cloudflare",210,80.4597701149425287,"tsandall,ashutosh-narkar,arcurtis,yash-styra,ash-styra,yashtewarisaab,repenno,andy-styra",Styra,1,119,100.0000000000000000,Styra,56,47.0588235294117647,"tsandall,srenatus,repenno,caniszczyk,timothyhinrichs,yash-styra,ashutosh-narkar,justincormack,brettgeer,rlguarino,arcurtis,UseTheApi,animale66,leecalcote","Styra,CNCF,Docker,Cloudflare,SolarWinds",5,107,100.0000000000000000,"Styra,CNCF,Cloudflare,Docker,SolarWinds",82,76.6355140186915888
2001,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,12/2015,31,10,2,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.3225806451612903,0.06451612903225806,0,0.25806451612903225,0,0,timothyhinrichs,,0,10,100.0000000000000000,,,,timothyhinrichs,,0,2,100.0000000000000000,,,,,,,,,,,,timothyhinrichs,,0,8,100.0000000000000000,,,,,,,,,,,,,,,,,,,
2002,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,01/2016,31,4,1,0,3,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.12903225806451613,0.03225806451612903,0,0.0967741935483871,0,0.03225806451612903,timothyhinrichs,,0,4,100.0000000000000000,,,,timothyhinrichs,,0,1,100.0000000000000000,,,,,,,,,,,,timothyhinrichs,,0,3,100.0000000000000000,,,,,,,,,,,,timothyhinrichs,,0,1,100.0000000000000000,,,
2003,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,02/2016,29,5,1,0,4,0,1,2,1,0,2,0,1,1,1,0,1,0,0,0.1724137931034483,0.034482758620689655,0,0.13793103448275862,0,0.034482758620689655,"tsandall,timothyhinrichs",Styra,1,5,100.0000000000000000,Styra,4,80.0000000000000000,tsandall,Styra,1,1,100.0000000000000000,Styra,1,100.0000000000000000,,,,,,,,,"tsandall,timothyhinrichs",Styra,1,4,100.0000000000000000,Styra,3,75.0000000000000000,,,,,,,,,tim-styra,,0,1,100.0000000000000000,,,
2004,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,03/2016,31,38,13,0,25,59,12,2,2,0,2,2,3,1,1,0,1,1,1,1.2258064516129032,0.41935483870967744,0,0.8064516129032258,1.903225806451613,0.3870967741935484,"tsandall,timothyhinrichs",Styra,1,38,100.0000000000000000,Styra,34,89.4736842105263158,"tsandall,timothyhinrichs",Styra,1,13,100.0000000000000000,Styra,11,84.6153846153846154,,,,,,,,,"tsandall,timothyhinrichs",Styra,1,25,100.0000000000000000,Styra,23,92.0000000000000000,"tim-styra,tsandall",Styra,1,59,100.0000000000000000,Styra,18,30.5084745762711864,"tim-styra,tsandall,timothyhinrichs",Styra,1,12,100.0000000000000000,Styra,4,33.3333333333333333
