Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Before joining CNCF,11/26/2015,10/11/2016,1,2,3,3,4,6,8,8,8,8,8,8,8,8,8
Since joining CNCF,10/11/2016,4/17/2018,1,2,2,3,4,7,8,9,11,11,11,11,11,11,11
2015,11/26/2015,1/1/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,1/1/2016,1/1/2017,1,2,3,3,3,6,8,9,9,9,9,9,9,9,9
2017,1/1/2017,1/1/2018,1,2,3,4,4,7,8,8,8,8,8,8,8,8,8
2018,1/1/2018,4/17/2018,1,2,3,4,4,5,9,10,10,10,10,10,10,10,10
11/2015,11/1/2015,12/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2015,12/1/2015,1/1/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
01/2016,1/1/2016,2/1/2016,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
02/2016,2/1/2016,3/1/2016,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
03/2016,3/1/2016,4/1/2016,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4
04/2016,4/1/2016,5/1/2016,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
05/2016,5/1/2016,6/1/2016,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3
06/2016,6/1/2016,7/1/2016,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
07/2016,7/1/2016,8/1/2016,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3
08/2016,8/1/2016,9/1/2016,1,2,2,3,4,5,5,5,5,5,5,5,5,5,5
09/2016,9/1/2016,10/1/2016,1,2,3,4,5,7,7,7,7,7,7,7,7,7,7
10/2016,10/1/2016,11/1/2016,1,2,2,2,3,5,5,5,5,5,5,5,5,5,5
11/2016,11/1/2016,12/1/2016,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5
12/2016,12/1/2016,1/1/2017,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5
01/2017,1/1/2017,2/1/2017,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4
02/2017,2/1/2017,3/1/2017,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
03/2017,3/1/2017,4/1/2017,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4
04/2017,4/1/2017,5/1/2017,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5
05/2017,5/1/2017,6/1/2017,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4
06/2017,6/1/2017,7/1/2017,1,1,2,2,3,6,6,6,6,6,6,6,6,6,6
07/2017,7/1/2017,8/1/2017,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
08/2017,8/1/2017,9/1/2017,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4
09/2017,9/1/2017,10/1/2017,1,2,3,4,4,6,6,6,6,6,6,6,6,6,6
10/2017,10/1/2017,11/1/2017,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
11/2017,11/1/2017,12/1/2017,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4
12/2017,12/1/2017,1/1/2018,1,2,3,3,4,5,5,5,5,5,5,5,5,5,5
01/2018,1/1/2018,2/1/2018,1,2,3,3,3,6,7,7,7,7,7,7,7,7,7
02/2018,2/1/2018,3/1/2018,1,2,3,4,4,6,6,6,6,6,6,6,6,6,6
03/2018,3/1/2018,4/1/2018,1,2,3,3,4,5,6,6,6,6,6,6,6,6,6
04/2018,4/1/2018,5/1/2018,1,2,2,3,4,6,6,6,6,6,6,6,6,6,6
Quarter from 10/2015,10/1/2015,1/1/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Quarter from 01/2016,1/1/2016,4/1/2016,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,2,2,3,5,5,5,5,5,5,5,5,5,5
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,2,3,4,7,7,7,7,7,7,7,7,7,7
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,2,3,4,7,7,7,7,7,7,7,7,7,7
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,2,3,4,6,6,6,6,6,6,6,6,6,6
Quarter from 07/2017,7/1/2017,10/1/2017,1,2,2,3,4,6,8,8,8,8,8,8,8,8,8
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,3,3,3,6,6,6,6,6,6,6,6,6,6
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,4,4,6,8,9,9,9,9,9,9,9,9
