Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,11/26/2015,10/11/2016,56.6%,75.9%,82.1%,86.0%,88.6%,94.0%,94.8%,95.0%,95.3%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
Since joining CNCF,10/11/2016,4/17/2018,21.5%,37.2%,44.2%,51.1%,57.4%,68.7%,70.7%,71.6%,72.2%,72.6%,73.5%,73.8%,73.8%,73.8%,73.8%
2015,11/26/2015,1/1/2016,63.4%,92.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,52.7%,70.1%,76.3%,80.3%,83.6%,89.7%,91.0%,91.5%,91.8%,92.0%,92.3%,92.3%,92.3%,92.3%,92.3%
2017,1/1/2017,1/1/2018,21.5%,39.7%,49.2%,56.7%,62.0%,72.4%,74.4%,75.6%,76.3%,76.7%,77.7%,77.7%,77.7%,77.7%,77.7%
2018,1/1/2018,4/17/2018,13.6%,25.9%,36.7%,46.7%,53.1%,60.4%,61.5%,62.1%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%
11/2015,11/1/2015,12/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,61.0%,91.9%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,49.2%,80.8%,90.0%,94.6%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
02/2016,2/1/2016,3/1/2016,57.9%,72.3%,86.3%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%
03/2016,3/1/2016,4/1/2016,55.1%,70.0%,76.8%,83.3%,84.4%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%
04/2016,4/1/2016,5/1/2016,65.7%,72.9%,78.6%,81.4%,82.9%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%
05/2016,5/1/2016,6/1/2016,63.4%,83.2%,89.1%,92.1%,95.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
06/2016,6/1/2016,7/1/2016,55.9%,91.5%,94.9%,96.6%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,74.1%,94.4%,96.5%,97.6%,98.3%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
08/2016,8/1/2016,9/1/2016,43.5%,77.8%,85.2%,89.8%,94.4%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
09/2016,9/1/2016,10/1/2016,47.9%,65.5%,73.9%,81.5%,87.0%,93.7%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%
10/2016,10/1/2016,11/1/2016,40.5%,61.1%,69.5%,74.7%,75.8%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%
11/2016,11/1/2016,12/1/2016,38.2%,49.2%,59.2%,66.0%,72.8%,80.6%,81.7%,81.7%,81.7%,81.7%,81.7%,81.7%,81.7%,81.7%,81.7%
12/2016,12/1/2016,1/1/2017,38.7%,63.2%,74.5%,79.2%,81.1%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%
01/2017,1/1/2017,2/1/2017,20.7%,36.0%,50.5%,64.0%,68.5%,75.7%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%
02/2017,2/1/2017,3/1/2017,58.1%,74.4%,80.3%,84.6%,85.5%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%
03/2017,3/1/2017,4/1/2017,28.0%,44.9%,59.3%,63.6%,65.3%,69.5%,69.5%,69.5%,69.5%,69.5%,69.5%,69.5%,69.5%,69.5%,69.5%
04/2017,4/1/2017,5/1/2017,34.7%,56.0%,65.3%,72.7%,76.7%,84.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%
05/2017,5/1/2017,6/1/2017,37.9%,66.0%,71.9%,75.2%,76.5%,81.7%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%
06/2017,6/1/2017,7/1/2017,26.4%,49.5%,57.1%,61.5%,64.8%,78.0%,79.1%,79.1%,79.1%,79.1%,79.1%,79.1%,79.1%,79.1%,79.1%
07/2017,7/1/2017,8/1/2017,34.7%,56.0%,62.7%,65.3%,68.0%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%
08/2017,8/1/2017,9/1/2017,40.0%,52.0%,62.7%,68.0%,69.3%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%
09/2017,9/1/2017,10/1/2017,18.0%,33.6%,46.7%,59.0%,63.9%,78.7%,78.7%,78.7%,78.7%,78.7%,78.7%,78.7%,78.7%,78.7%,78.7%
10/2017,10/1/2017,11/1/2017,20.6%,33.0%,40.2%,45.4%,48.5%,57.7%,60.8%,60.8%,60.8%,60.8%,60.8%,60.8%,60.8%,60.8%,60.8%
11/2017,11/1/2017,12/1/2017,27.3%,46.6%,52.2%,57.1%,59.0%,63.4%,66.5%,66.5%,66.5%,66.5%,66.5%,66.5%,66.5%,66.5%,66.5%
12/2017,12/1/2017,1/1/2018,60.3%,71.1%,81.8%,83.5%,85.1%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%
01/2018,1/1/2018,2/1/2018,23.3%,39.3%,52.0%,57.3%,60.0%,66.0%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%
02/2018,2/1/2018,3/1/2018,28.1%,39.4%,48.5%,55.4%,62.3%,66.7%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%
03/2018,3/1/2018,4/1/2018,14.9%,27.4%,36.7%,42.7%,48.4%,51.6%,51.6%,51.6%,51.6%,51.6%,51.6%,51.6%,51.6%,51.6%,51.6%
04/2018,4/1/2018,5/1/2018,18.2%,35.1%,49.4%,57.8%,64.9%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%
Quarter from 10/2015,10/1/2015,1/1/2016,63.4%,92.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,54.5%,71.4%,81.4%,89.1%,91.7%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%
