Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
11/2015,11/1/2015,12/1/2015,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep,LightStep
12/2015,12/1/2015,1/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,Sourcegraph","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal","LightStep,Uber,Sourcegraph,Pivotal"
01/2016,1/1/2016,2/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,Pivotal","LightStep,Uber,Pivotal,The Last Pickle","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph"
02/2016,2/1/2016,3/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,Cockroach Labs","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle","LightStep,Uber,Cockroach Labs,The Last Pickle"
03/2016,3/1/2016,4/1/2016,LightStep,"LightStep,The Last Pickle","LightStep,The Last Pickle,Cockroach Labs","LightStep,The Last Pickle,Cockroach Labs,Uber","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries","LightStep,The Last Pickle,Cockroach Labs,Uber,Onwukike Uber,Facebook,Airtable,Diversified Industries"
04/2016,4/1/2016,5/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,The Last Pickle","LightStep,Uber,The Last Pickle,Bloomberg","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat","LightStep,Uber,The Last Pickle,Bloomberg,Kyle Conroy,Bespoken,iWazat"
05/2016,5/1/2016,6/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,adRise","LightStep,Uber,adRise,Bloomberg","LightStep,Uber,adRise,Bloomberg,The Last Pickle","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter","LightStep,Uber,adRise,Bloomberg,The Last Pickle,DevFactory,Pivotal,Gitter"
06/2016,6/1/2016,7/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,Pivotal","LightStep,Uber,Pivotal,Onwukike Uber","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com","LightStep,Uber,Pivotal,Onwukike Uber,Bloomberg,CDON.com"
07/2016,7/1/2016,8/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,Pivotal","LightStep,Uber,Pivotal,✕✕✕✕✕","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub","LightStep,Uber,Pivotal,✕✕✕✕✕,Zipkin,GitHub"
08/2016,8/1/2016,9/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,The Last Pickle","LightStep,Uber,The Last Pickle,Pivotal","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,CDON.com,Wargaming.net,Sourcegraph,Finciero"
