Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 10/2015,10/1/2015,1/1/2016,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
Quarter from 01/2016,1/1/2016,4/1/2016,1,2,3,3,4,7,7,10,10,10,10,10,10,10,10
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,2,2,2,6,9,13,13,13,13,13,13,13,13
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,2,3,4,7,8,10,14,16,17,17,17,17,17
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,2,3,4,7,10,11,13,14,19,19,19,19,19
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,2,3,4,6,8,10,10,10,15,15,15,15,15
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,2,3,3,7,10,12,14,16,19,19,19,19,19
Quarter from 07/2017,7/1/2017,10/1/2017,1,2,2,3,3,6,10,12,13,14,19,19,19,19,19
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,3,3,3,5,7,9,12,14,21,23,23,23,23
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,3,4,5,8,8,8,11,13,20,20,20,20
