ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2015-11-26T00:00:00Z,2016-10-11T00:00:00Z,Before joining CNCF,320,1945,1019,298,628,2338,2332,52,14,32,40,34,58,27,8,12,26,15,19,6.078125,3.184375,0.93125,1.9625,7.30625,7.2875,"bensigelman,yurishkuro,bcronin,michaelsembwever,tschottdorf,cwe1ss,adriancole,bg451,bg451,oibe,jmacd,slimsag,dankosaur,RaduBerinde,pritianka","LightStep,Uber,The Last Pickle,Cockroach Labs,C3 Loyalty Services,Pivotal,Onwukike Uber,Sourcegraph",8,1867,95.9897172236503856,"LightStep,Uber,The Last Pickle,Cockroach Labs,C3 Loyalty Services,Pivotal,Onwukike Uber,Sourcegraph,adRise,Bloomberg,CDON.com,✕✕✕✕✕,Red Hat,DevFactory,Zipkin",1843,94.7557840616966581,"bensigelman,yurishkuro,michaelsembwever,bcronin,tschottdorf,adriancole,bg451,bg451,cwe1ss,jmacd,oibe,pritianka,kriskowal,lookfwd,azimman","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal,C3 Loyalty Services,Onwukike Uber,Bloomberg",8,1019,100.0000000000000000,"LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal,C3 Loyalty Services,Onwukike Uber,Bloomberg",999,98.0372914622178606,"yurishkuro,bensigelman,bcronin,cwe1ss,slimsag,adriancole,oibe,bg451,RaduBerinde,breerly,dominikh,bg451,peterbourgon,dankosaur,lookfwd","Uber,LightStep,C3 Loyalty Services,Sourcegraph,Pivotal,Onwukike Uber,✕✕✕✕✕,Bloomberg",8,271,90.9395973154362416,"LightStep,Uber,C3 Loyalty Services,Sourcegraph,Pivotal,Onwukike Uber,✕✕✕✕✕,Bloomberg,adRise,Red Hat,The Last Pickle,CDON.com",266,89.2617449664429530,"bensigelman,yurishkuro,bcronin,michaelsembwever,tschottdorf,bg451,cwe1ss,jmacd,oibe,bg451,adriancole,dankosaur,CatTail,dawallin,RaduBerinde","LightStep,Uber,The Last Pickle,Cockroach Labs,C3 Loyalty Services,Onwukike Uber,Pivotal,adRise,CDON.com",9,593,94.4267515923566879,"LightStep,Uber,The Last Pickle,Cockroach Labs,C3 Loyalty Services,Onwukike Uber,Pivotal,adRise,CDON.com,Sourcegraph,DevFactory,Zipkin,Bloomberg,Wargaming.net,Workiva",579,92.1974522292993631,"bensigelman,yurishkuro,michaelsembwever,adriancole,tschottdorf,bcronin,dankosaur,jmacd,dominikh,bg451,RaduBerinde,slimsag,dawallin,bg451,tinkerware","LightStep,Uber,The Last Pickle,Pivotal,Cockroach Labs,Sourcegraph,CDON.com",7,2265,96.8776732249786142,"LightStep,Uber,The Last Pickle,Pivotal,Cockroach Labs,Sourcegraph,CDON.com,Onwukike Uber,C3 Loyalty Services,adRise,Diversified Industries,Zenly,GitHub,Bloomberg,Wargaming.net",2190,93.6698032506415740,"bensigelman,yurishkuro,adriancole,michaelsembwever,bcronin,cwe1ss,dankosaur,slimsag,bg451,tschottdorf,dawallin,jmacd,bg451,tinkerware,dominikh","LightStep,Uber,Pivotal,The Last Pickle,C3 Loyalty Services,Sourcegraph,Cockroach Labs,CDON.com",8,2180,93.4819897084048027,"LightStep,Uber,Pivotal,The Last Pickle,C3 Loyalty Services,Cockroach Labs,Sourcegraph,CDON.com,Bloomberg,Onwukike Uber,adRise,Google,Red Hat,✕✕✕✕✕,Instana",2117,90.7804459691252144
2,2016-10-11T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,553,2669,962,592,1115,1743,4149,226,22,147,136,93,222,57,11,29,50,32,47,4.826401446654611,1.7396021699819169,1.0705244122965643,2.0162748643761303,3.151898734177215,7.502712477396022,"bensigelman,yurishkuro,carlosalberto,jcchavezs,reimertz,cwe1ss,wu-sheng,rnburn,tedsuo,pavolloffay,adriancole,isaachier,itsderek23,daschl,shweta426060","LightStep,Uber,Toptal,Typeform.com,C3 Loyalty Services,SkyWalking,Pivotal,Bloomberg",8,2087,78.1940801798426377,"LightStep,Uber,Toptal,Typeform.com,C3 Loyalty Services,SkyWalking,Bloomberg,Pivotal,Red Hat,The Last Pickle,Sourcegraph,TraceView,eBay,Base CRM,SaleMove",1887,70.7006369426751592,"bensigelman,yurishkuro,reimertz,carlosalberto,cwe1ss,jcchavezs,adriancole,tedsuo,rnburn,wu-sheng,pavolloffay,itsderek23,azimman,michaelsembwever,daschl","LightStep,Uber,Toptal,C3 Loyalty Services,Typeform.com,Pivotal,SkyWalking,The Last Pickle",8,934,97.0893970893970894,"LightStep,Uber,Toptal,C3 Loyalty Services,Typeform.com,Pivotal,SkyWalking,Bloomberg,The Last Pickle,TraceView,adRise",781,81.1850311850311850,"bensigelman,yurishkuro,jcchavezs,cwe1ss,tedsuo,wu-sheng,pavolloffay,isaachier,rnburn,objectiser,felixfbecker,daschl,malafeev,reimertz,mabn","LightStep,Uber,Typeform.com,C3 Loyalty Services,SkyWalking,Bloomberg,Red Hat,Sourcegraph,Base CRM",9,362,61.1486486486486486,"LightStep,Uber,Typeform.com,C3 Loyalty Services,SkyWalking,Bloomberg,Red Hat,Sourcegraph,Google,Base CRM,Pivotal,Toptal,IBM,Novatec,Apple",359,60.6418918918918919,"bensigelman,yurishkuro,carlosalberto,jcchavezs,rnburn,pavolloffay,wu-sheng,cwe1ss,reimertz,tedsuo,shweta426060,isaachier,sjoerdtalsma,lookfwd,daschl","LightStep,Uber,Toptal,Typeform.com,SkyWalking,C3 Loyalty Services,Bloomberg",7,838,75.1569506726457399,"LightStep,Uber,Toptal,Typeform.com,SkyWalking,C3 Loyalty Services,Bloomberg,Red Hat,Pivotal,eBay,TraceView,The Last Pickle,SaleMove,Sourcegraph,Base CRM",759,68.0717488789237668,"yurishkuro,bensigelman,pavolloffay,cwe1ss,carlosalberto,objectiser,ndrwrbgs,sjoerdtalsma,felixfbecker,jcchavezs,malafeev,palazzem,wu-sheng,isaachier,tedsuo","Uber,LightStep,C3 Loyalty Services,Toptal,Red Hat,Sourcegraph,Typeform.com,SkyWalking,Bloomberg",9,1393,79.9196787148594378,"Uber,LightStep,C3 Loyalty Services,Red Hat,Toptal,Sourcegraph,Typeform.com,SkyWalking,Bloomberg,TraceView,MeetSpace,Pivotal,SaleMove,Base CRM,eBay",1273,73.0349971313826736,"yurishkuro,bensigelman,wu-sheng,carlosalberto,tedsuo,cwe1ss,pavolloffay,isaachier,rnburn,opentracing-importer,objectiser,jcchavezs,adriancole,sjoerdtalsma,lookfwd","Uber,LightStep,SkyWalking,Toptal,C3 Loyalty Services,Bloomberg,Red Hat,Typeform.com,Pivotal",9,2829,68.1851048445408532,"LightStep,Uber,SkyWalking,Toptal,Bloomberg,C3 Loyalty Services,Red Hat,Typeform.com,Pivotal,Sourcegraph,Base CRM,eBay,The Last Pickle,TraceView,CDON.com",2817,67.8958785249457701
1001,2015-11-26T00:00:00Z,2016-01-01T00:00:00Z,2015,36,131,75,19,37,184,155,4,2,3,4,5,5,4,2,3,4,4,4,3.638888888888889,2.0833333333333335,0.5277777777777778,1.0277777777777777,5.111111111111111,4.305555555555555,"bensigelman,yurishkuro,slimsag,adriancole","LightStep,Uber,Sourcegraph,Pivotal",4,131,100.0000000000000000,"LightStep,Uber,Sourcegraph,Pivotal",131,100.0000000000000000,"bensigelman,yurishkuro","LightStep,Uber",2,75,100.0000000000000000,"LightStep,Uber",75,100.0000000000000000,"yurishkuro,slimsag,bensigelman","Uber,Sourcegraph,LightStep",3,19,100.0000000000000000,"Uber,Sourcegraph,LightStep",19,100.0000000000000000,"bensigelman,yurishkuro,slimsag,adriancole","LightStep,Uber,Sourcegraph,Pivotal",4,37,100.0000000000000000,"LightStep,Uber,Sourcegraph,Pivotal",37,100.0000000000000000,"bensigelman,yurishkuro,adriancole,slimsag,resospoons","LightStep,Uber,Pivotal,Sourcegraph",4,184,100.0000000000000000,"LightStep,Uber,Pivotal,Sourcegraph",183,99.4565217391304348,"bensigelman,yurishkuro,slimsag,adriancole,abesto","LightStep,Uber,Sourcegraph,Pivotal",4,155,100.0000000000000000,"LightStep,Uber,Sourcegraph,Pivotal",154,99.3548387096774194
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,2281,1161,385,735,2275,2798,76,16,45,55,41,80,37,9,17,33,17,27,6.23224043715847,3.1721311475409837,1.0519125683060109,2.0081967213114753,6.215846994535519,7.644808743169399,"bensigelman,yurishkuro,bcronin,michaelsembwever,cwe1ss,tschottdorf,reimertz,adriancole,bg451,oibe,bg451,jmacd,wu-sheng,azimman,lookfwd","LightStep,Uber,The Last Pickle,C3 Loyalty Services,Cockroach Labs,Pivotal,Onwukike Uber,SkyWalking,Bloomberg",9,2123,93.0732135028496274,"LightStep,Uber,The Last Pickle,C3 Loyalty Services,Cockroach Labs,Pivotal,Onwukike Uber,SkyWalking,Bloomberg,Sourcegraph,adRise,Google,Red Hat,Base CRM,CDON.com",2075,90.9688733011836914,"bensigelman,yurishkuro,michaelsembwever,bcronin,reimertz,adriancole,tschottdorf,cwe1ss,bg451,bg451,azimman,jmacd,oibe,pritianka,lookfwd","LightStep,Uber,The Last Pickle,Pivotal,Cockroach Labs,C3 Loyalty Services,Onwukike Uber,Bloomberg",8,1158,99.7416020671834625,"LightStep,Uber,The Last Pickle,Pivotal,Cockroach Labs,C3 Loyalty Services,Onwukike Uber,Bloomberg,SkyWalking",1096,94.4013781223083549,"bensigelman,yurishkuro,cwe1ss,bcronin,adriancole,oibe,slimsag,wu-sheng,RaduBerinde,rakyll,bg451,opentracing-importer,reimertz,breerly,bg451","LightStep,Uber,C3 Loyalty Services,Pivotal,Onwukike Uber,Sourcegraph,SkyWalking,Google",8,329,85.4545454545454545,"LightStep,Uber,C3 Loyalty Services,Pivotal,Onwukike Uber,Sourcegraph,SkyWalking,Google,Base CRM,✕✕✕✕✕,The Last Pickle,Bloomberg,Red Hat,adRise,Novatec",335,87.0129870129870130,"bensigelman,yurishkuro,bcronin,michaelsembwever,tschottdorf,cwe1ss,reimertz,bg451,jmacd,wu-sheng,oibe,adriancole,bg451,lookfwd,dankosaur","LightStep,Uber,The Last Pickle,Cockroach Labs,C3 Loyalty Services,SkyWalking,Onwukike Uber,Pivotal,Bloomberg",9,663,90.2040816326530612,"LightStep,Uber,The Last Pickle,Cockroach Labs,C3 Loyalty Services,SkyWalking,Onwukike Uber,Pivotal,Bloomberg,CDON.com,adRise,Red Hat,Sourcegraph,Base CRM,DevFactory",650,88.4353741496598639,"bensigelman,yurishkuro,michaelsembwever,adriancole,tschottdorf,bcronin,dankosaur,jmacd,dominikh,bg451,RaduBerinde,dawallin,tinkerware,ngauthier,bg451","LightStep,Uber,The Last Pickle,Pivotal,Cockroach Labs,CDON.com,MeetSpace",7,2167,95.2527472527472527,"LightStep,Uber,The Last Pickle,Pivotal,Cockroach Labs,CDON.com,MeetSpace,Sourcegraph,C3 Loyalty Services,Onwukike Uber,adRise,Diversified Industries,GitHub,Zenly,Wargaming.net",2111,92.7912087912087912,"bensigelman,yurishkuro,adriancole,michaelsembwever,opentracing-importer,cwe1ss,bcronin,wu-sheng,dankosaur,dawallin,bg451,tschottdorf,jmacd,reimertz,slimsag","LightStep,Uber,Pivotal,The Last Pickle,C3 Loyalty Services,SkyWalking,CDON.com,Cockroach Labs,Sourcegraph",9,2506,89.5639742673338099,"LightStep,Uber,Pivotal,The Last Pickle,C3 Loyalty Services,SkyWalking,CDON.com,Cockroach Labs,Sourcegraph,Bloomberg,Onwukike Uber,Google,adRise,Red Hat,Instana",2416,86.3473909935668335
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,1391,471,327,593,1100,2453,153,14,106,86,59,149,44,8,23,40,26,35,3.8109589041095893,1.2904109589041095,0.8958904109589041,1.6246575342465754,3.0136986301369864,6.720547945205479,"bensigelman,yurishkuro,jcchavezs,carlosalberto,pavolloffay,reimertz,wu-sheng,rnburn,adriancole,tedsuo,cwe1ss,objectiser,isaachier,felixfbecker,lookfwd","LightStep,Uber,Typeform.com,Toptal,SkyWalking,Pivotal,C3 Loyalty Services,Red Hat,Bloomberg,Sourcegraph",10,1123,80.7332854061826024,"LightStep,Uber,Typeform.com,Toptal,SkyWalking,Pivotal,Bloomberg,C3 Loyalty Services,Red Hat,Sourcegraph,eBay,Base CRM,SaleMove,IBM,TraceView",1035,74.4069015097052480,"bensigelman,yurishkuro,jcchavezs,carlosalberto,reimertz,adriancole,wu-sheng,pavolloffay,rnburn,cwe1ss,tedsuo,lookfwd,pritianka,jmacd","LightStep,Uber,Typeform.com,Toptal,Pivotal,SkyWalking,C3 Loyalty Services,Bloomberg",8,471,100.0000000000000000,"LightStep,Uber,Typeform.com,Toptal,Pivotal,SkyWalking,C3 Loyalty Services,Bloomberg",404,85.7749469214437367,"yurishkuro,bensigelman,jcchavezs,tedsuo,pavolloffay,wu-sheng,isaachier,felixfbecker,objectiser,cwe1ss,rnburn,felixbarny,gideonkorir,gkumar7,lookfwd","Uber,LightStep,Typeform.com,SkyWalking,Bloomberg,Sourcegraph,Red Hat,C3 Loyalty Services",8,198,60.5504587155963303,"Uber,LightStep,Typeform.com,Bloomberg,SkyWalking,Sourcegraph,Red Hat,C3 Loyalty Services,Pivotal,IBM,Base CRM,Apple,8D Technologies,Collaborne,Caicloud",199,60.8562691131498471,"bensigelman,yurishkuro,pavolloffay,jcchavezs,carlosalberto,wu-sheng,rnburn,reimertz,tedsuo,cwe1ss,sjoerdtalsma,mcumings,lookfwd,adriancole,objectiser","LightStep,Uber,Typeform.com,Toptal,SkyWalking,C3 Loyalty Services,eBay,Bloomberg,Pivotal,Red Hat",10,475,80.1011804384485666,"LightStep,Uber,Typeform.com,Toptal,SkyWalking,Bloomberg,C3 Loyalty Services,Red Hat,eBay,Pivotal,SaleMove,Points,TraceView,Onwukike Uber,Sourcegraph",438,73.8617200674536256,"bensigelman,yurishkuro,pavolloffay,objectiser,sjoerdtalsma,carlosalberto,felixfbecker,malafeev,wu-sheng,jcchavezs,palazzem,cce,felixbarny,tylerbenson,jakerobb","LightStep,Uber,Red Hat,Toptal,Sourcegraph,SkyWalking,Typeform.com,TraceView",8,963,87.5454545454545455,"Uber,LightStep,Red Hat,Toptal,Sourcegraph,Typeform.com,SkyWalking,TraceView,Base CRM,Dealer.com,IBM,eBay,C3 Loyalty Services,Lazada,Pivotal",860,78.1818181818181818,"bensigelman,yurishkuro,wu-sheng,pavolloffay,tedsuo,objectiser,carlosalberto,rnburn,felixfbecker,jcchavezs,lookfwd,sjoerdtalsma,lvht,isaachier,malafeev","LightStep,Uber,SkyWalking,Red Hat,Toptal,Sourcegraph,Typeform.com,Bloomberg",8,1766,71.9934773746432939,"LightStep,Uber,SkyWalking,Bloomberg,Red Hat,Toptal,Sourcegraph,Typeform.com,Pivotal,Base CRM,eBay,C3 Loyalty Services,TraceView,Apple,HPE",1767,72.0342437831227069
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,811,274,159,378,522,1075,92,18,53,66,48,99,23,10,13,20,13,24,7.650943396226415,2.5849056603773586,1.5,3.5660377358490565,4.9245283018867925,10.141509433962264,"yurishkuro,cwe1ss,carlosalberto,tedsuo,rnburn,jcchavezs,daschl,itsderek23,isaachier,shweta426060,reimertz,bensigelman,wu-sheng,eirinikos,cce","Uber,C3 Loyalty Services,Toptal,LightStep,Typeform.com,Bloomberg,SkyWalking,TraceView",8,663,81.7509247842170160,"Uber,C3 Loyalty Services,LightStep,Toptal,Typeform.com,Bloomberg,SkyWalking,TraceView,Pivotal,Red Hat,adRise,eBay,aporeto-inc,8D Technologies,SaleMove",499,61.5289765721331689,"cwe1ss,yurishkuro,tedsuo,carlosalberto,reimertz,rnburn,jcchavezs,itsderek23,daschl,bensigelman,isaachier,wu-sheng,bcronin,adriancole,cce","C3 Loyalty Services,Uber,LightStep,Toptal,Typeform.com,Bloomberg,SkyWalking,Pivotal,TraceView",9,271,98.9051094890510949,"C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,Bloomberg,SkyWalking,Pivotal,TraceView,adRise",205,74.8175182481751825,"yurishkuro,cwe1ss,tedsuo,jcchavezs,rnburn,daschl,isaachier,shweta426060,ellisv,carlosalberto,AloisReitbauer,ndrwrbgs,malafeev,saloni-garg,MarkKMueller","Uber,C3 Loyalty Services,LightStep,Typeform.com,Bloomberg,Toptal",6,106,66.6666666666666667,"Uber,LightStep,C3 Loyalty Services,Typeform.com,Bloomberg,Toptal,SkyWalking,aporeto-inc,Red Hat,Lightbend,Pivotal,eBay,HPE",79,49.6855345911949686,"carlosalberto,yurishkuro,cwe1ss,rnburn,shweta426060,jcchavezs,isaachier,tedsuo,daschl,itsderek23,eirinikos,bensigelman,wu-sheng,mwear,cce","Toptal,Uber,C3 Loyalty Services,Typeform.com,Bloomberg,LightStep,SkyWalking,TraceView",8,304,80.4232804232804233,"Toptal,Uber,C3 Loyalty Services,LightStep,Typeform.com,Bloomberg,SkyWalking,TraceView,8D Technologies,Dumana,Datadog,Streamlio,SaleMove,adRise,Rackspace",218,57.6719576719576720,"cwe1ss,yurishkuro,ndrwrbgs,carlosalberto,isaachier,tedsuo,rnburn,palazzem,jcchavezs,indrekj,jpkrohling,felixfbecker,mwear,pavolloffay,stefano-pogliani","C3 Loyalty Services,Uber,Toptal,Bloomberg,LightStep,Typeform.com,SaleMove,Red Hat,Sourcegraph",9,431,82.5670498084291188,"C3 Loyalty Services,Uber,Toptal,Bloomberg,LightStep,Typeform.com,SaleMove,Red Hat,Sourcegraph,SkyWalking,Lightbend,Rackspace,Bespoken",330,63.2183908045977011,"yurishkuro,carlosalberto,cwe1ss,isaachier,rnburn,tedsuo,daschl,ndrwrbgs,jcchavezs,bensigelman,stefano-pogliani,itsderek23,raphw,wu-sheng,pavolloffay","Uber,Toptal,C3 Loyalty Services,Bloomberg,LightStep,Typeform.com,SkyWalking",7,769,71.5348837209302326,"Uber,Toptal,C3 Loyalty Services,LightStep,Bloomberg,Typeform.com,SkyWalking,Pivotal,Red Hat,aporeto-inc,Streamlio,8D Technologies,Instana,HPE,CDON.com",638,59.3488372093023256
2001,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,11/2015,30,8,7,0,1,59,1,1,1,0,1,2,1,1,1,0,1,2,1,0.26666666666666666,0.23333333333333334,0,0.03333333333333333,1.9666666666666666,0.03333333333333333,bensigelman,LightStep,1,8,100.0000000000000000,LightStep,8,100.0000000000000000,bensigelman,LightStep,1,7,100.0000000000000000,LightStep,7,100.0000000000000000,,,,,,,,,bensigelman,LightStep,1,1,100.0000000000000000,LightStep,1,100.0000000000000000,"bensigelman,yurishkuro","LightStep,Uber",2,59,100.0000000000000000,"LightStep,Uber",59,100.0000000000000000,bensigelman,LightStep,1,1,100.0000000000000000,LightStep,1,100.0000000000000000
2002,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,12/2015,31,123,68,19,36,125,154,4,2,3,4,5,5,4,2,3,4,4,4,3.967741935483871,2.193548387096774,0.6129032258064516,1.1612903225806452,4.032258064516129,4.967741935483871,"bensigelman,yurishkuro,slimsag,adriancole","LightStep,Uber,Sourcegraph,Pivotal",4,123,100.0000000000000000,"LightStep,Uber,Sourcegraph,Pivotal",123,100.0000000000000000,"bensigelman,yurishkuro","LightStep,Uber",2,68,100.0000000000000000,"LightStep,Uber",68,100.0000000000000000,"yurishkuro,slimsag,bensigelman","Uber,Sourcegraph,LightStep",3,19,100.0000000000000000,"Uber,Sourcegraph,LightStep",19,100.0000000000000000,"bensigelman,yurishkuro,slimsag,adriancole","LightStep,Uber,Sourcegraph,Pivotal",4,36,100.0000000000000000,"LightStep,Uber,Sourcegraph,Pivotal",36,100.0000000000000000,"bensigelman,yurishkuro,adriancole,slimsag,resospoons","LightStep,Uber,Pivotal,Sourcegraph",4,125,100.0000000000000000,"LightStep,Uber,Pivotal,Sourcegraph",124,99.2000000000000000,"bensigelman,yurishkuro,slimsag,adriancole,abesto","LightStep,Uber,Sourcegraph,Pivotal",4,154,100.0000000000000000,"LightStep,Uber,Sourcegraph,Pivotal",153,99.3506493506493506
2003,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,01/2016,31,240,100,65,75,381,460,9,5,8,6,11,17,5,4,4,4,6,7,7.741935483870968,3.225806451612903,2.096774193548387,2.4193548387096775,12.290322580645162,14.838709677419354,"bensigelman,yurishkuro,bcronin,adriancole,michaelsembwever,slimsag,dankosaur,breerly,kriskowal","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph",5,240,100.0000000000000000,"LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph",235,97.9166666666666667,"bensigelman,yurishkuro,adriancole,bcronin,michaelsembwever","LightStep,Uber,Pivotal,The Last Pickle",4,100,100.0000000000000000,"LightStep,Uber,Pivotal,The Last Pickle",100,100.0000000000000000,"yurishkuro,bensigelman,adriancole,bcronin,slimsag,breerly,dankosaur,kriskowal","Uber,LightStep,Pivotal,Sourcegraph",4,65,100.0000000000000000,"LightStep,Uber,Pivotal,Sourcegraph",64,98.4615384615384615,"bensigelman,yurishkuro,bcronin,michaelsembwever,adriancole,dankosaur","LightStep,Uber,The Last Pickle,Pivotal",4,75,100.0000000000000000,"LightStep,Uber,The Last Pickle,Pivotal",71,94.6666666666666667,"bensigelman,adriancole,yurishkuro,michaelsembwever,dankosaur,slimsag,bcronin,prb,abesto,dawallin,karlunho","LightStep,Pivotal,Uber,The Last Pickle,Sourcegraph,CDON.com",6,381,100.0000000000000000,"LightStep,Pivotal,Uber,The Last Pickle,Sourcegraph,CDON.com",359,94.2257217847769029,"bensigelman,yurishkuro,adriancole,michaelsembwever,dankosaur,slimsag,bcronin,cmccabe,bogdandrutu,jcarres-mdsol,rektide,breerly,Xylus,kriskowal,oibe","LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph,Google,Onwukike Uber",7,458,99.5652173913043478,"LightStep,Uber,Pivotal,The Last Pickle,Sourcegraph,Google,Onwukike Uber",421,91.5217391304347826
2004,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,02/2016,29,321,175,34,112,491,389,9,6,4,8,9,14,4,4,2,4,5,9,11.068965517241379,6.0344827586206895,1.1724137931034482,3.8620689655172415,16.93103448275862,13.413793103448276,"bensigelman,yurishkuro,tschottdorf,michaelsembwever,bcronin,bg451,tamird,wladekb,dankosaur","LightStep,Uber,Cockroach Labs,The Last Pickle",4,321,100.0000000000000000,"LightStep,Uber,Cockroach Labs,The Last Pickle",310,96.5732087227414330,"bensigelman,michaelsembwever,tschottdorf,yurishkuro,bcronin,bg451","LightStep,The Last Pickle,Cockroach Labs,Uber",4,175,100.0000000000000000,"LightStep,The Last Pickle,Uber,Cockroach Labs",173,98.8571428571428571,"bensigelman,yurishkuro,bcronin,wladekb","LightStep,Uber",2,34,100.0000000000000000,"LightStep,Uber",33,97.0588235294117647,"bensigelman,tschottdorf,yurishkuro,michaelsembwever,bg451,bcronin,dankosaur,tamird","LightStep,Cockroach Labs,Uber,The Last Pickle",4,112,100.0000000000000000,"LightStep,Cockroach Labs,Uber,The Last Pickle",104,92.8571428571428571,"bensigelman,yurishkuro,tschottdorf,michaelsembwever,adriancole,dankosaur,bg451,bcronin,beberlei","LightStep,Uber,Cockroach Labs,The Last Pickle,Pivotal",5,491,100.0000000000000000,"LightStep,Uber,Cockroach Labs,The Last Pickle,Pivotal",470,95.7230142566191446,"bensigelman,yurishkuro,michaelsembwever,tschottdorf,adriancole,dankosaur,bg451,bcronin,wladekb,beberlei,lookfwd,CodingFabian,peterbourgon,slimsag","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal,Bloomberg,Instana,✕✕✕✕✕,Sourcegraph",9,389,100.0000000000000000,"LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal,Bloomberg,Instana,✕✕✕✕✕,Sourcegraph",360,92.5449871465295630
