Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,1/6/2014,5/9/2016,SoundCloud,"SoundCloud,groom gbr","SoundCloud,groom gbr,Robust Perception","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Prometheus Consulting,imgix,Red Hat,Netapsys Grand,Emcien,SavingGlobal"
Since joining CNCF,5/9/2016,4/13/2018,SoundCloud,"SoundCloud,Robust Perception","SoundCloud,Robust Perception,Red Hat","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting,Robert Koch-institut,IPB,DigitalOcean,Netapsys Grand,groom gbr,imgix,Weaveworks,Debian"
start - v0.10.0,1/6/2014,1/26/2015,SoundCloud,"SoundCloud,Boxever","SoundCloud,Boxever,imgix","SoundCloud,Boxever,imgix,groom gbr","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal","SoundCloud,Boxever,imgix,groom gbr,SavingGlobal"
v0.10.0 - v0.20.0,1/26/2015,6/15/2016,SoundCloud,"SoundCloud,groom gbr","SoundCloud,groom gbr,Robust Perception","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Boxever,Red Hat,Prometheus Consulting,imgix,Netapsys Grand,Emcien"
v0.20.0 - v1.0.0,6/15/2016,7/18/2016,Red Hat,"Red Hat,Robust Perception","Red Hat,Robust Perception,SoundCloud","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand,groom gbr,imgix"
v1.0.0 - v1.1.0,7/18/2016,9/3/2016,SoundCloud,"SoundCloud,Red Hat","SoundCloud,Red Hat,Prometheus Consulting","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut","SoundCloud,Red Hat,Prometheus Consulting,Robust Perception,Netapsys Grand,Robert Koch-institut"
v1.1.0 - v1.2.0,9/3/2016,10/7/2016,SoundCloud,"SoundCloud,Prometheus Consulting","SoundCloud,Prometheus Consulting,Red Hat","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut","SoundCloud,Prometheus Consulting,Red Hat,Netapsys Grand,Robust Perception,Robert Koch-institut"
v1.2.0 - v1.3.0,10/7/2016,11/1/2016,SoundCloud,"SoundCloud,Robust Perception","SoundCloud,Robust Perception,Red Hat","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting","SoundCloud,Robust Perception,Red Hat,Robert Koch-institut,Netapsys Grand,Prometheus Consulting"
v1.3.0 - v1.4.0,11/1/2016,11/25/2016,SoundCloud,"SoundCloud,Red Hat","SoundCloud,Red Hat,Robust Perception","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,Red Hat,Robust Perception,Robert Koch-institut,Prometheus Consulting"
v1.4.0 - v1.5.0,11/25/2016,1/23/2017,Robust Perception,"Robust Perception,Red Hat","Robust Perception,Red Hat,SoundCloud","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand","Robust Perception,Red Hat,SoundCloud,Robert Koch-institut,imgix,Prometheus Consulting,Netapsys Grand"
