Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Before joining CNCF,1/6/2014,5/9/2016,1,1,1,3,7,9,11,11,11,11,11,11,11,11
Since joining CNCF,5/9/2016,4/13/2018,1,2,3,4,8,9,12,12,12,12,12,12,12,12
start - v0.10.0,1/6/2014,1/26/2015,1,1,1,2,5,5,5,5,5,5,5,5,5,5
v0.10.0 - v0.20.0,1/26/2015,6/15/2016,1,1,2,3,7,10,10,10,10,10,10,10,10,10
v0.20.0 - v1.0.0,6/15/2016,7/18/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
v1.0.0 - v1.1.0,7/18/2016,9/3/2016,1,2,2,4,6,6,6,6,6,6,6,6,6,6
v1.1.0 - v1.2.0,9/3/2016,10/7/2016,1,2,3,5,6,6,6,6,6,6,6,6,6,6
v1.2.0 - v1.3.0,10/7/2016,11/1/2016,1,2,2,4,6,6,6,6,6,6,6,6,6,6
v1.3.0 - v1.4.0,11/1/2016,11/25/2016,1,2,3,4,5,5,5,5,5,5,5,5,5,5
v1.4.0 - v1.5.0,11/25/2016,1/23/2017,1,2,3,5,7,7,7,7,7,7,7,7,7,7
v1.5.0 - v1.6.0,1/23/2017,4/14/2017,1,2,2,4,6,8,8,8,8,8,8,8,8,8
v1.6.0 - v1.7.0,4/14/2017,6/7/2017,1,2,3,3,6,8,8,8,8,8,8,8,8,8
v1.7.0 - v1.8.0,6/7/2017,10/6/2017,1,2,3,5,8,9,10,10,10,10,10,10,10,10
v1.8.0 - v2.0.0,10/6/2017,11/8/2017,1,2,3,5,7,9,9,9,9,9,9,9,9,9
v2.0.0 - v2.1.0,11/8/2017,1/19/2018,1,2,3,5,7,8,9,9,9,9,9,9,9,9
v2.1.0 - v2.2.0,1/19/2018,3/8/2018,1,2,3,5,6,8,9,9,9,9,9,9,9,9
v2.2.0 - now,3/8/2018,4/13/2018,1,2,3,5,7,8,8,8,8,8,8,8,8,8
03/2014,3/1/2014,4/1/2014,0,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2014,4/1/2014,5/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/2014,5/1/2014,6/1/2014,1,2,2,2,2,2,2,2,2,2,2,2,2,2
06/2014,6/1/2014,7/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2014,7/1/2014,8/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08/2014,8/1/2014,9/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09/2014,9/1/2014,10/1/2014,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10/2014,10/1/2014,11/1/2014,0,1,1,1,1,1,1,1,1,1,1,1,1,1
11/2014,11/1/2014,12/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2014,12/1/2014,1/1/2015,1,1,2,2,2,2,2,2,2,2,2,2,2,2
01/2015,1/1/2015,2/1/2015,1,1,1,3,5,5,5,5,5,5,5,5,5,5
02/2015,2/1/2015,3/1/2015,1,1,1,3,4,4,4,4,4,4,4,4,4,4
03/2015,3/1/2015,4/1/2015,1,1,1,3,3,3,3,3,3,3,3,3,3,3
04/2015,4/1/2015,5/1/2015,1,1,1,2,4,4,4,4,4,4,4,4,4,4
05/2015,5/1/2015,6/1/2015,1,1,1,2,4,4,4,4,4,4,4,4,4,4
06/2015,6/1/2015,7/1/2015,1,1,2,3,5,5,5,5,5,5,5,5,5,5
07/2015,7/1/2015,8/1/2015,1,1,1,3,5,5,5,5,5,5,5,5,5,5
08/2015,8/1/2015,9/1/2015,1,1,2,4,4,4,4,4,4,4,4,4,4,4
09/2015,9/1/2015,10/1/2015,1,1,2,4,4,4,4,4,4,4,4,4,4,4
10/2015,10/1/2015,11/1/2015,1,1,2,4,4,4,4,4,4,4,4,4,4,4
11/2015,11/1/2015,12/1/2015,1,2,3,3,6,6,6,6,6,6,6,6,6,6
12/2015,12/1/2015,1/1/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
01/2016,1/1/2016,2/1/2016,1,2,3,4,6,6,6,6,6,6,6,6,6,6
02/2016,2/1/2016,3/1/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
03/2016,3/1/2016,4/1/2016,1,1,2,4,7,7,7,7,7,7,7,7,7,7
04/2016,4/1/2016,5/1/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
05/2016,5/1/2016,6/1/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
06/2016,6/1/2016,7/1/2016,1,2,3,5,6,6,6,6,6,6,6,6,6,6
07/2016,7/1/2016,8/1/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
08/2016,8/1/2016,9/1/2016,1,2,3,3,6,6,6,6,6,6,6,6,6,6
09/2016,9/1/2016,10/1/2016,1,2,3,5,6,6,6,6,6,6,6,6,6,6
10/2016,10/1/2016,11/1/2016,1,2,2,4,6,6,6,6,6,6,6,6,6,6
11/2016,11/1/2016,12/1/2016,1,2,3,4,5,5,5,5,5,5,5,5,5,5
12/2016,12/1/2016,1/1/2017,1,2,3,5,7,7,7,7,7,7,7,7,7,7
01/2017,1/1/2017,2/1/2017,1,2,3,5,7,7,7,7,7,7,7,7,7,7
02/2017,2/1/2017,3/1/2017,1,1,2,4,6,6,6,6,6,6,6,6,6,6
03/2017,3/1/2017,4/1/2017,1,2,3,4,6,7,7,7,7,7,7,7,7,7
04/2017,4/1/2017,5/1/2017,1,2,3,3,5,7,7,7,7,7,7,7,7,7
05/2017,5/1/2017,6/1/2017,1,2,3,4,6,8,8,8,8,8,8,8,8,8
06/2017,6/1/2017,7/1/2017,1,2,3,4,7,8,8,8,8,8,8,8,8,8
07/2017,7/1/2017,8/1/2017,1,2,3,4,7,7,7,7,7,7,7,7,7,7
08/2017,8/1/2017,9/1/2017,1,2,3,5,7,9,9,9,9,9,9,9,9,9
09/2017,9/1/2017,10/1/2017,1,2,3,4,7,9,9,9,9,9,9,9,9,9
10/2017,10/1/2017,11/1/2017,1,2,3,5,7,9,9,9,9,9,9,9,9,9
11/2017,11/1/2017,12/1/2017,1,2,3,5,7,9,9,9,9,9,9,9,9,9
12/2017,12/1/2017,1/1/2018,1,2,3,5,6,7,7,7,7,7,7,7,7,7
01/2018,1/1/2018,2/1/2018,1,2,3,4,6,8,8,8,8,8,8,8,8,8
02/2018,2/1/2018,3/1/2018,1,2,3,5,7,9,9,9,9,9,9,9,9,9
03/2018,3/1/2018,4/1/2018,1,2,3,5,7,7,7,7,7,7,7,7,7,7
04/2018,4/1/2018,5/1/2018,1,2,3,4,6,7,7,7,7,7,7,7,7,7
Quarter from 01/2014,1/1/2014,4/1/2014,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 04/2014,4/1/2014,7/1/2014,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 10/2014,10/1/2014,1/1/2015,0,1,2,2,2,2,2,2,2,2,2,2,2,2
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,3,5,5,5,5,5,5,5,5,5,5
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,2,5,5,5,5,5,5,5,5,5,5
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,2,4,6,6,6,6,6,6,6,6,6,6
Quarter from 10/2015,10/1/2015,1/1/2016,1,2,2,4,7,7,7,7,7,7,7,7,7,7
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,2,4,7,7,7,7,7,7,7,7,7,7
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,3,4,7,7,7,7,7,7,7,7,7,7
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,2,4,7,8,8,8,8,8,8,8,8,8
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,3,4,6,8,8,8,8,8,8,8,8,8
Quarter from 07/2017,7/1/2017,10/1/2017,1,2,3,4,7,8,9,9,9,9,9,9,9,9
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,3,5,7,8,9,9,9,9,9,9,9,9
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,5,6,8,9,9,9,9,9,9,9,9
Quarter from 04/2018,4/1/2018,7/1/2018,1,2,3,4,7,7,7,7,7,7,7,7,7,7
