Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,2014-01-06,2016-05-09,19.7%,37.9%,48.1%,65.1%,81.1%,86.1%,87.8%,88.7%,89.4%,90.9%,93.2%,95.9%,99.4%,100.0%
Since joining CNCF,2016-05-09,2018-04-12,19.6%,30.2%,38.4%,49.8%,62.0%,66.9%,69.9%,72.3%,73.5%,75.7%,78.7%,82.3%,87.9%,92.9%
start - v0.10.0,2014-01-06,2015-01-26,40.4%,54.3%,65.9%,86.3%,98.8%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.10.0 - v0.20.0,2015-01-26,2016-06-15,18.5%,35.2%,45.5%,64.2%,80.1%,84.8%,86.3%,87.1%,87.7%,89.3%,91.8%,94.7%,98.7%,100.0%
v0.20.0 - v1.0.0,2016-06-15,2016-07-18,35.5%,55.0%,63.6%,69.6%,76.3%,80.1%,82.8%,84.7%,86.3%,91.6%,99.5%,100.0%,100.0%,100.0%
v1.0.0 - v1.1.0,2016-07-18,2016-09-03,17.1%,30.9%,44.3%,64.5%,76.8%,79.4%,81.4%,82.9%,84.0%,88.1%,94.4%,100.0%,100.0%,100.0%
v1.1.0 - v1.2.0,2016-09-03,2016-10-07,15.0%,27.6%,40.2%,59.1%,75.7%,78.7%,80.9%,82.5%,84.1%,88.9%,95.8%,100.0%,100.0%,100.0%
v1.2.0 - v1.3.0,2016-10-07,2016-11-01,26.7%,40.8%,52.7%,64.5%,77.2%,80.7%,83.0%,84.7%,86.3%,91.3%,99.7%,100.0%,100.0%,100.0%
v1.3.0 - v1.4.0,2016-11-01,2016-11-25,20.9%,38.7%,54.6%,66.1%,73.8%,77.4%,80.0%,81.8%,83.6%,90.1%,98.6%,100.0%,100.0%,100.0%
v1.4.0 - v1.5.0,2016-11-25,2017-01-23,16.8%,29.1%,39.4%,54.7%,64.3%,67.9%,70.7%,72.7%,74.5%,79.4%,88.4%,97.8%,100.0%,100.0%
v1.5.0 - v1.6.0,2017-01-23,2017-04-14,22.9%,35.5%,46.6%,60.2%,71.7%,74.7%,76.6%,77.9%,78.9%,81.9%,86.4%,92.7%,100.0%,100.0%
v1.6.0 - v1.7.0,2017-04-14,2017-06-07,17.7%,31.9%,41.3%,52.2%,70.3%,76.5%,79.3%,81.0%,82.2%,85.7%,91.1%,96.9%,100.0%,100.0%
v1.7.0 - v1.8.0,2017-06-07,2017-10-06,20.8%,32.3%,41.8%,50.9%,62.3%,67.7%,71.3%,73.5%,74.8%,78.2%,82.8%,88.6%,97.4%,100.0%
v1.8.0 - v2.0.0,2017-10-06,2017-11-08,19.9%,33.1%,43.4%,54.4%,68.4%,73.1%,75.5%,77.2%,78.7%,83.2%,90.5%,98.4%,100.0%,100.0%
v2.0.0 - v2.1.0,2017-11-08,2018-01-19,19.5%,27.5%,34.8%,47.8%,61.5%,67.3%,70.4%,72.3%,73.7%,77.3%,82.7%,89.9%,100.0%,100.0%
v2.1.0 - v2.2.0,2018-01-19,2018-03-08,21.1%,35.8%,41.5%,50.6%,62.1%,67.8%,70.7%,73.1%,74.7%,79.0%,85.7%,92.6%,100.0%,100.0%
v2.2.0 - now,2018-03-08,2018-04-12,31.9%,39.4%,46.7%,54.0%,65.2%,70.2%,73.0%,75.1%,77.0%,81.9%,89.3%,98.7%,100.0%,100.0%
2014-02-06,2014-02-06,2014-03-06,50.0%,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-03-06,2014-03-06,2014-04-06,57.4%,78.7%,91.5%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-04-06,2014-04-06,2014-05-06,76.0%,88.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-05-06,2014-05-06,2014-06-06,46.4%,85.7%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-06-06,2014-06-06,2014-07-06,50.0%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-07-06,2014-07-06,2014-08-06,45.9%,86.5%,91.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-08-06,2014-08-06,2014-09-06,55.8%,81.4%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-09-06,2014-09-06,2014-10-06,65.5%,93.1%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-10-06,2014-10-06,2014-11-06,57.4%,82.0%,95.1%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
