Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
03/2014,3/1/2014,4/1/2014,45.5%,54.5%,59.1%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%
04/2014,4/1/2014,5/1/2014,71.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,76.9%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,80.0%,88.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
08/2014,8/1/2014,9/1/2014,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%
09/2014,9/1/2014,10/1/2014,26.7%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%
10/2014,10/1/2014,11/1/2014,32.1%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%
11/2014,11/1/2014,12/1/2014,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%
12/2014,12/1/2014,1/1/2015,51.8%,62.4%,67.1%,68.2%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%
01/2015,1/1/2015,2/1/2015,82.5%,92.8%,96.6%,97.8%,98.4%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
02/2015,2/1/2015,3/1/2015,71.4%,82.4%,89.3%,91.5%,92.7%,94.8%,95.6%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%
03/2015,3/1/2015,4/1/2015,83.5%,88.2%,89.8%,90.8%,91.6%,94.5%,95.5%,96.5%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
04/2015,4/1/2015,5/1/2015,63.7%,73.8%,83.4%,87.9%,89.3%,92.7%,94.2%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
05/2015,5/1/2015,6/1/2015,80.4%,84.5%,88.7%,90.6%,91.5%,94.5%,95.8%,96.4%,97.0%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
06/2015,6/1/2015,7/1/2015,74.4%,82.3%,88.1%,89.8%,91.1%,94.6%,95.8%,96.4%,96.9%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
07/2015,7/1/2015,8/1/2015,59.4%,69.0%,73.1%,76.6%,79.3%,87.7%,91.4%,92.8%,93.6%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%
08/2015,8/1/2015,9/1/2015,55.0%,72.4%,82.1%,86.8%,87.6%,90.6%,91.9%,93.0%,93.6%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
09/2015,9/1/2015,10/1/2015,62.1%,78.9%,84.1%,88.9%,89.7%,91.7%,92.8%,93.8%,94.3%,94.8%,94.9%,94.9%,94.9%,94.9%,94.9%
10/2015,10/1/2015,11/1/2015,45.0%,65.9%,75.4%,79.8%,80.5%,83.3%,84.8%,86.0%,86.9%,87.5%,87.9%,87.9%,87.9%,87.9%,87.9%
11/2015,11/1/2015,12/1/2015,42.5%,61.0%,72.4%,75.9%,78.3%,84.5%,87.3%,89.3%,90.5%,91.5%,91.8%,91.8%,91.8%,91.8%,91.8%
12/2015,12/1/2015,1/1/2016,39.8%,65.5%,71.6%,75.5%,77.4%,83.3%,85.9%,87.4%,88.6%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
01/2016,1/1/2016,2/1/2016,36.9%,55.5%,70.3%,75.3%,80.1%,88.2%,89.7%,90.6%,91.3%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
02/2016,2/1/2016,3/1/2016,35.9%,54.5%,66.2%,75.3%,80.8%,86.6%,88.3%,89.0%,89.8%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
