Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
03/2014,3/1/2014,4/1/2014,1,1,2,4,4,4,4,4,4,4,4,4,4,4
04/2014,4/1/2014,5/1/2014,1,2,2,2,2,2,2,2,2,2,2,2,2,2
05/2014,5/1/2014,6/1/2014,1,2,3,3,3,3,3,3,3,3,3,3,3,3
06/2014,6/1/2014,7/1/2014,1,2,2,2,2,2,2,2,2,2,2,2,2,2
07/2014,7/1/2014,8/1/2014,1,2,3,3,3,3,3,3,3,3,3,3,3,3
08/2014,8/1/2014,9/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09/2014,9/1/2014,10/1/2014,0,1,2,2,2,2,2,2,2,2,2,2,2,2
10/2014,10/1/2014,11/1/2014,0,1,1,2,2,2,2,2,2,2,2,2,2,2
11/2014,11/1/2014,12/1/2014,0,0,1,1,1,1,1,1,1,1,1,1,1,1
12/2014,12/1/2014,1/1/2015,1,1,2,4,5,5,5,5,5,5,5,5,5,5
01/2015,1/1/2015,2/1/2015,1,1,1,3,7,9,10,10,10,10,10,10,10,10
02/2015,2/1/2015,3/1/2015,1,1,1,3,6,8,10,12,14,20,20,20,20,20
03/2015,3/1/2015,4/1/2015,1,1,1,3,6,8,11,14,19,21,21,21,21,21
04/2015,4/1/2015,5/1/2015,1,1,1,2,7,10,12,14,15,18,18,18,18,18
05/2015,5/1/2015,6/1/2015,1,1,1,2,6,11,12,15,16,26,26,26,26,26
06/2015,6/1/2015,7/1/2015,1,1,2,3,7,11,12,14,17,24,26,26,26,26
07/2015,7/1/2015,8/1/2015,1,1,1,3,8,11,13,14,16,23,28,28,28,28
08/2015,8/1/2015,9/1/2015,1,2,2,4,7,8,12,16,17,25,30,30,30,30
09/2015,9/1/2015,10/1/2015,1,1,2,3,6,10,11,13,16,23,31,31,31,31
10/2015,10/1/2015,11/1/2015,1,2,2,4,6,8,10,13,15,19,34,34,34,34
11/2015,11/1/2015,12/1/2015,1,2,3,3,8,11,14,16,18,26,31,31,31,31
12/2015,12/1/2015,1/1/2016,1,2,3,4,8,10,15,16,19,26,27,27,27,27
01/2016,1/1/2016,2/1/2016,1,2,3,4,8,10,11,13,14,22,30,30,30,30
02/2016,2/1/2016,3/1/2016,1,2,3,4,9,9,10,12,14,19,29,29,29,29
03/2016,3/1/2016,4/1/2016,1,1,2,4,8,10,12,12,13,21,30,30,30,30
04/2016,4/1/2016,5/1/2016,1,2,3,5,8,9,12,14,16,19,26,26,26,26
05/2016,5/1/2016,6/1/2016,1,2,3,5,9,10,13,15,16,25,39,43,43,43
06/2016,6/1/2016,7/1/2016,1,2,3,5,7,9,10,11,11,15,36,43,43,43
07/2016,7/1/2016,8/1/2016,1,2,3,4,8,9,13,15,17,21,37,39,39,39
08/2016,8/1/2016,9/1/2016,1,2,3,4,7,11,13,13,16,23,36,46,46,46
09/2016,9/1/2016,10/1/2016,1,2,3,4,8,11,14,15,18,23,41,45,45,45
10/2016,10/1/2016,11/1/2016,1,2,2,4,7,10,11,13,16,25,38,43,43,43
11/2016,11/1/2016,12/1/2016,1,2,3,5,8,10,10,12,12,19,33,38,38,38
12/2016,12/1/2016,1/1/2017,1,2,3,5,8,9,11,12,12,19,26,36,36,36
01/2017,1/1/2017,2/1/2017,1,2,3,5,7,9,12,13,16,19,28,40,40,40
02/2017,2/1/2017,3/1/2017,1,2,2,4,7,11,12,13,15,17,37,50,50,50
03/2017,3/1/2017,4/1/2017,1,2,3,4,6,10,10,11,12,19,38,50,50,50
04/2017,4/1/2017,5/1/2017,1,2,3,4,6,8,9,9,13,18,34,40,40,40
05/2017,5/1/2017,6/1/2017,1,2,3,4,6,8,10,12,15,19,34,46,46,46
06/2017,6/1/2017,7/1/2017,1,2,3,4,5,8,11,13,15,20,27,41,41,41
07/2017,7/1/2017,8/1/2017,1,2,3,4,6,8,11,15,17,20,33,51,51,51
08/2017,8/1/2017,9/1/2017,1,2,3,4,6,10,12,13,14,19,31,54,54,54
09/2017,9/1/2017,10/1/2017,1,2,3,4,6,9,12,13,14,21,30,46,46,46
10/2017,10/1/2017,11/1/2017,1,2,3,5,7,9,11,14,16,22,35,59,59,59
11/2017,11/1/2017,12/1/2017,1,2,3,5,7,9,12,16,18,22,31,48,51,51
12/2017,12/1/2017,1/1/2018,1,2,2,4,6,9,12,14,15,17,26,45,45,45
01/2018,1/1/2018,2/1/2018,1,2,3,4,7,8,11,14,16,23,27,43,43,43
02/2018,2/1/2018,3/1/2018,1,2,3,5,7,10,11,12,14,19,25,40,45,45
03/2018,3/1/2018,4/1/2018,1,2,3,5,7,10,11,14,15,16,20,31,31,31
04/2018,4/1/2018,5/1/2018,1,2,3,4,7,8,8,8,9,13,19,19,19,19
