date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2014-02-06T00:00:00Z,2014-03-06T00:00:00Z,2014-02-06,0,0,1,1,1,1,1,1,1,1,1,1,1,1,50.0000000000000000,75.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-03-06T00:00:00Z,2014-04-06T00:00:00Z,2014-03-06,0,1,1,3,4,4,4,4,4,4,4,4,4,4,57.4468085106382979,78.7234042553191489,91.4893617021276596,97.8723404255319149,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-04-06T00:00:00Z,2014-05-06T00:00:00Z,2014-04-06,0,1,2,2,2,2,2,2,2,2,2,2,2,2,76.0000000000000000,88.0000000000000000,96.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-05-06T00:00:00Z,2014-06-06T00:00:00Z,2014-05-06,0,1,2,3,3,3,3,3,3,3,3,3,3,3,46.4285714285714286,85.7142857142857143,96.4285714285714286,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-06-06T00:00:00Z,2014-07-06T00:00:00Z,2014-06-06,1,1,2,2,2,2,2,2,2,2,2,2,2,2,50.0000000000000000,96.8750000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-07-06T00:00:00Z,2014-08-06T00:00:00Z,2014-07-06,1,1,2,3,3,3,3,3,3,3,3,3,3,3,45.9459459459459459,86.4864864864864865,91.8918918918918919,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-08-06T00:00:00Z,2014-09-06T00:00:00Z,2014-08-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.8139534883720930,81.3953488372093023,97.6744186046511628,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-09-06T00:00:00Z,2014-10-06T00:00:00Z,2014-09-06,0,1,2,2,2,2,2,2,2,2,2,2,2,2,65.5172413793103448,93.1034482758620690,96.5517241379310345,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-10-06T00:00:00Z,2014-11-06T00:00:00Z,2014-10-06,0,1,1,1,2,2,2,2,2,2,2,2,2,2,57.3770491803278689,81.9672131147540984,95.0819672131147541,98.3606557377049180,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-11-06T00:00:00Z,2014-12-06T00:00:00Z,2014-11-06,0,1,1,2,2,2,2,2,2,2,2,2,2,2,89.3617021276595745,93.6170212765957447,97.8723404255319149,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
