Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
03/2014,3/1/2014,4/1/2014,45.5%,81.8%,90.9%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,57.1%,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,76.9%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,80.0%,88.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,77.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,66.7%,93.3%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,64.2%,96.2%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,95.3%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,51.8%,82.4%,92.9%,97.6%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,40.9%,63.7%,81.7%,92.0%,95.8%,98.7%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,39.3%,56.5%,69.8%,80.8%,87.7%,93.8%,95.9%,96.9%,97.8%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,45.6%,75.6%,81.7%,86.4%,88.0%,92.9%,95.7%,97.4%,98.4%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,23.5%,40.5%,52.7%,63.5%,73.6%,90.8%,93.0%,94.9%,96.4%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,32.3%,61.3%,74.6%,79.2%,83.4%,92.2%,94.6%,96.2%,97.2%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,37.0%,65.4%,73.3%,79.2%,83.7%,92.6%,94.5%,95.7%,96.7%,97.5%,99.6%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,32.3%,46.6%,58.4%,68.0%,72.1%,82.5%,87.2%,90.4%,92.8%,94.4%,98.7%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,33.8%,51.2%,68.5%,78.2%,82.8%,88.2%,90.9%,92.8%,94.0%,95.2%,98.3%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,27.6%,52.7%,69.5%,76.2%,81.4%,89.7%,91.5%,92.8%,93.8%,94.8%,97.6%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,22.2%,43.1%,62.5%,71.9%,76.3%,82.1%,85.1%,87.3%,89.1%,90.3%,95.1%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,25.8%,44.3%,55.7%,65.0%,71.2%,80.9%,85.1%,87.7%,89.7%,91.8%,96.2%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,34.2%,60.0%,66.0%,71.4%,75.2%,84.0%,88.1%,90.8%,93.2%,94.7%,99.5%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,22.1%,40.6%,55.4%,69.4%,74.4%,86.8%,89.6%,91.7%,92.9%,94.2%,97.3%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,23.6%,42.2%,53.9%,65.4%,74.6%,85.4%,88.1%,90.4%,92.1%,93.6%,97.3%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,21.8%,38.0%,52.1%,62.2%,69.0%,80.7%,84.3%,86.7%,88.8%,90.4%,95.0%,100.0%,100.0%,100.0%,100.0%
