Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Quarter from 01/2014,1/1/2014,4/1/2014,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud
Quarter from 04/2014,4/1/2014,7/1/2014,SoundCloud,"SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix"
Quarter from 07/2014,7/1/2014,10/1/2014,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud
Quarter from 10/2014,10/1/2014,1/1/2015,SoundCloud,"SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix","SoundCloud,imgix"
Quarter from 01/2015,1/1/2015,4/1/2015,SoundCloud,"SoundCloud,Boxever","SoundCloud,Boxever,groom gbr","SoundCloud,Boxever,groom gbr,imgix","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal","SoundCloud,Boxever,groom gbr,imgix,SavingGlobal"
Quarter from 04/2015,4/1/2015,7/1/2015,SoundCloud,"SoundCloud,Boxever","SoundCloud,Boxever,groom gbr","SoundCloud,Boxever,groom gbr,imgix","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien","SoundCloud,Boxever,groom gbr,imgix,Emcien"
Quarter from 07/2015,7/1/2015,10/1/2015,SoundCloud,"SoundCloud,Robust Perception","SoundCloud,Robust Perception,Robert Koch-institut","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix","SoundCloud,Robust Perception,Robert Koch-institut,groom gbr,Boxever,imgix"
Quarter from 10/2015,10/1/2015,1/1/2016,SoundCloud,"SoundCloud,Robust Perception","SoundCloud,Robust Perception,groom gbr","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix","SoundCloud,Robust Perception,groom gbr,Robert Koch-institut,Prometheus Consulting,Red Hat,imgix"
Quarter from 01/2016,1/1/2016,4/1/2016,SoundCloud,"SoundCloud,groom gbr","SoundCloud,groom gbr,Robust Perception","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand","SoundCloud,groom gbr,Robust Perception,Robert Koch-institut,Prometheus Consulting,imgix,Netapsys Grand"
Quarter from 04/2016,4/1/2016,7/1/2016,groom gbr,"groom gbr,Red Hat","groom gbr,Red Hat,SoundCloud","groom gbr,Red Hat,SoundCloud,Robust Perception","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix","groom gbr,Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting,Netapsys Grand,imgix"
