Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%
Quarter from 04/2014,4/1/2014,7/1/2014,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%
Quarter from 10/2014,10/1/2014,1/1/2015,28.6%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%,30.3%
Quarter from 01/2015,1/1/2015,4/1/2015,88.3%,95.7%,99.0%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,84.4%,91.0%,96.5%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,69.4%,80.6%,90.2%,97.1%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,60.2%,81.0%,92.5%,98.1%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,46.8%,65.0%,80.4%,90.3%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,25.1%,47.7%,57.9%,68.0%,77.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,33.5%,57.5%,73.5%,85.8%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,33.7%,60.3%,81.7%,91.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,41.5%,63.4%,74.9%,85.6%,95.0%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
Quarter from 04/2017,4/1/2017,7/1/2017,33.3%,60.6%,81.1%,87.7%,92.8%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
Quarter from 07/2017,7/1/2017,10/1/2017,29.7%,53.9%,75.5%,84.7%,90.0%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
Quarter from 10/2017,10/1/2017,1/1/2018,26.7%,51.2%,66.9%,77.7%,87.6%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
Quarter from 01/2018,1/1/2018,4/1/2018,30.2%,56.9%,69.4%,80.9%,92.1%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
Quarter from 04/2018,4/1/2018,7/1/2018,27.2%,46.9%,59.3%,73.0%,80.2%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%
