Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,45.5%,54.5%,59.1%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%
Quarter from 04/2014,4/1/2014,7/1/2014,73.1%,88.5%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,62.1%,64.2%,66.3%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%
Quarter from 10/2014,10/1/2014,1/1/2015,34.3%,39.2%,42.0%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%
Quarter from 01/2015,1/1/2015,4/1/2015,78.1%,87.4%,91.7%,93.6%,95.5%,96.3%,96.9%,97.1%,97.4%,97.5%,97.5%,97.5%,97.5%,97.5%
Quarter from 04/2015,4/1/2015,7/1/2015,74.2%,81.2%,86.5%,90.7%,93.4%,94.3%,95.0%,95.4%,95.9%,96.5%,96.5%,96.5%,96.5%,96.5%
Quarter from 07/2015,7/1/2015,10/1/2015,59.1%,71.9%,78.2%,84.7%,89.0%,90.8%,91.8%,92.4%,92.9%,94.1%,94.5%,94.5%,94.5%,94.5%
Quarter from 10/2015,10/1/2015,1/1/2016,43.1%,64.4%,73.1%,78.2%,82.4%,84.0%,85.2%,86.1%,86.8%,88.7%,89.3%,89.3%,89.3%,89.3%
Quarter from 01/2016,1/1/2016,4/1/2016,37.5%,53.3%,66.3%,78.8%,85.5%,86.6%,87.3%,88.0%,88.5%,89.5%,90.1%,90.1%,90.1%,90.1%
Quarter from 04/2016,4/1/2016,7/1/2016,18.9%,34.6%,44.8%,61.2%,77.7%,79.1%,80.1%,80.8%,81.4%,82.7%,84.0%,84.0%,84.0%,84.0%
Quarter from 07/2016,7/1/2016,10/1/2016,24.7%,43.7%,56.1%,73.3%,78.9%,80.8%,81.9%,82.7%,83.3%,85.2%,86.8%,86.8%,86.8%,86.8%
Quarter from 10/2016,10/1/2016,1/1/2017,20.3%,40.4%,54.1%,63.8%,69.9%,72.2%,73.6%,74.6%,75.3%,77.0%,78.6%,78.6%,78.6%,78.6%
Quarter from 01/2017,1/1/2017,4/1/2017,25.1%,46.0%,53.2%,65.7%,72.6%,74.1%,74.9%,75.6%,76.2%,77.8%,80.0%,80.1%,80.1%,80.1%
Quarter from 04/2017,4/1/2017,7/1/2017,21.1%,41.9%,62.4%,71.4%,77.9%,79.4%,80.2%,80.6%,81.1%,82.2%,83.2%,83.2%,83.2%,83.2%
Quarter from 07/2017,7/1/2017,10/1/2017,22.5%,38.0%,52.8%,61.6%,68.8%,71.1%,72.3%,73.0%,73.6%,75.0%,76.9%,77.1%,77.1%,77.1%
Quarter from 10/2017,10/1/2017,1/1/2018,20.4%,36.5%,46.8%,59.9%,68.1%,70.1%,71.3%,72.3%,73.0%,74.7%,76.5%,76.7%,76.7%,76.7%
Quarter from 01/2018,1/1/2018,4/1/2018,25.0%,37.4%,45.9%,60.8%,66.8%,69.1%,70.2%,71.0%,71.5%,72.6%,73.5%,73.5%,73.5%,73.5%
Quarter from 04/2018,4/1/2018,7/1/2018,22.3%,33.0%,43.2%,56.2%,62.9%,64.3%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%
