Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 2014-01,2014-01-01,2014-04-01,0,1,1,3,4,4,4,4,4,4,4,4,4,4
Quarter from 2014-04,2014-04-01,2014-07-01,0,1,2,4,4,4,4,4,4,4,4,4,4,4
Quarter from 2014-07,2014-07-01,2014-10-01,1,1,1,3,4,4,4,4,4,4,4,4,4,4
Quarter from 2014-10,2014-10-01,2015-01-01,0,1,1,3,5,5,5,5,5,5,5,5,5,5
Quarter from 2015-01,2015-01-01,2015-04-01,1,1,1,3,7,9,13,15,17,27,34,34,34,34
Quarter from 2015-04,2015-04-01,2015-07-01,1,1,1,2,7,10,13,17,18,28,44,46,46,46
Quarter from 2015-07,2015-07-01,2015-10-01,1,1,2,3,7,11,14,16,19,27,44,60,60,60
Quarter from 2015-10,2015-10-01,2016-01-01,1,2,2,3,7,10,14,16,16,28,45,62,62,62
Quarter from 2016-01,2016-01-01,2016-04-01,1,2,2,4,8,10,12,14,15,23,36,62,62,62
Quarter from 2016-04,2016-04-01,2016-07-01,1,2,3,5,8,9,13,13,16,25,38,61,82,82
Quarter from 2016-07,2016-07-01,2016-10-01,1,2,3,4,7,10,13,16,19,29,45,71,88,88
Quarter from 2016-10,2016-10-01,2017-01-01,1,2,3,4,7,11,13,16,18,25,42,55,81,81
Quarter from 2017-01,2017-01-01,2017-04-01,1,2,2,4,8,10,12,13,14,21,37,60,104,104
Quarter from 2017-04,2017-04-01,2017-07-01,1,2,3,4,6,8,11,14,15,19,36,52,85,85
Quarter from 2017-07,2017-07-01,2017-10-01,1,2,3,4,7,10,12,15,18,24,36,55,107,107
Quarter from 2017-10,2017-10-01,2018-01-01,1,2,3,5,8,9,12,14,18,29,41,56,103,106
Quarter from 2018-01,2018-01-01,2018-04-01,1,2,3,5,7,9,12,15,17,24,31,42,79,79
Quarter from 2018-04,2018-04-01,2018-07-01,1,2,3,5,8,9,9,10,10,13,20,20,20,20
