Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
start - v0.10.0,2014-01-06,2015-01-26,1,1,1,1,5,5,5,5,5,5,5,5,5,5
v0.10.0 - v0.20.0,2015-01-26,2016-06-15,1,1,2,3,7,10,10,10,10,10,10,10,10,10
v0.20.0 - v1.0.0,2016-06-15,2016-07-18,1,2,3,4,7,7,7,7,7,7,7,7,7,7
v1.0.0 - v1.1.0,2016-07-18,2016-09-03,1,2,2,4,6,6,6,6,6,6,6,6,6,6
v1.1.0 - v1.2.0,2016-09-03,2016-10-07,1,2,3,5,6,6,6,6,6,6,6,6,6,6
v1.2.0 - v1.3.0,2016-10-07,2016-11-01,1,2,2,4,6,6,6,6,6,6,6,6,6,6
v1.3.0 - v1.4.0,2016-11-01,2016-11-25,1,2,3,4,5,5,5,5,5,5,5,5,5,5
v1.4.0 - v1.5.0,2016-11-25,2017-01-23,1,2,3,5,7,7,7,7,7,7,7,7,7,7
v1.5.0 - v1.6.0,2017-01-23,2017-04-14,1,2,2,4,6,9,9,9,9,9,9,9,9,9
v1.6.0 - v1.7.0,2017-04-14,2017-06-07,1,2,3,3,6,9,9,9,9,9,9,9,9,9
v1.7.0 - v1.8.0,2017-06-07,2017-10-06,1,2,3,5,8,10,11,11,11,11,11,11,11,11
v1.8.0 - v2.0.0,2017-10-06,2017-11-08,1,2,3,5,8,10,10,10,10,10,10,10,10,10
v2.0.0 - v2.1.0,2017-11-08,2018-01-19,1,2,3,5,8,9,10,10,10,10,10,10,10,10
v2.1.0 - v2.2.0,2018-01-19,2018-03-08,1,2,3,5,7,9,10,10,10,10,10,10,10,10
v2.2.0 - now,2018-03-08,2018-04-12,1,2,3,5,8,9,9,9,9,9,9,9,9,9
