Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
start - v0.10.0,1/6/2014,1/26/2015,71.6%,76.1%,77.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%
v0.10.0 - v0.20.0,1/26/2015,6/15/2016,61.6%,73.1%,82.0%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.20.0 - v1.0.0,6/15/2016,7/18/2016,47.5%,66.2%,82.8%,94.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0 - v1.1.0,7/18/2016,9/3/2016,42.3%,64.8%,80.6%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0 - v1.2.0,9/3/2016,10/7/2016,25.5%,47.1%,64.7%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.2.0 - v1.3.0,10/7/2016,11/1/2016,45.9%,74.6%,87.6%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.3.0 - v1.4.0,11/1/2016,11/25/2016,35.9%,66.3%,84.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.4.0 - v1.5.0,11/25/2016,1/23/2017,28.8%,49.8%,69.9%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.5.0 - v1.6.0,1/23/2017,4/14/2017,45.1%,66.4%,79.5%,97.8%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
v1.6.0 - v1.7.0,4/14/2017,6/7/2017,31.7%,59.5%,79.7%,91.7%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%
v1.7.0 - v1.8.0,6/7/2017,10/6/2017,29.5%,53.1%,76.2%,89.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
v1.8.0 - v2.0.0,10/6/2017,11/8/2017,32.6%,56.3%,72.6%,89.4%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
v2.0.0 - v2.1.0,11/8/2017,1/19/2018,26.8%,46.4%,61.7%,85.8%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%
v2.1.0 - v2.2.0,1/19/2018,3/8/2018,30.7%,54.5%,70.2%,93.5%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
v2.2.0 - now,3/8/2018,4/13/2018,40.3%,58.2%,70.7%,88.2%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
