Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
start - v0.10.0,1/6/2014,1/26/2015,69.5%,78.5%,81.2%,83.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%
v0.10.0 - v0.20.0,1/26/2015,6/15/2016,50.0%,60.0%,68.7%,75.9%,85.3%,87.1%,87.7%,88.1%,88.5%,89.5%,91.0%,92.1%,92.1%,92.1%
v0.20.0 - v1.0.0,6/15/2016,7/18/2016,36.0%,55.5%,67.0%,73.0%,78.4%,80.1%,81.2%,82.0%,82.8%,83.9%,83.9%,83.9%,83.9%,83.9%
v1.0.0 - v1.1.0,7/18/2016,9/3/2016,30.9%,49.2%,60.0%,74.4%,79.7%,81.4%,82.6%,83.6%,84.4%,86.2%,86.9%,86.9%,86.9%,86.9%
v1.1.0 - v1.2.0,9/3/2016,10/7/2016,19.6%,34.5%,48.1%,69.3%,77.4%,79.4%,81.0%,82.2%,83.2%,85.5%,85.5%,85.5%,85.5%,85.5%
v1.2.0 - v1.3.0,10/7/2016,11/1/2016,29.8%,56.5%,65.3%,70.8%,76.5%,78.5%,80.2%,81.0%,81.8%,83.5%,83.5%,83.5%,83.5%,83.5%
v1.3.0 - v1.4.0,11/1/2016,11/25/2016,22.4%,43.8%,59.8%,71.2%,75.9%,77.7%,78.9%,79.8%,80.7%,81.0%,81.0%,81.0%,81.0%,81.0%
v1.4.0 - v1.5.0,11/25/2016,1/23/2017,16.8%,29.1%,41.1%,60.5%,66.7%,69.1%,70.4%,71.3%,72.1%,73.9%,74.1%,74.1%,74.1%,74.1%
v1.5.0 - v1.6.0,1/23/2017,4/14/2017,28.0%,51.1%,59.7%,71.0%,75.3%,76.6%,77.3%,77.8%,78.2%,79.8%,81.8%,81.9%,81.9%,81.9%
v1.6.0 - v1.7.0,4/14/2017,6/7/2017,22.6%,42.4%,61.3%,70.7%,78.4%,79.5%,80.4%,81.0%,81.5%,82.7%,83.4%,83.4%,83.4%,83.4%
v1.7.0 - v1.8.0,6/7/2017,10/6/2017,22.0%,39.1%,54.4%,62.8%,68.9%,71.6%,72.7%,73.5%,74.0%,75.6%,77.2%,77.9%,77.9%,77.9%
v1.8.0 - v2.0.0,10/6/2017,11/8/2017,20.4%,38.1%,51.4%,63.5%,73.5%,75.3%,76.5%,77.3%,78.1%,80.0%,80.5%,80.5%,80.5%,80.5%
v2.0.0 - v2.1.0,11/8/2017,1/19/2018,20.9%,33.8%,41.9%,56.2%,63.6%,66.1%,67.6%,68.6%,69.3%,70.8%,72.3%,72.3%,72.3%,72.3%
v2.1.0 - v2.2.0,1/19/2018,3/8/2018,21.7%,36.4%,46.7%,61.8%,68.5%,70.9%,72.0%,72.9%,73.5%,74.7%,75.3%,75.3%,75.3%,75.3%
v2.2.0 - now,3/8/2018,4/13/2018,31.9%,40.0%,47.2%,59.6%,66.0%,67.7%,68.6%,69.1%,69.6%,69.8%,69.8%,69.8%,69.8%,69.8%
