Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
start - v0.10.0,2014-01-06,2015-01-26,1,1,1,1,6,9,10,10,10,10,10,10,10,10
v0.10.0 - v0.20.0,2015-01-26,2016-06-15,1,1,1,3,7,10,14,15,17,26,47,92,160,202
v0.20.0 - v1.0.0,2016-06-15,2016-07-18,1,2,3,5,7,9,10,13,13,21,37,38,38,38
v1.0.0 - v1.1.0,2016-07-18,2016-09-03,1,2,2,4,6,9,11,14,17,24,41,60,60,60
v1.1.0 - v1.2.0,2016-09-03,2016-10-07,1,2,3,4,7,12,14,16,19,25,42,50,50,50
v1.2.0 - v1.3.0,2016-10-07,2016-11-01,1,2,2,3,7,10,11,12,13,25,41,41,41,41
v1.3.0 - v1.4.0,2016-11-01,2016-11-25,1,2,3,5,7,9,10,14,15,18,30,33,33,33
v1.4.0 - v1.5.0,2016-11-25,2017-01-23,1,2,3,5,7,10,12,14,15,20,28,45,53,53
v1.5.0 - v1.6.0,2017-01-23,2017-04-14,1,2,2,4,8,10,12,13,14,19,29,61,102,102
v1.6.0 - v1.7.0,2017-04-14,2017-06-07,1,2,3,4,6,9,10,12,14,20,30,50,66,66
v1.7.0 - v1.8.0,2017-06-07,2017-10-06,1,2,3,4,7,10,13,15,17,25,43,57,101,126
v1.8.0 - v2.0.0,2017-10-06,2017-11-08,1,2,3,5,9,9,12,15,17,22,37,53,57,57
v2.0.0 - v2.1.0,2017-11-08,2018-01-19,1,2,3,5,7,9,14,17,20,27,38,44,82,82
v2.1.0 - v2.2.0,2018-01-19,2018-03-08,1,2,3,5,7,11,12,14,16,22,29,44,61,61
v2.2.0 - now,2018-03-08,2018-04-12,1,2,3,5,8,10,12,13,14,16,21,33,33,33
