ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-01-06T00:00:00Z,2016-05-09T00:00:00Z,Before joining CNCF,854,12287,5723,2158,4406,5777,12129,569,14,337,351,132,548,177,11,92,151,70,156,14.387587822014051,6.701405152224824,2.5269320843091334,5.159250585480094,6.76463700234192,14.202576112412178,"juliusv,fabxc,beorn7",SoundCloud,1,5961,48.5146903231057215,"SoundCloud,Robust Perception,groom gbr",8725,71.0100105802881094,"fabxc,juliusv,beorn7",SoundCloud,1,3308,57.8018521754324655,"SoundCloud,groom gbr,Robust Perception",4715,82.3868600384413769,"juliusv,brian-brazil,beorn7","SoundCloud,Robust Perception",2,689,31.9277108433734940,"SoundCloud,Robust Perception,groom gbr",1105,51.2048192771084337,"juliusv,fabxc,beorn7",SoundCloud,1,2027,46.0054471175669542,"SoundCloud,Robust Perception,groom gbr",2905,65.9328188833408988,"juliusv,brian-brazil,fabxc","SoundCloud,Robust Perception",2,3166,54.8035312445906180,"SoundCloud,Robust Perception,Boxever",4325,74.8658473256015233,"juliusv,brian-brazil,fabxc","SoundCloud,Robust Perception",2,5024,41.4213867590073378,"SoundCloud,Robust Perception,groom gbr",7526,62.0496331107263583
2,2016-05-09T00:00:00Z,2018-04-13T00:00:00Z,Since joining CNCF,704,20487,6226,6668,7593,9310,29013,2358,22,1672,1022,378,2646,379,12,219,306,145,365,29.100852272727273,8.84375,9.471590909090908,10.785511363636363,13.224431818181818,41.21164772727273,"brian-brazil,fabxc,grobie","Robust Perception,Red Hat,SoundCloud",3,7858,38.3560306535852004,"Robust Perception,SoundCloud,Red Hat",10650,51.9841850929857959,"brian-brazil,fabxc,grobie","Robust Perception,Red Hat,SoundCloud",3,3396,54.5454545454545455,"SoundCloud,Robust Perception,Red Hat",4435,71.2335367812399615,"brian-brazil,beorn7,grobie","Robust Perception,SoundCloud",2,1901,28.5092981403719256,"Robust Perception,SoundCloud,Red Hat",2477,37.1475704859028194,"brian-brazil,fabxc,beorn7","Robust Perception,Red Hat,SoundCloud",3,2705,35.6249176873436060,"Robust Perception,Red Hat,SoundCloud",3738,49.2295535361517187,"brian-brazil,grobie,beorn7","Robust Perception,SoundCloud",2,4226,45.3920515574650913,"Robust Perception,SoundCloud,Red Hat",5799,62.2878625134264232,"brian-brazil,beorn7,fabxc","Robust Perception,SoundCloud,Red Hat",3,9703,33.4436287181608245,"Robust Perception,SoundCloud,Red Hat",13458,46.3861027815117361
1001,2014-01-06T00:00:00Z,2015-01-26T14:54:01Z,start - v0.10.0,385,894,522,122,250,412,505,18,8,13,14,8,20,10,5,7,8,5,10,2.322077922077922,1.3558441558441559,0.3168831168831169,0.6493506493506493,1.07012987012987,1.3116883116883118,"juliusv,u-c-l,stuartnelson3",SoundCloud,1,660,73.8255033557046980,"SoundCloud,Boxever,groom gbr",726,81.2080536912751678,"juliusv,u-c-l,stuartnelson3",SoundCloud,1,453,86.7816091954022989,"SoundCloud,Boxever,imgix",402,77.0114942528735632,"juliusv,grobie,stuartnelson3","SoundCloud,groom gbr",2,88,72.1311475409836066,"SoundCloud,groom gbr,Boxever",108,88.5245901639344262,"juliusv,beorn7,brian-brazil","SoundCloud,Boxever",2,183,73.2000000000000000,"SoundCloud,Boxever,groom gbr",217,86.8000000000000000,"juliusv,brian-brazil,stuartnelson3","SoundCloud,Boxever",2,357,86.6504854368932039,"SoundCloud,Boxever,groom gbr",387,93.9320388349514563,"juliusv,brian-brazil,stuartnelson3","SoundCloud,Boxever",2,352,69.7029702970297030,"SoundCloud,Boxever,groom gbr",430,85.1485148514851485
1002,2015-01-26T14:54:01Z,2016-06-15T15:52:52Z,v0.10.0 - v0.20.0,506,12202,5464,2281,4457,5650,12902,659,12,394,397,142,635,201,10,101,175,74,178,24.114624505928855,10.798418972332016,4.507905138339921,8.808300395256918,11.16600790513834,25.49802371541502,"fabxc,juliusv,beorn7",SoundCloud,1,5549,45.4761514505818718,"SoundCloud,Robust Perception,groom gbr",8388,68.7428290444189477,"fabxc,juliusv,grobie","SoundCloud,groom gbr",2,3092,56.5885797950219619,"SoundCloud,groom gbr,Robust Perception",4483,82.0461200585651537,"brian-brazil,beorn7,juliusv","Robust Perception,SoundCloud",2,661,28.9785181937746602,"SoundCloud,Robust Perception,groom gbr",1053,46.1639631740464708,"juliusv,fabxc,brian-brazil","SoundCloud,Robust Perception",2,1952,43.7962755216513350,"SoundCloud,Robust Perception,groom gbr",2852,63.9892304240520530,"juliusv,brian-brazil,fabxc","SoundCloud,Robust Perception",2,3072,54.3716814159292035,"SoundCloud,Robust Perception,Boxever",4106,72.6725663716814159,"juliusv,brian-brazil,fabxc","SoundCloud,Robust Perception",2,5103,39.5520074407068672,"SoundCloud,Robust Perception,groom gbr",7732,59.9286932258564564
1003,2016-06-15T15:52:52Z,2016-07-18T14:19:29Z,v0.20.0 - v1.0.0,32,634,204,181,249,266,876,102,8,59,57,30,119,37,7,17,29,17,38,19.8125,6.375,5.65625,7.78125,8.3125,27.375,"fabxc,brian-brazil,beorn7","Red Hat,Robust Perception,SoundCloud",3,403,63.5646687697160883,"Red Hat,Robust Perception,SoundCloud",425,67.0347003154574132,"fabxc,brian-brazil,beorn7","Red Hat,Robust Perception,SoundCloud",3,156,76.4705882352941176,"Red Hat,Robust Perception,SoundCloud",169,82.8431372549019608,"brian-brazil,fabxc,beorn7","Robust Perception,Red Hat,SoundCloud",3,91,50.2762430939226519,"Robust Perception,Red Hat,SoundCloud",93,51.3812154696132597,"fabxc,brian-brazil,beorn7","Red Hat,Robust Perception,SoundCloud",3,156,62.6506024096385542,"Red Hat,Robust Perception,SoundCloud",163,65.4618473895582329,"brian-brazil,beorn7,fabxc","Robust Perception,SoundCloud,Red Hat",3,169,63.5338345864661654,"Robust Perception,Red Hat,SoundCloud",179,67.2932330827067669,"brian-brazil,fabxc,beorn7","Robust Perception,Red Hat,SoundCloud",3,507,57.8767123287671233,"Robust Perception,SoundCloud,Red Hat",555,63.3561643835616438
1004,2016-07-18T14:19:29Z,2016-09-03T19:01:04Z,v1.0.0 - v1.1.0,47,1283,494,343,446,746,1738,172,8,117,84,44,215,59,6,35,44,24,67,27.29787234042553,10.51063829787234,7.297872340425532,9.48936170212766,15.872340425531915,36.97872340425532,"fabxc,grobie,beorn7","Red Hat,SoundCloud",2,568,44.2712392829306313,"SoundCloud,Red Hat,Prometheus Consulting",770,60.0155884645362432,"fabxc,grobie,beorn7","Red Hat,SoundCloud",2,285,57.6923076923076923,"SoundCloud,Red Hat,Prometheus Consulting",398,80.5668016194331984,"beorn7,grobie,fabxc","SoundCloud,Red Hat",2,107,31.1953352769679300,"SoundCloud,Red Hat,Robust Perception",136,39.6501457725947522,"fabxc,beorn7,brian-brazil","Red Hat,SoundCloud,Robust Perception",3,176,39.4618834080717489,"SoundCloud,Red Hat,Robust Perception",243,54.4843049327354260,"brian-brazil,beorn7,grobie","Robust Perception,SoundCloud",2,430,57.6407506702412869,"SoundCloud,Robust Perception,Red Hat",583,78.1501340482573727,"brian-brazil,beorn7,fabxc","Robust Perception,SoundCloud,Red Hat",3,741,42.6352128883774453,"SoundCloud,Robust Perception,Red Hat",990,56.9620253164556962
1005,2016-09-03T19:01:04Z,2016-10-07T12:50:26Z,v1.1.0 - v1.2.0,33,936,329,239,368,536,1371,139,7,87,73,34,165,49,6,26,36,20,50,28.363636363636363,9.969696969696969,7.242424242424242,11.151515151515152,16.242424242424242,41.54545454545455,"juliusv,fabxc,brian-brazil","Prometheus Consulting,Red Hat,Robust Perception",3,376,40.1709401709401709,"SoundCloud,Prometheus Consulting,Red Hat",450,48.0769230769230769,"juliusv,grobie,fabxc","Prometheus Consulting,SoundCloud,Red Hat",3,187,56.8389057750759878,"SoundCloud,Prometheus Consulting,Red Hat",213,64.7416413373860182,"beorn7,brian-brazil,zxwing","SoundCloud,Robust Perception",2,72,30.1255230125523013,"SoundCloud,Robust Perception,Red Hat",83,34.7280334728033473,"juliusv,brian-brazil,fabxc","Prometheus Consulting,Robust Perception,Red Hat",3,152,41.3043478260869565,"SoundCloud,Prometheus Consulting,Red Hat",168,45.6521739130434783,"brian-brazil,juliusv,fabxc","Robust Perception,Prometheus Consulting,Red Hat",3,286,53.3582089552238806,"Robust Perception,SoundCloud,Prometheus Consulting",335,62.5000000000000000,"brian-brazil,juliusv,beorn7","Robust Perception,Prometheus Consulting,SoundCloud",3,550,40.1167031363967907,"Robust Perception,SoundCloud,Prometheus Consulting",647,47.1918307804522247
1006,2016-10-07T12:50:26Z,2016-11-01T16:24:33Z,v1.2.0 - v1.3.0,25,600,209,143,248,246,749,102,8,63,55,27,143,40,6,23,28,15,55,24,8.36,5.72,9.92,9.84,29.96,"brian-brazil,beorn7,grobie","Robust Perception,SoundCloud",2,316,52.6666666666666667,"SoundCloud,Robust Perception,Red Hat",392,65.3333333333333333,"brian-brazil,grobie,beorn7","Robust Perception,SoundCloud",2,143,68.4210526315789474,"SoundCloud,Robust Perception,Red Hat",183,87.5598086124401914,"brian-brazil,grobie,beorn7","Robust Perception,SoundCloud",2,62,43.3566433566433566,"Robust Perception,SoundCloud,Red Hat",68,47.5524475524475524,"brian-brazil,beorn7,gittex","Robust Perception,SoundCloud",2,114,45.9677419354838710,"SoundCloud,Robust Perception,Red Hat",141,56.8548387096774194,"brian-brazil,beorn7,juliusv","Robust Perception,SoundCloud,Prometheus Consulting",3,142,57.7235772357723577,"Robust Perception,SoundCloud,Prometheus Consulting",163,66.2601626016260163,"brian-brazil,beorn7,brancz","Robust Perception,SoundCloud,Red Hat",3,294,39.2523364485981308,"Robust Perception,SoundCloud,Red Hat",383,51.1348464619492657
1007,2016-11-01T16:24:33Z,2016-11-25T12:35:04Z,v1.3.0 - v1.4.0,23,584,184,194,206,239,858,108,7,77,46,20,126,32,5,23,21,12,36,25.391304347826086,8,8.434782608695652,8.956521739130435,10.391304347826088,37.30434782608695,"fabxc,beorn7,brian-brazil","Red Hat,SoundCloud,Robust Perception",3,319,54.6232876712328767,"SoundCloud,Red Hat,Robust Perception",349,59.7602739726027397,"fabxc,beorn7,brian-brazil","Red Hat,SoundCloud,Robust Perception",3,137,74.4565217391304348,"SoundCloud,Red Hat,Robust Perception",155,84.2391304347826087,"brian-brazil,beorn7,fabxc","Robust Perception,SoundCloud,Red Hat",3,56,28.8659793814432990,"Robust Perception,SoundCloud,Red Hat",60,30.9278350515463918,"fabxc,beorn7,brian-brazil","Red Hat,SoundCloud,Robust Perception",3,126,61.1650485436893204,"Red Hat,SoundCloud,Robust Perception",134,65.0485436893203883,"brian-brazil,beorn7,fabxc","Robust Perception,SoundCloud,Red Hat",3,157,65.6903765690376569,"Robust Perception,SoundCloud,Red Hat",195,81.5899581589958159,"brian-brazil,beorn7,brancz","Robust Perception,SoundCloud,Red Hat",3,349,40.6759906759906760,"SoundCloud,Red Hat,Robust Perception",477,55.5944055944055944
1008,2016-11-25T12:35:04Z,2017-01-23T13:09:57Z,v1.4.0 - v1.5.0,59,1108,309,412,387,500,1862,224,10,165,89,43,276,52,7,34,36,21,63,18.779661016949152,5.237288135593221,6.983050847457627,6.559322033898305,8.474576271186441,31.559322033898304,"brian-brazil,discordianfish,fabxc","Robust Perception,imgix,Red Hat",3,437,39.4404332129963899,"Robust Perception,imgix,SoundCloud",455,41.0649819494584838,"brian-brazil,fabxc,SuperQ","Robust Perception,Red Hat,Robert Koch-institut",3,193,62.4595469255663430,"Robust Perception,Red Hat,SoundCloud",216,69.9029126213592233,"discordianfish,brian-brazil,SuperQ","imgix,Robust Perception,Robert Koch-institut",3,96,23.3009708737864078,"imgix,Robust Perception,SoundCloud",101,24.5145631067961165,"brian-brazil,discordianfish,fabxc","Robust Perception,imgix,Red Hat",3,156,40.3100775193798450,"Robust Perception,imgix,Red Hat",166,42.8940568475452196,"brian-brazil,discordianfish,beorn7","Robust Perception,imgix,SoundCloud",3,251,50.2000000000000000,"Robust Perception,SoundCloud,imgix",278,55.6000000000000000,"brian-brazil,discordianfish,beorn7","Robust Perception,imgix,SoundCloud",3,681,36.5735767991407089,"Robust Perception,Red Hat,SoundCloud",748,40.1718582169709989
