ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc
1,2014-01-06T00:00:00Z,2016-05-09T00:00:00Z,Before joining CNCF,854,12395,5831,2158,4406,5777,11986,570,15,337,351,132,543,178,11,93,152,71,157,14.514051522248243,6.827868852459017,2.5269320843091334,5.159250585480094,6.76463700234192,14.035128805620609,"juliusv,fabxc,beorn7,brian-brazil,grobie","SoundCloud,Robust Perception,groom gbr",3,8066,65.0746268656716418,"fabxc,juliusv,beorn7,grobie,brian-brazil","SoundCloud,groom gbr,Robust Perception",3,4322,74.1210770022294632,"juliusv,brian-brazil,beorn7,grobie,fabxc","SoundCloud,Robust Perception,groom gbr",3,1038,48.1000926784059314,"juliusv,fabxc,beorn7,brian-brazil,grobie","SoundCloud,Robust Perception,groom gbr",3,2706,61.4162505674080799,"juliusv,brian-brazil,fabxc,beorn7,brian-brazil","SoundCloud,Robust Perception,Boxever",3,4160,72.0096936126016964,"juliusv,brian-brazil,fabxc,beorn7,grobie","SoundCloud,Robust Perception,groom gbr",3,6828,56.9664608710161855
2,2016-05-09T00:00:00Z,2018-04-13T00:00:00Z,Since joining CNCF,704,20487,6226,6668,7593,9310,28914,2358,22,1672,1022,378,2634,380,13,220,307,146,365,29.100852272727273,8.84375,9.471590909090908,10.785511363636363,13.224431818181818,41.07102272727273,"brian-brazil,fabxc,grobie,beorn7,juliusv","Robust Perception,Red Hat,SoundCloud,Prometheus Consulting",4,10204,49.8071948064626348,"brian-brazil,fabxc,grobie,beorn7,juliusv","Robust Perception,Red Hat,SoundCloud,Prometheus Consulting",4,4405,70.7516864760681015,"brian-brazil,beorn7,grobie,fabxc,juliusv","Robust Perception,SoundCloud,Red Hat,Prometheus Consulting",4,2324,34.8530293941211758,"brian-brazil,fabxc,beorn7,grobie,juliusv","Robust Perception,Red Hat,SoundCloud,Prometheus Consulting",4,3475,45.7658369550902147,"brian-brazil,grobie,beorn7,fabxc,juliusv","Robust Perception,SoundCloud,Red Hat,Prometheus Consulting",4,5516,59.2481203007518797,"brian-brazil,beorn7,fabxc,grobie,juliusv","Robust Perception,SoundCloud,Red Hat,Prometheus Consulting",4,11969,41.3951718890502871
1001,2014-01-06T00:00:00Z,2015-01-26T14:54:01Z,start - v0.10.0,385,1002,630,122,250,412,495,19,9,13,14,8,19,10,5,7,8,5,10,2.602597402597403,1.6363636363636365,0.3168831168831169,0.6493506493506493,1.07012987012987,1.2857142857142858,"juliusv,u-c-l,stuartnelson3,prometheus-roobot,beorn7",SoundCloud,1,865,86.3273453093812375,"juliusv,u-c-l,prometheus-roobot,stuartnelson3,beorn7",SoundCloud,1,597,94.7619047619047619,"juliusv,grobie,stuartnelson3,beorn7,brian-brazil","SoundCloud,groom gbr,Boxever",3,106,86.8852459016393443,"juliusv,beorn7,brian-brazil,stuartnelson3,u-c-l","SoundCloud,Boxever",2,234,93.6000000000000000,"juliusv,brian-brazil,stuartnelson3,grobie,typingduck","SoundCloud,Boxever,groom gbr,WATTx",4,387,93.9320388349514563,"juliusv,brian-brazil,stuartnelson3,grobie,beorn7","SoundCloud,Boxever,groom gbr",3,418,84.4444444444444444
1002,2015-01-26T14:54:01Z,2016-06-15T15:52:52Z,v0.10.0 - v0.20.0,506,12202,5464,2281,4457,5650,12765,659,12,394,397,142,630,202,10,102,176,75,179,24.114624505928855,10.798418972332016,4.507905138339921,8.808300395256918,11.16600790513834,25.227272727272727,"fabxc,juliusv,beorn7,brian-brazil,grobie","SoundCloud,Robust Perception,groom gbr",3,7831,64.1780036059662350,"fabxc,juliusv,grobie,beorn7,brian-brazil","SoundCloud,groom gbr,Robust Perception",3,4154,76.0248901903367496,"brian-brazil,beorn7,juliusv,grobie,fabxc","Robust Perception,SoundCloud,groom gbr",3,999,43.7965804471722929,"juliusv,fabxc,brian-brazil,beorn7,grobie","SoundCloud,Robust Perception,groom gbr",3,2678,60.0852591429212475,"juliusv,brian-brazil,fabxc,beorn7,brian-brazil","SoundCloud,Robust Perception,Boxever",3,3959,70.0707964601769912,"juliusv,brian-brazil,fabxc,beorn7,grobie","SoundCloud,Robust Perception,groom gbr",3,7063,55.3309831570701136
1003,2016-06-15T15:52:52Z,2016-07-18T14:19:29Z,v0.20.0 - v1.0.0,32,634,204,181,249,266,871,102,8,59,57,30,119,38,7,18,30,17,39,19.8125,6.375,5.65625,7.78125,8.3125,27.21875,"fabxc,brian-brazil,beorn7,juliusv,sdurrheimer","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting,Netapsys Grand",5,441,69.5583596214511041,"fabxc,brian-brazil,beorn7,juliusv,grobie","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting",4,180,88.2352941176470588,"brian-brazil,fabxc,beorn7,hryamzik,svenmueller","Robust Perception,Red Hat,SoundCloud",3,103,56.9060773480662983,"fabxc,brian-brazil,beorn7,juliusv,ShalomCohen","Red Hat,Robust Perception,SoundCloud,Prometheus Consulting",4,168,67.4698795180722892,"brian-brazil,beorn7,fabxc,juliusv,tbouvet","Robust Perception,SoundCloud,Red Hat,Prometheus Consulting,Raízen",5,198,74.4360902255639098,"brian-brazil,fabxc,beorn7,juliusv,matthiasr","Robust Perception,Red Hat,SoundCloud,Prometheus Consulting",4,555,63.7198622273249139
1004,2016-07-18T14:19:29Z,2016-09-03T19:01:04Z,v1.0.0 - v1.1.0,47,1283,494,343,446,746,1733,172,8,117,84,44,215,60,6,36,45,24,68,27.29787234042553,10.51063829787234,7.297872340425532,9.48936170212766,15.872340425531915,36.87234042553192,"fabxc,grobie,beorn7,juliusv,brian-brazil","Red Hat,SoundCloud,Prometheus Consulting,Robust Perception",4,828,64.5362431800467654,"fabxc,grobie,beorn7,juliusv,brian-brazil","Red Hat,SoundCloud,Prometheus Consulting,Robust Perception",4,416,84.2105263157894737,"beorn7,grobie,fabxc,brian-brazil,juliusv","SoundCloud,Red Hat,Robust Perception,Prometheus Consulting",4,149,43.4402332361516035,"fabxc,beorn7,brian-brazil,grobie,juliusv","Red Hat,SoundCloud,Robust Perception,Prometheus Consulting",4,263,58.9686098654708520,"brian-brazil,beorn7,grobie,fabxc,juliusv","Robust Perception,SoundCloud,Red Hat,Prometheus Consulting",4,619,82.9758713136729223,"brian-brazil,beorn7,fabxc,grobie,juliusv","Robust Perception,SoundCloud,Red Hat,Prometheus Consulting",4,1034,59.6653202538949798
1005,2016-09-03T19:01:04Z,2016-10-07T12:50:26Z,v1.1.0 - v1.2.0,33,936,329,239,368,536,1353,139,7,87,73,34,165,50,6,26,37,21,51,28.363636363636363,9.969696969696969,7.242424242424242,11.151515151515152,16.242424242424242,41,"juliusv,fabxc,brian-brazil,grobie,beorn7","Prometheus Consulting,Red Hat,Robust Perception,SoundCloud",4,553,59.0811965811965812,"juliusv,grobie,fabxc,sdurrheimer,brian-brazil","Prometheus Consulting,SoundCloud,Red Hat,Netapsys Grand,Robust Perception",5,273,82.9787234042553191,"beorn7,brian-brazil,zxwing,fabxc,juliusv","SoundCloud,Robust Perception,Red Hat,Prometheus Consulting",4,99,41.4225941422594142,"juliusv,brian-brazil,fabxc,sdurrheimer,beorn7","Prometheus Consulting,Robust Perception,Red Hat,Netapsys Grand,SoundCloud",5,214,58.1521739130434783,"brian-brazil,juliusv,fabxc,beorn7,grobie","Robust Perception,Prometheus Consulting,Red Hat,SoundCloud",4,385,71.8283582089552239,"brian-brazil,juliusv,beorn7,fabxc,grobie","Robust Perception,Prometheus Consulting,SoundCloud,Red Hat",4,724,53.5107169253510717
1006,2016-10-07T12:50:26Z,2016-11-01T16:24:33Z,v1.2.0 - v1.3.0,25,600,209,143,248,246,747,102,8,63,55,27,143,41,6,24,29,16,56,24,8.36,5.72,9.92,9.84,29.88,"brian-brazil,beorn7,grobie,fabxc,gittex","Robust Perception,SoundCloud,Red Hat",3,387,64.5000000000000000,"brian-brazil,grobie,beorn7,fabxc,SuperQ","Robust Perception,SoundCloud,Red Hat,Robert Koch-institut",4,186,88.9952153110047847,"brian-brazil,grobie,beorn7,fabxc,EdSchouten","Robust Perception,SoundCloud,Red Hat,Kumina bv",4,72,50.3496503496503497,"brian-brazil,beorn7,gittex,grobie,fabxc","Robust Perception,SoundCloud,Red Hat",3,149,60.0806451612903226,"brian-brazil,beorn7,juliusv,grobie,iggyzap","Robust Perception,SoundCloud,Prometheus Consulting",3,170,69.1056910569105691,"brian-brazil,beorn7,brancz,SuperQ,fabxc","Robust Perception,SoundCloud,Red Hat,Robert Koch-institut",4,350,46.8540829986613119
1007,2016-11-01T16:24:33Z,2016-11-25T12:35:04Z,v1.3.0 - v1.4.0,23,584,184,194,206,239,842,108,7,77,46,20,121,33,5,23,22,12,35,25.391304347826086,8,8.434782608695652,8.956521739130435,10.391304347826088,36.608695652173914,"fabxc,beorn7,brian-brazil,SuperQ,juliusv","Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting",5,386,66.0958904109589041,"fabxc,beorn7,brian-brazil,SuperQ,grobie","Red Hat,SoundCloud,Robust Perception,Robert Koch-institut",4,171,92.9347826086956522,"brian-brazil,beorn7,fabxc,SuperQ,sudhirpandey","Robust Perception,SoundCloud,Red Hat,Robert Koch-institut",4,72,37.1134020618556701,"fabxc,beorn7,brian-brazil,SuperQ,juliusv","Red Hat,SoundCloud,Robust Perception,Robert Koch-institut,Prometheus Consulting",5,151,73.3009708737864078,"brian-brazil,beorn7,fabxc,grobie,SuperQ","Robust Perception,SoundCloud,Red Hat,Robert Koch-institut",4,186,77.8242677824267782,"brian-brazil,beorn7,brancz,fabxc,SuperQ","Robust Perception,SoundCloud,Red Hat,Robert Koch-institut",4,454,53.9192399049881235
1008,2016-11-25T12:35:04Z,2017-01-23T13:09:57Z,v1.4.0 - v1.5.0,59,1108,309,412,387,500,1858,224,10,165,89,43,275,53,7,35,37,22,64,18.779661016949152,5.237288135593221,6.983050847457627,6.559322033898305,8.474576271186441,31.491525423728813,"brian-brazil,discordianfish,fabxc,SuperQ,beorn7","Robust Perception,imgix,Red Hat,Robert Koch-institut,SoundCloud",5,606,54.6931407942238267,"brian-brazil,fabxc,SuperQ,discordianfish,beorn7","Robust Perception,Red Hat,Robert Koch-institut,imgix,SoundCloud",5,262,84.7896440129449838,"discordianfish,brian-brazil,SuperQ,beorn7,fabxc","imgix,Robust Perception,Robert Koch-institut,SoundCloud,Red Hat",5,130,31.5533980582524272,"brian-brazil,discordianfish,fabxc,beorn7,SuperQ","Robust Perception,imgix,Red Hat,SoundCloud,Robert Koch-institut",5,214,55.2971576227390181,"brian-brazil,discordianfish,beorn7,SuperQ,grobie","Robust Perception,imgix,SoundCloud,Robert Koch-institut",4,307,61.4000000000000000,"brian-brazil,discordianfish,beorn7,SuperQ,fabxc","Robust Perception,imgix,SoundCloud,Robert Koch-institut,Red Hat",5,883,47.5242195909580194
