Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,11/27/2014,3/29/2017,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,SORINT.lab","Red Hat,Kinvolk,SORINT.lab,Intel","Red Hat,Kinvolk,SORINT.lab,Intel,Google","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech,StackPointCloud,Giant Swarm,Weaveworks,Gravitational,Pivotal","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech,StackPointCloud,Giant Swarm,Weaveworks,Gravitational,Pivotal,Aperian Global,Airware,Schuberg Philis,QBE Insurance,nVisium,Bulletproof,PayPal,Soficom,FireEye,CrypTag,Futurequest,National Geographic,Oteemo,Rancher,Source{d},Discogs,FICO,Unbounce,Ubisoft,Uber","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech,StackPointCloud,Giant Swarm,Weaveworks,Gravitational,Pivotal,Aperian Global,Airware,Schuberg Philis,QBE Insurance,nVisium,Bulletproof,PayPal,Soficom,FireEye,CrypTag,Futurequest,National Geographic,Oteemo,Rancher,Source{d},Discogs,FICO,Unbounce,Ubisoft,Uber,Radicore AB,42 Tech,AD/FIN,Tieto,Center for Open Science,Pear,MappingBook,Gaikai,Stack Exchange,Contap,Cryptic Studios,Egnyte,Adidas,ZeMoSo Technologies,WSO2,Verizon,US Navy,Tower Research Capital,ThoughtWorks,Thomson Reuters,SportZing Corporation,Samsung,Proofpoint,Nuance Communications,Nebula,Karl Herler,Infoxchange,imgix,IBM,Honestbee,Heroku,Gigawatt IO,Docker,Devops,CoScale,Cloudius Systems,Checkr,CABNetworks,Apcera,Apache,AngularClass,Alternative Storage,✕✕✕✕✕","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech,StackPointCloud,Giant Swarm,Weaveworks,Gravitational,Pivotal,Aperian Global,Airware,Schuberg Philis,QBE Insurance,nVisium,Bulletproof,PayPal,Soficom,FireEye,CrypTag,Futurequest,National Geographic,Oteemo,Rancher,Source{d},Discogs,FICO,Unbounce,Ubisoft,Uber,Radicore AB,42 Tech,AD/FIN,Tieto,Center for Open Science,Pear,MappingBook,Gaikai,Stack Exchange,Contap,Cryptic Studios,Egnyte,Adidas,ZeMoSo Technologies,WSO2,Verizon,US Navy,Tower Research Capital,ThoughtWorks,Thomson Reuters,SportZing Corporation,Samsung,Proofpoint,Nuance Communications,Nebula,Karl Herler,Infoxchange,imgix,IBM,Honestbee,Heroku,Gigawatt IO,Docker,Devops,CoScale,Cloudius Systems,Checkr,CABNetworks,Apcera,Apache,AngularClass,Alternative Storage,✕✕✕✕✕","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech,StackPointCloud,Giant Swarm,Weaveworks,Gravitational,Pivotal,Aperian Global,Airware,Schuberg Philis,QBE Insurance,nVisium,Bulletproof,PayPal,Soficom,FireEye,CrypTag,Futurequest,National Geographic,Oteemo,Rancher,Source{d},Discogs,FICO,Unbounce,Ubisoft,Uber,Radicore AB,42 Tech,AD/FIN,Tieto,Center for Open Science,Pear,MappingBook,Gaikai,Stack Exchange,Contap,Cryptic Studios,Egnyte,Adidas,ZeMoSo Technologies,WSO2,Verizon,US Navy,Tower Research Capital,ThoughtWorks,Thomson Reuters,SportZing Corporation,Samsung,Proofpoint,Nuance Communications,Nebula,Karl Herler,Infoxchange,imgix,IBM,Honestbee,Heroku,Gigawatt IO,Docker,Devops,CoScale,Cloudius Systems,Checkr,CABNetworks,Apcera,Apache,AngularClass,Alternative Storage,✕✕✕✕✕","Red Hat,Kinvolk,SORINT.lab,Intel,Google,EMC,Deis,Huawei,Facebook,Kismatic,Travelping,University of Queensland,Endocode,Siemens,appOrbit,Debian,Peerigon,Tigera,SUSE,Pantheon Platform,SAP,Fedora,Mirantis,Compose,Virginia Tech,StackPointCloud,Giant Swarm,Weaveworks,Gravitational,Pivotal,Aperian Global,Airware,Schuberg Philis,QBE Insurance,nVisium,Bulletproof,PayPal,Soficom,FireEye,CrypTag,Futurequest,National Geographic,Oteemo,Rancher,Source{d},Discogs,FICO,Unbounce,Ubisoft,Uber,Radicore AB,42 Tech,AD/FIN,Tieto,Center for Open Science,Pear,MappingBook,Gaikai,Stack Exchange,Contap,Cryptic Studios,Egnyte,Adidas,ZeMoSo Technologies,WSO2,Verizon,US Navy,Tower Research Capital,ThoughtWorks,Thomson Reuters,SportZing Corporation,Samsung,Proofpoint,Nuance Communications,Nebula,Karl Herler,Infoxchange,imgix,IBM,Honestbee,Heroku,Gigawatt IO,Docker,Devops,CoScale,Cloudius Systems,Checkr,CABNetworks,Apcera,Apache,AngularClass,Alternative Storage,✕✕✕✕✕"
Since joining CNCF,3/29/2017,4/17/2018,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,Caelum","Red Hat,Kinvolk,Caelum,Checkr","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua","Red Hat,Kinvolk,Caelum,Checkr,BlaBlaCar,Docker,42 Tech,PayPal,Nemo.ai,UMCloud,Softonic,CNCF,Futurequest,Hupp,Inovex,CoScale,Virginia Tech,University of Queensland,SUSE,CrypTag,genua"
2014,11/27/2014,1/1/2015,Red Hat,"Red Hat,Google","Red Hat,Google,Deis","Red Hat,Google,Deis,SORINT.lab","Red Hat,Google,Deis,SORINT.lab,Kismatic","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Kismatic,Facebook,Virginia Tech,Giant Swarm,Source{d},Pivotal,Gigawatt IO,Cloudius Systems,Thomson Reuters,Proofpoint,AngularClass"
2015,1/1/2015,1/1/2016,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,SORINT.lab","Red Hat,Kinvolk,SORINT.lab,Intel","Red Hat,Kinvolk,SORINT.lab,Intel,Google","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft,Pear,Pivotal,FICO,Schuberg Philis,Docker","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft,Pear,Pivotal,FICO,Schuberg Philis,Docker,Samsung,SAP,SportZing Corporation,Peerigon,Nuance Communications,Nebula,Mirantis,Tower Research Capital,US Navy,ZeMoSo Technologies,✕✕✕✕✕,Apache,Apcera,Compose,Debian,Giant Swarm,Heroku,Karl Herler","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft,Pear,Pivotal,FICO,Schuberg Philis,Docker,Samsung,SAP,SportZing Corporation,Peerigon,Nuance Communications,Nebula,Mirantis,Tower Research Capital,US Navy,ZeMoSo Technologies,✕✕✕✕✕,Apache,Apcera,Compose,Debian,Giant Swarm,Heroku,Karl Herler","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft,Pear,Pivotal,FICO,Schuberg Philis,Docker,Samsung,SAP,SportZing Corporation,Peerigon,Nuance Communications,Nebula,Mirantis,Tower Research Capital,US Navy,ZeMoSo Technologies,✕✕✕✕✕,Apache,Apcera,Compose,Debian,Giant Swarm,Heroku,Karl Herler","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft,Pear,Pivotal,FICO,Schuberg Philis,Docker,Samsung,SAP,SportZing Corporation,Peerigon,Nuance Communications,Nebula,Mirantis,Tower Research Capital,US Navy,ZeMoSo Technologies,✕✕✕✕✕,Apache,Apcera,Compose,Debian,Giant Swarm,Heroku,Karl Herler","Red Hat,Kinvolk,SORINT.lab,Intel,Google,Endocode,Pantheon Platform,EMC,Huawei,StackPointCloud,Gravitational,Aperian Global,nVisium,Weaveworks,QBE Insurance,Rancher,SUSE,Fedora,Soficom,Discogs,Cryptic Studios,Stack Exchange,Tieto,Center for Open Science,Ubisoft,Pear,Pivotal,FICO,Schuberg Philis,Docker,Samsung,SAP,SportZing Corporation,Peerigon,Nuance Communications,Nebula,Mirantis,Tower Research Capital,US Navy,ZeMoSo Technologies,✕✕✕✕✕,Apache,Apcera,Compose,Debian,Giant Swarm,Heroku,Karl Herler"
2016,1/1/2016,1/1/2017,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,Intel","Red Hat,Kinvolk,Intel,SORINT.lab","Red Hat,Kinvolk,Intel,SORINT.lab,EMC","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo,CrypTag,FireEye,MappingBook,Radicore AB,Contap","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo,CrypTag,FireEye,MappingBook,Radicore AB,Contap,Virginia Tech,Schuberg Philis,AD/FIN,Uber,Unbounce,42 Tech,WSO2,Egnyte,Devops,Gaikai,Giant Swarm,Honestbee,IBM,imgix,Infoxchange,Pivotal,StackPointCloud,ThoughtWorks,Verizon,Weaveworks","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo,CrypTag,FireEye,MappingBook,Radicore AB,Contap,Virginia Tech,Schuberg Philis,AD/FIN,Uber,Unbounce,42 Tech,WSO2,Egnyte,Devops,Gaikai,Giant Swarm,Honestbee,IBM,imgix,Infoxchange,Pivotal,StackPointCloud,ThoughtWorks,Verizon,Weaveworks,Alternative Storage,Adidas","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo,CrypTag,FireEye,MappingBook,Radicore AB,Contap,Virginia Tech,Schuberg Philis,AD/FIN,Uber,Unbounce,42 Tech,WSO2,Egnyte,Devops,Gaikai,Giant Swarm,Honestbee,IBM,imgix,Infoxchange,Pivotal,StackPointCloud,ThoughtWorks,Verizon,Weaveworks,Alternative Storage,Adidas","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo,CrypTag,FireEye,MappingBook,Radicore AB,Contap,Virginia Tech,Schuberg Philis,AD/FIN,Uber,Unbounce,42 Tech,WSO2,Egnyte,Devops,Gaikai,Giant Swarm,Honestbee,IBM,imgix,Infoxchange,Pivotal,StackPointCloud,ThoughtWorks,Verizon,Weaveworks,Alternative Storage,Adidas","Red Hat,Kinvolk,Intel,SORINT.lab,EMC,Huawei,Travelping,University of Queensland,appOrbit,Siemens,Tigera,Debian,Peerigon,SAP,Google,SUSE,Fedora,Mirantis,Compose,PayPal,Airware,Bulletproof,Futurequest,National Geographic,Oteemo,CrypTag,FireEye,MappingBook,Radicore AB,Contap,Virginia Tech,Schuberg Philis,AD/FIN,Uber,Unbounce,42 Tech,WSO2,Egnyte,Devops,Gaikai,Giant Swarm,Honestbee,IBM,imgix,Infoxchange,Pivotal,StackPointCloud,ThoughtWorks,Verizon,Weaveworks,Alternative Storage,Adidas"
2017,1/1/2017,1/1/2018,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,Caelum","Red Hat,Kinvolk,Caelum,Intel","Red Hat,Kinvolk,Caelum,Intel,Checkr","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens","Red Hat,Kinvolk,Caelum,Intel,Checkr,Docker,42 Tech,BlaBlaCar,University of Queensland,PayPal,Travelping,Nemo.ai,Softonic,CNCF,CoScale,Virginia Tech,CABNetworks,CrypTag,Egnyte,Futurequest,Gaikai,Hupp,Inovex,Mirantis,Siemens"
2018,1/1/2018,4/17/2018,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,UMCloud","Kinvolk,Red Hat,UMCloud,SUSE","Kinvolk,Red Hat,UMCloud,SUSE,genua","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum","Kinvolk,Red Hat,UMCloud,SUSE,genua,Caelum"
11/2014,11/1/2014,12/1/2014,,,,,,,,,,,,,,,
12/2014,12/1/2014,1/1/2015,Red Hat,"Red Hat,Google","Red Hat,Google,Deis","Red Hat,Google,Deis,SORINT.lab","Red Hat,Google,Deis,SORINT.lab,Facebook","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass","Red Hat,Google,Deis,SORINT.lab,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Thomson Reuters,Cloudius Systems,Gigawatt IO,Proofpoint,AngularClass"
01/2015,1/1/2015,2/1/2015,Red Hat,"Red Hat,SORINT.lab","Red Hat,SORINT.lab,Google","Red Hat,SORINT.lab,Google,Kinvolk","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm","Red Hat,SORINT.lab,Google,Kinvolk,Weaveworks,Soficom,Pivotal,✕✕✕✕✕,Giant Swarm"
