Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
11/2014,11/1/2014,12/1/2014,,,,,,,,,,,,,,,
12/2014,12/1/2014,1/1/2015,Red Hat,"Red Hat,Google","Red Hat,Google,SORINT.lab","Red Hat,Google,SORINT.lab,Deis","Red Hat,Google,SORINT.lab,Deis,Kismatic","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Kismatic,Facebook,Giant Swarm,Virginia Tech,Source{d},Pivotal,Proofpoint,Cloudius Systems,AngularClass,Thomson Reuters,Gigawatt IO"
01/2015,1/1/2015,2/1/2015,Red Hat,"Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google"
02/2015,2/1/2015,3/1/2015,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
03/2015,3/1/2015,4/1/2015,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
04/2015,4/1/2015,5/1/2015,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
05/2015,5/1/2015,6/1/2015,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
06/2015,6/1/2015,7/1/2015,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
07/2015,7/1/2015,8/1/2015,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat"
08/2015,8/1/2015,9/1/2015,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat"
