Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
11/2014,11/1/2014,12/1/2014,,,,,,,,,,,,,,,
12/2014,12/1/2014,1/1/2015,24.0%,32.9%,39.3%,45.2%,49.5%,56.9%,58.1%,58.1%,58.1%,58.1%,58.1%,58.1%,58.1%,58.1%,58.1%
01/2015,1/1/2015,2/1/2015,54.1%,64.0%,68.3%,71.2%,72.4%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%
02/2015,2/1/2015,3/1/2015,67.6%,73.4%,76.8%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%
03/2015,3/1/2015,4/1/2015,75.4%,81.3%,85.1%,85.6%,85.8%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
04/2015,4/1/2015,5/1/2015,69.8%,87.7%,89.4%,90.2%,91.1%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%
05/2015,5/1/2015,6/1/2015,61.0%,86.9%,88.6%,90.0%,90.7%,94.1%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
06/2015,6/1/2015,7/1/2015,44.1%,88.2%,90.9%,92.6%,93.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
07/2015,7/1/2015,8/1/2015,66.1%,85.8%,88.2%,90.3%,91.4%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%
08/2015,8/1/2015,9/1/2015,56.4%,89.3%,92.3%,93.9%,94.8%,96.9%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
09/2015,9/1/2015,10/1/2015,52.0%,87.9%,90.1%,91.6%,92.3%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
10/2015,10/1/2015,11/1/2015,55.2%,89.2%,89.8%,90.3%,90.7%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
11/2015,11/1/2015,12/1/2015,61.6%,85.3%,86.3%,87.0%,87.7%,89.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
12/2015,12/1/2015,1/1/2016,54.1%,92.2%,92.5%,92.9%,93.3%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%
01/2016,1/1/2016,2/1/2016,56.9%,88.5%,90.2%,91.7%,92.8%,95.1%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
02/2016,2/1/2016,3/1/2016,50.2%,84.1%,85.5%,86.4%,87.1%,88.9%,90.1%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
03/2016,3/1/2016,4/1/2016,62.7%,84.4%,86.6%,88.0%,89.1%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
04/2016,4/1/2016,5/1/2016,49.8%,79.8%,83.3%,85.0%,86.4%,88.5%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
05/2016,5/1/2016,6/1/2016,38.8%,73.8%,78.0%,79.7%,80.4%,82.1%,83.2%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%
06/2016,6/1/2016,7/1/2016,60.3%,83.2%,84.8%,85.7%,86.3%,88.6%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%
07/2016,7/1/2016,8/1/2016,39.0%,77.2%,81.2%,82.3%,83.1%,85.7%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%
08/2016,8/1/2016,9/1/2016,59.1%,79.7%,83.4%,85.7%,87.1%,92.0%,93.7%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
09/2016,9/1/2016,10/1/2016,77.5%,84.9%,86.0%,86.7%,87.5%,89.7%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
10/2016,10/1/2016,11/1/2016,84.3%,85.9%,86.9%,87.9%,88.9%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%
11/2016,11/1/2016,12/1/2016,88.7%,90.3%,91.1%,91.4%,91.8%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
12/2016,12/1/2016,1/1/2017,81.3%,85.2%,87.1%,88.4%,89.7%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%
01/2017,1/1/2017,2/1/2017,79.3%,83.8%,85.5%,86.6%,87.2%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%
02/2017,2/1/2017,3/1/2017,71.2%,74.0%,75.3%,76.7%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%
03/2017,3/1/2017,4/1/2017,68.1%,70.2%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%
04/2017,4/1/2017,5/1/2017,49.4%,51.9%,54.3%,56.8%,58.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%
05/2017,5/1/2017,6/1/2017,55.9%,58.8%,60.3%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%
06/2017,6/1/2017,7/1/2017,50.0%,56.1%,57.1%,58.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%
07/2017,7/1/2017,8/1/2017,53.4%,58.6%,62.1%,65.5%,67.2%,67.2%,67.2%,67.2%,67.2%,67.2%,67.2%,67.2%,67.2%,67.2%,67.2%
