Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Quarter from 10/2014,10/1/2014,1/1/2015,Red Hat,"Red Hat,Google","Red Hat,Google,SORINT.lab","Red Hat,Google,SORINT.lab,Deis","Red Hat,Google,SORINT.lab,Deis,Facebook","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO","Red Hat,Google,SORINT.lab,Deis,Facebook,Kismatic,Giant Swarm,Virginia Tech,Source{d},Pivotal,Cloudius Systems,AngularClass,Thomson Reuters,Proofpoint,Gigawatt IO"
Quarter from 01/2015,1/1/2015,4/1/2015,Red Hat,"Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google"
Quarter from 04/2015,4/1/2015,7/1/2015,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
Quarter from 07/2015,7/1/2015,10/1/2015,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode","Kinvolk,Red Hat,Endocode"
Quarter from 10/2015,10/1/2015,1/1/2016,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global","Kinvolk,Red Hat,Aperian Global"
Quarter from 01/2016,1/1/2016,4/1/2016,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat"
Quarter from 04/2016,4/1/2016,7/1/2016,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
Quarter from 07/2016,7/1/2016,10/1/2016,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
Quarter from 10/2016,10/1/2016,1/1/2017,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
Quarter from 01/2017,1/1/2017,4/1/2017,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
Quarter from 04/2017,4/1/2017,7/1/2017,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
Quarter from 07/2017,7/1/2017,10/1/2017,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk","Red Hat,Kinvolk"
Quarter from 10/2017,10/1/2017,1/1/2018,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat"
Quarter from 01/2018,1/1/2018,4/1/2018,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat","Kinvolk,Red Hat"
