Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 10/2014,10/1/2014,1/1/2015,22.9%,31.3%,37.4%,43.1%,47.2%,54.2%,55.3%,55.3%,55.3%,55.3%,55.3%,55.3%,55.3%,55.3%,55.3%
Quarter from 01/2015,1/1/2015,4/1/2015,66.1%,71.8%,76.7%,78.2%,78.6%,79.4%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%
Quarter from 04/2015,4/1/2015,7/1/2015,59.0%,87.6%,89.3%,90.2%,90.7%,92.8%,93.7%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
Quarter from 07/2015,7/1/2015,10/1/2015,51.7%,87.7%,90.2%,91.9%,92.8%,93.7%,94.5%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%
Quarter from 10/2015,10/1/2015,1/1/2016,56.8%,88.8%,89.2%,89.6%,89.9%,90.9%,91.4%,91.9%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%
Quarter from 01/2016,1/1/2016,4/1/2016,55.7%,85.6%,86.8%,87.8%,88.6%,90.8%,91.9%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%
Quarter from 04/2016,4/1/2016,7/1/2016,41.3%,78.3%,81.7%,82.4%,83.1%,84.8%,85.7%,86.3%,86.7%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
Quarter from 07/2016,7/1/2016,10/1/2016,56.9%,80.2%,82.5%,84.0%,85.0%,87.8%,88.8%,89.8%,90.3%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
Quarter from 10/2016,10/1/2016,1/1/2017,85.4%,87.4%,88.2%,88.7%,89.0%,90.7%,91.5%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%
Quarter from 01/2017,1/1/2017,4/1/2017,75.6%,78.9%,80.3%,80.9%,81.6%,83.3%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%
Quarter from 04/2017,4/1/2017,7/1/2017,51.4%,55.1%,56.7%,57.5%,58.3%,60.3%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%
Quarter from 07/2017,7/1/2017,10/1/2017,40.2%,69.3%,73.0%,74.6%,75.7%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%
Quarter from 10/2017,10/1/2017,1/1/2018,66.3%,78.1%,79.8%,80.3%,80.9%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%
Quarter from 01/2018,1/1/2018,4/1/2018,61.8%,75.5%,77.5%,78.4%,79.4%,80.4%,80.4%,80.4%,80.4%,80.4%,80.4%,80.4%,80.4%,80.4%,80.4%
