Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 10/2014,10/1/2014,1/1/2015,1,2,2,2,3,6,6,6,8,9,12,15,15,15,15
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,2,4,5,5,6,8,14,14,14,14,14
Quarter from 04/2015,4/1/2015,7/1/2015,1,2,2,2,2,3,5,8,9,12,17,18,18,18,18
Quarter from 07/2015,7/1/2015,10/1/2015,1,2,2,2,2,4,5,5,7,10,15,19,19,19,19
Quarter from 10/2015,10/1/2015,1/1/2016,1,2,2,2,2,2,3,5,6,6,14,21,21,21,21
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,2,2,2,3,5,7,9,10,15,20,20,20,20
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,2,2,2,3,4,5,7,9,17,27,27,27,27
Quarter from 07/2016,7/1/2016,10/1/2016,1,1,2,2,2,3,5,7,7,10,19,28,28,28,28
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,1,1,1,3,4,6,7,10,16,20,20,20,20
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,1,1,1,2,3,4,5,5,12,12,12,12,12
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,1,1,1,2,3,3,5,6,12,12,12,12,12
Quarter from 07/2017,7/1/2017,10/1/2017,1,2,2,2,2,3,6,7,7,8,8,8,8,8,8
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,2,2,2,3,4,7,7,7,7,7,7,7,7
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,2,2,2,3,4,6,6,6,6,6,6,6,6
