Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 10/2014,10/1/2014,1/1/2015,15.9%,23.8%,31.3%,37.4%,43.1%,63.3%,75.7%,82.8%,87.1%,90.0%,95.7%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,35.7%,51.2%,63.5%,75.1%,80.9%,91.1%,94.0%,95.7%,96.9%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,37.1%,53.7%,63.7%,71.9%,77.7%,87.6%,91.4%,93.8%,95.6%,96.7%,99.2%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,27.1%,47.7%,60.5%,69.9%,75.2%,86.2%,91.2%,93.6%,94.9%,95.9%,98.6%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,22.8%,41.5%,59.8%,72.9%,77.6%,90.7%,92.9%,94.3%,95.4%,96.4%,98.8%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,27.9%,45.7%,63.0%,71.3%,75.5%,83.4%,86.6%,88.8%,90.6%,92.1%,96.2%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,19.8%,34.8%,48.3%,58.3%,67.1%,82.9%,87.2%,90.2%,92.3%,93.6%,96.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,18.6%,36.2%,51.9%,58.0%,63.1%,78.1%,84.0%,88.0%,90.4%,92.0%,96.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,32.1%,56.2%,68.7%,75.6%,80.8%,85.4%,88.2%,90.2%,91.8%,93.4%,97.2%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,41.1%,51.8%,59.2%,65.6%,68.6%,79.3%,83.6%,87.0%,90.3%,92.3%,99.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,32.0%,40.5%,46.2%,51.4%,56.3%,75.7%,82.6%,86.6%,89.9%,91.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,29.6%,52.4%,58.7%,63.0%,67.2%,81.0%,86.8%,90.5%,93.1%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,61.8%,69.7%,73.6%,77.0%,80.3%,87.6%,92.1%,94.9%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,58.8%,63.7%,67.6%,71.6%,74.5%,84.3%,89.2%,94.1%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
