Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,11/8/2016,1/29/2018,51.2%,52.3%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%,52.5%
Since joining CNCF,1/29/2018,4/17/2018,53.5%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%
2016,11/8/2016,1/1/2017,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%,40.9%
2017,1/1/2017,1/1/2018,53.4%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%
2018,1/1/2018,4/17/2018,52.1%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%
11/2016,11/1/2016,12/1/2016,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%,37.5%
12/2016,12/1/2016,1/1/2017,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
01/2017,1/1/2017,2/1/2017,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%
02/2017,2/1/2017,3/1/2017,57.9%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%
03/2017,3/1/2017,4/1/2017,53.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%,60.5%
04/2017,4/1/2017,5/1/2017,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%
05/2017,5/1/2017,6/1/2017,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%
06/2017,6/1/2017,7/1/2017,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%,54.3%
07/2017,7/1/2017,8/1/2017,18.4%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%
08/2017,8/1/2017,9/1/2017,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%
09/2017,9/1/2017,10/1/2017,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%
10/2017,10/1/2017,11/1/2017,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%,55.1%
11/2017,11/1/2017,12/1/2017,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%
12/2017,12/1/2017,1/1/2018,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%,59.1%
01/2018,1/1/2018,2/1/2018,43.5%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
02/2018,2/1/2018,3/1/2018,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%,53.1%
03/2018,3/1/2018,4/1/2018,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%,61.8%
04/2018,4/1/2018,5/1/2018,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%
Quarter from 10/2016,10/1/2016,1/1/2017,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%,44.4%
Quarter from 01/2017,1/1/2017,4/1/2017,56.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%,61.6%
Quarter from 04/2017,4/1/2017,7/1/2017,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%,65.1%
Quarter from 07/2017,7/1/2017,10/1/2017,39.7%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%,41.3%
Quarter from 10/2017,10/1/2017,1/1/2018,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%,56.9%
Quarter from 01/2018,1/1/2018,4/1/2018,50.8%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%,53.9%
