Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,11/8/2016,1/29/2018,31.3%,51.2%,69.4%,73.8%,78.1%,86.3%,90.1%,92.0%,93.2%,94.1%,96.5%,98.9%,100.0%,100.0%,100.0%
Since joining CNCF,1/29/2018,4/17/2018,23.6%,46.8%,58.6%,61.7%,64.2%,72.9%,78.3%,82.4%,85.7%,88.2%,94.0%,100.0%,100.0%,100.0%,100.0%
2016,11/8/2016,1/1/2017,32.9%,58.0%,80.7%,86.9%,92.1%,98.3%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,31.6%,50.0%,68.4%,73.5%,78.6%,86.7%,90.3%,92.0%,93.2%,94.2%,96.8%,99.2%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,28.5%,47.2%,59.5%,62.8%,66.0%,73.8%,79.0%,83.1%,86.0%,88.1%,94.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,41.4%,62.9%,74.8%,85.2%,91.4%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,33.0%,64.3%,88.2%,92.3%,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,40.5%,78.6%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,40.7%,65.1%,78.3%,86.2%,91.5%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,32.1%,51.6%,69.7%,77.8%,81.4%,92.3%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,32.1%,57.3%,76.3%,81.3%,84.7%,93.5%,97.7%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,37.2%,55.2%,70.9%,81.4%,84.3%,91.3%,94.2%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,32.4%,60.3%,70.8%,76.7%,79.9%,86.8%,92.2%,95.4%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,34.9%,51.0%,64.6%,75.5%,81.2%,93.8%,96.9%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
