Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
11/2016,11/1/2016,12/1/2016,Quantum,"Quantum,LinkedIn","Quantum,LinkedIn,Google","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat","Quantum,LinkedIn,Google,Red Hat"
12/2016,12/1/2016,1/1/2017,Quantum,"Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs","Quantum,Morphlabs"
01/2017,1/1/2017,2/1/2017,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum,Quantum
02/2017,2/1/2017,3/1/2017,Quantum,"Quantum,HPE","Quantum,HPE,Zubrod Farms","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech","Quantum,HPE,Zubrod Farms,Virginia Tech"
03/2017,3/1/2017,4/1/2017,Quantum,"Quantum,HPE","Quantum,HPE,Zubrod Farms","Quantum,HPE,Zubrod Farms,Walt Disney","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat"
04/2017,4/1/2017,5/1/2017,Quantum,"Quantum,HPE","Quantum,HPE,Zubrod Farms","Quantum,HPE,Zubrod Farms,Morphlabs","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall","Quantum,HPE,Zubrod Farms,Morphlabs,Ben Hall"
05/2017,5/1/2017,6/1/2017,Quantum,"Quantum,Greenqloud","Quantum,Greenqloud,quaponatech","Quantum,Greenqloud,quaponatech,HPE","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs","Quantum,Greenqloud,quaponatech,HPE,Zubrod Farms,Morphlabs"
06/2017,6/1/2017,7/1/2017,Quantum,"Quantum,Zubrod Farms","Quantum,Zubrod Farms,HPE","Quantum,Zubrod Farms,HPE,Rackspace","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs","Quantum,Zubrod Farms,HPE,Rackspace,Ben Hall,Information Technology Institute,inetss,Blackwood Seven,Morphlabs"
07/2017,7/1/2017,8/1/2017,Quantum,"Quantum,HPE","Quantum,HPE,Information Technology Institute","Quantum,HPE,Information Technology Institute,Zubrod Farms","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++","Quantum,HPE,Information Technology Institute,Zubrod Farms,Luminis,sb++"
08/2017,8/1/2017,9/1/2017,Quantum,"Quantum,sb++","Quantum,sb++,inwinSTACK","Quantum,sb++,inwinSTACK,HPE","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs","Quantum,sb++,inwinSTACK,HPE,Morphlabs"
09/2017,9/1/2017,10/1/2017,Quantum,"Quantum,sb++","Quantum,sb++,HPE","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic","Quantum,sb++,HPE,Zenzic"
10/2017,10/1/2017,11/1/2017,Quantum,"Quantum,HPE","Quantum,HPE,sb++","Quantum,HPE,sb++,Smartsheet","Quantum,HPE,sb++,Smartsheet,TripAdvisor","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler","Quantum,HPE,sb++,Smartsheet,TripAdvisor,Daimler"
11/2017,11/1/2017,12/1/2017,Quantum,"Quantum,HPE","Quantum,HPE,sb++","Quantum,HPE,sb++,TripAdvisor","Quantum,HPE,sb++,TripAdvisor,Skilld","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics","Quantum,HPE,sb++,TripAdvisor,Skilld,UPMC,ApresMIDI AB,IBM,StackPointCloud,Teletronics"
12/2017,12/1/2017,1/1/2018,Quantum,"Quantum,HPE","Quantum,HPE,Red Hat","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++","Quantum,HPE,Red Hat,sb++"
01/2018,1/1/2018,2/1/2018,Quantum,"Quantum,sb++","Quantum,sb++,CNCF","Quantum,sb++,CNCF,HPE","Quantum,sb++,CNCF,HPE,Ghostcloud","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat","Quantum,sb++,CNCF,HPE,Ghostcloud,Red Hat"
02/2018,2/1/2018,3/1/2018,Quantum,"Quantum,Red Hat","Quantum,Red Hat,indiehosters","Quantum,Red Hat,indiehosters,HPE","Quantum,Red Hat,indiehosters,HPE,sb++","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud","Quantum,Red Hat,indiehosters,HPE,sb++,Skilld,PLUMgrid,Ghostcloud"
