ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2016-11-08T00:00:00Z,2018-01-29T00:00:00Z,Before joining CNCF,447,3407,769,1329,1309,3822,3118,139,12,117,60,44,165,30,3,27,16,13,33,7.621923937360179,1.720357941834452,2.9731543624161074,2.9284116331096195,8.550335570469798,6.975391498881431,"travisn,bassamtabbara,jbw976,kokhang,dangula,quantum-build,ilovett,galexrt,DanKerns,jpds,thephred,marioava,DoubleDensity,aramisjohnson,luxas,bzub,dab-q,beatlejuse,leseb,christianhuening","Quantum,HPE,sb++,Zubrod Farms,Red Hat",5,3133,91.9577340769004990,"Quantum,HPE,sb++,Zubrod Farms,Red Hat,Morphlabs,Information Technology Institute,TripAdvisor,CNCF,Skilld,UPMC,Smartsheet,Ben Hall,inwinSTACK,LinkedIn,Rackspace,Greenqloud,Google,StackPointCloud,Blackwood Seven",1972,57.8808335779277957,"travisn,bassamtabbara,jbw976,quantum-build,ilovett,kokhang,thephred,DanKerns,DoubleDensity,dab-q,caniszczyk,marioava","Quantum,HPE,CNCF",3,769,100.0000000000000000,"Quantum,HPE,CNCF",404,52.5357607282184655,"travisn,jbw976,bassamtabbara,dangula,kokhang,jpds,DanKerns,galexrt,luxas,bzub,thephred,DoubleDensity,beatlejuse,aramisjohnson,AceHack,leseb,lorenz,hunter,valentin2105,Abdelsalam-Abbas","Quantum,HPE,sb++,Zubrod Farms,Red Hat,Morphlabs,Information Technology Institute",7,1152,86.6817155756207675,"Quantum,HPE,sb++,Zubrod Farms,Red Hat,Information Technology Institute,Morphlabs,Ben Hall,Greenqloud,CNCF,TripAdvisor,Skilld,Rackspace,Luminis,ApresMIDI AB,Zenzic,Walt Disney,IBM,inetss,Google",780,58.6907449209932280,"travisn,bassamtabbara,jbw976,dangula,kokhang,galexrt,marioava,ilovett,DanKerns,thephred,aramisjohnson,DoubleDensity,dab-q,paha,dgonzalezruiz,mrahbar,christianhuening,hacor,luxas,stevesloka","Quantum,HPE,sb++,UPMC",4,1250,95.4927425515660810,"Quantum,HPE,sb++,Red Hat,TripAdvisor,UPMC,Morphlabs,Smartsheet,Skilld,Zubrod Farms,LinkedIn,quaponatech,Teletronics,CNCF,Google,inwinSTACK",791,60.4278074866310160,"travisn,jbw976,kokhang,bassamtabbara,dangula,galexrt,thephred,aramisjohnson,paha,dab-q,ilovett,DanKerns,bzub,leseb,hacor,phsiao,hunter,dgonzalezruiz,luxas,christianhuening","Quantum,HPE,sb++,Zubrod Farms,Red Hat,TripAdvisor,Morphlabs",7,3775,98.7702773417059131,"Quantum,HPE,sb++,Red Hat,Zubrod Farms,TripAdvisor,Morphlabs,Rackspace,Skilld,Smartsheet,Foursquare,Inviqa,IBM",2976,77.8649921507064364,"travisn,jbw976,bassamtabbara,kokhang,galexrt,jpds,bzub,luxas,dangula,hunter,beatlejuse,DanKerns,leseb,matejc,AceHack,lorenz,DoubleDensity,debianmaster,dimm0,jefflaplante","Quantum,HPE,sb++,Zubrod Farms,Morphlabs,Red Hat",6,2686,86.1449647209749840,"Quantum,HPE,sb++,Zubrod Farms,Red Hat,Morphlabs,Skilld,TripAdvisor,Daimler,Information Technology Institute,Walt Disney,Rackspace,Smartsheet,PNNL,inetss,Sykehuspartner,StackPointCloud,IBM,Google,SUSE",1906,61.1289288005131495
2,2018-01-29T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,78,483,99,170,214,395,634,79,6,60,37,21,99,12,2,11,8,6,17,6.1923076923076925,1.2692307692307692,2.1794871794871793,2.7435897435897436,5.064102564102564,8.128205128205128,"travisn,jbw976,bassamtabbara,jenkins-rook,brettjacobson,quantum-build,galexrt,rootfs,dimm0,chenhonggc,pierreozoux,dgonzalezruiz,dmick,hacor,Pensu,leseb,christopherhein,ichekrygin,TimJones,caniszczyk","Quantum,sb++,Red Hat,Ghostcloud,indiehosters,CNCF",6,398,82.4016563146997930,"Quantum,Red Hat,sb++,Ghostcloud,indiehosters,CNCF,HPE,Skilld,PLUMgrid,Farmers Edge,TripAdvisor,CNAMTS",281,58.1780538302277433,"travisn,jbw976,bassamtabbara,jenkins-rook,quantum-build,caniszczyk","Quantum,CNCF",2,99,100.0000000000000000,"Quantum,CNCF",55,55.5555555555555556,"jbw976,travisn,bassamtabbara,dimm0,beatlejuse,christopherhein,steven-sheehy,galexrt,chenhonggc,f0,bryanlarsen,dgonzalezruiz,rootfs,shamalco,dmick,ITler,vfarcic,tboerger,sysinvader,pierreozoux","Quantum,sb++,Ghostcloud,Red Hat,indiehosters",5,130,76.4705882352941176,"Quantum,Red Hat,sb++,Ghostcloud,CNAMTS,CNCF,Skilld,PLUMgrid,indiehosters,HPE,Farmers Edge",91,53.5294117647058824,"travisn,jbw976,bassamtabbara,brettjacobson,rootfs,pierreozoux,galexrt,chenhonggc,dgonzalezruiz,leseb,Pensu,peter-bitfusion,hacor,peyunco,dmick,OmriShiv,ichekrygin,TimJones,dangula,jcsp","Quantum,Red Hat,indiehosters,sb++,Ghostcloud",5,194,90.6542056074766355,"Quantum,Red Hat,indiehosters,sb++,Ghostcloud,HPE,CNCF,TripAdvisor",135,63.0841121495327103,"travisn,jbw976,galexrt,leseb,rootfs,kokhang,bassamtabbara,dmick,caitlinbestler,dyusupov,hacor,rohan47,kron4eg,hunter,ichekrygin,dgonzalezruiz,enisoc,jcsp,TimJones,mxey","Quantum,sb++,Red Hat,HPE,Morphlabs,Google",6,394,99.7468354430379747,"Quantum,Red Hat,sb++,HPE,Morphlabs,Google",350,88.6075949367088608,"jbw976,travisn,galexrt,bassamtabbara,kokhang,leseb,beatlejuse,dmick,rootfs,dimm0,hacor,TimJones,christianhuening,caitlinbestler,lorenz,pierreozoux,dgonzalezruiz,patrickstjohn,ichekrygin,kilsoo75","Quantum,sb++,HPE,Red Hat,indiehosters",5,495,78.0757097791798107,"Quantum,Red Hat,sb++,HPE,indiehosters,Morphlabs,Ghostcloud,CNCF,PNNL,Skilld,Daimler,Foursquare,PROMEDIO,TripAdvisor,TalkingData,CNAMTS,Smartsheet",382,60.2523659305993691
1001,2016-11-08T00:00:00Z,2017-01-01T00:00:00Z,2016,54,419,115,159,145,243,157,16,7,12,12,7,11,5,1,5,3,1,3,7.7592592592592595,2.1296296296296298,2.9444444444444446,2.685185185185185,4.5,2.9074074074074074,"bassamtabbara,travisn,jbw976,DoubleDensity,DanKerns,thephred,marioava,dab-q,hunter,kamalmarhubi,buptmiao,charudut,zachlatta,larsholowko,philips,dclausen","Quantum,Morphlabs,Google,LinkedIn,Red Hat",5,419,100.0000000000000000,"Quantum,Morphlabs,Google,LinkedIn,Red Hat",207,49.4033412887828162,"bassamtabbara,travisn,jbw976,DanKerns,DoubleDensity,thephred,dab-q",Quantum,1,115,100.0000000000000000,Quantum,47,40.8695652173913043,"jbw976,bassamtabbara,travisn,DoubleDensity,DanKerns,thephred,hunter,kamalmarhubi,buptmiao,philips,charudut,zachlatta","Quantum,Morphlabs,Google,LinkedIn,Red Hat",5,159,100.0000000000000000,"Quantum,Morphlabs,Google,Red Hat,LinkedIn",91,57.2327044025157233,"bassamtabbara,travisn,jbw976,DanKerns,DoubleDensity,marioava,thephred,dab-q,dclausen,buptmiao,larsholowko,kamalmarhubi","Quantum,LinkedIn,Google",3,145,100.0000000000000000,"Quantum,Google,LinkedIn",69,47.5862068965517241,"travisn,jbw976,bassamtabbara,thephred,larsholowko,dab-q,DoubleDensity",Quantum,1,243,100.0000000000000000,Quantum,168,69.1358024691358025,"bassamtabbara,travisn,jbw976,DoubleDensity,hunter,charudut,thephred,DanKerns,larsholowko,zachlatta,buptmiao","Quantum,Morphlabs,LinkedIn",3,157,100.0000000000000000,"Quantum,Morphlabs,LinkedIn",80,50.9554140127388535
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,2772,607,1086,1079,3361,2681,121,10,103,52,37,144,27,2,24,13,12,29,7.594520547945206,1.663013698630137,2.9753424657534246,2.956164383561644,9.208219178082192,7.345205479452055,"travisn,bassamtabbara,jbw976,dangula,kokhang,quantum-build,ilovett,galexrt,jpds,DanKerns,marioava,aramisjohnson,thephred,luxas,bzub,dab-q,AceHack,leseb,beatlejuse,paha","Quantum,HPE,sb++,Zubrod Farms,Red Hat",5,2550,91.9913419913419913,"Quantum,HPE,sb++,Zubrod Farms,Red Hat,Information Technology Institute,Morphlabs,TripAdvisor,Skilld,Smartsheet,Ben Hall,UPMC,Rackspace,Greenqloud,inwinSTACK,quaponatech,ApresMIDI AB,Blackwood Seven,Daimler,IBM",1635,58.9826839826839827,"travisn,bassamtabbara,jbw976,quantum-build,ilovett,kokhang,thephred,DanKerns,marioava,dab-q","Quantum,HPE",2,607,100.0000000000000000,"Quantum,HPE",332,54.6952224052718287,"travisn,jbw976,bassamtabbara,dangula,kokhang,jpds,DanKerns,bzub,luxas,galexrt,aramisjohnson,AceHack,beatlejuse,leseb,thephred,dimm0,Abdelsalam-Abbas,valentin2105,sajal,dylanjohnsonsfo","Quantum,HPE,Zubrod Farms,sb++,Red Hat,Information Technology Institute",6,945,87.0165745856353591,"Quantum,HPE,Zubrod Farms,sb++,Red Hat,Information Technology Institute,Morphlabs,Ben Hall,Skilld,Greenqloud,Rackspace,TripAdvisor,ApresMIDI AB,Zenzic,Walt Disney,Virginia Tech,StackPointCloud,Smartsheet,Luminis,inwinSTACK",645,59.3922651933701657,"travisn,bassamtabbara,jbw976,dangula,kokhang,galexrt,marioava,ilovett,aramisjohnson,thephred,DanKerns,paha,dab-q,dgonzalezruiz,mrahbar,stevesloka,hacor,weekface,phsiao,blingwang","Quantum,HPE,sb++,UPMC,TripAdvisor",5,1034,95.8294717330861909,"Quantum,HPE,sb++,TripAdvisor,UPMC,Zubrod Farms,Smartsheet,Skilld,Morphlabs,Teletronics,inwinSTACK,quaponatech,Red Hat",661,61.2604263206672845,"travisn,jbw976,kokhang,bassamtabbara,dangula,galexrt,aramisjohnson,thephred,paha,dab-q,ilovett,DanKerns,bzub,hacor,phsiao,hunter,dgonzalezruiz,luxas,jamiehannaford,mrahbar","Quantum,HPE,sb++,Zubrod Farms,TripAdvisor,Morphlabs,Rackspace",7,3337,99.2859268074977685,"Quantum,HPE,sb++,Zubrod Farms,TripAdvisor,Morphlabs,Rackspace,Skilld,Smartsheet,Red Hat,Inviqa,IBM",2635,78.3992859268074978,"travisn,jbw976,bassamtabbara,kokhang,galexrt,bzub,jpds,luxas,dangula,DanKerns,hunter,beatlejuse,matejc,AceHack,debianmaster,lorenz,dimm0,jefflaplante,dgonzalezruiz,leseb","Quantum,HPE,sb++,Zubrod Farms,Morphlabs,Red Hat",6,2332,86.9824692279000373,"Quantum,HPE,sb++,Zubrod Farms,Morphlabs,Red Hat,TripAdvisor,Skilld,Daimler,Information Technology Institute,Walt Disney,Rackspace,Sykehuspartner,Smartsheet,inetss,PNNL,IBM,StackPointCloud,Inviqa,UPMC",1660,61.9171950764640060
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,699,146,254,299,613,914,92,7,72,42,28,119,12,2,11,8,7,19,6.59433962264151,1.3773584905660377,2.3962264150943398,2.8207547169811322,5.783018867924528,8.622641509433961,"travisn,jbw976,bassamtabbara,galexrt,quantum-build,jenkins-rook,brettjacobson,kokhang,caniszczyk,rootfs,dgonzalezruiz,christianhuening,chenhonggc,pierreozoux,dimm0,dangula,beatlejuse,dmick,TimJones,leseb","Quantum,sb++,HPE,CNCF,Red Hat,Ghostcloud,indiehosters",7,581,83.1187410586552217,"Quantum,Red Hat,sb++,HPE,CNCF,Ghostcloud,indiehosters,TripAdvisor,Skilld,PLUMgrid,Farmers Edge,CNAMTS",414,59.2274678111587983,"travisn,jbw976,bassamtabbara,quantum-build,jenkins-rook,caniszczyk,ilovett","Quantum,CNCF",2,146,100.0000000000000000,"Quantum,CNCF",80,54.7945205479452055,"travisn,jbw976,bassamtabbara,galexrt,dimm0,beatlejuse,kokhang,christianhuening,caniszczyk,jpds,steven-sheehy,patrickstjohn,dmick,christopherhein,TimJones,chenhonggc,ITler,dgonzalezruiz,albp,BlaineEXE","Quantum,sb++,HPE,CNCF,Red Hat,Ghostcloud",6,192,75.5905511811023622,"Quantum,sb++,HPE,Red Hat,CNCF,Ghostcloud,PLUMgrid,indiehosters,Skilld,CNAMTS,Farmers Edge",138,54.3307086614173228,"travisn,jbw976,bassamtabbara,galexrt,brettjacobson,rootfs,pierreozoux,dgonzalezruiz,leseb,chenhonggc,kokhang,Pensu,dangula,OmriShiv,TimJones,ichekrygin,christianhuening,dmick,peter-bitfusion,hacor","Quantum,sb++,Red Hat,indiehosters,Ghostcloud,HPE",6,270,90.3010033444816054,"Quantum,Red Hat,sb++,indiehosters,Ghostcloud,HPE,CNCF,TripAdvisor",196,65.5518394648829431,"travisn,jbw976,galexrt,kokhang,leseb,bassamtabbara,rootfs,dangula,dmick,caitlinbestler,christianhuening,dyusupov,hacor,rohan47,liewegas,kron4eg,dgonzalezruiz,hunter,ichekrygin,jcsp","Quantum,sb++,HPE,Red Hat,Morphlabs",5,603,98.3686786296900489,"Quantum,Red Hat,sb++,HPE,Morphlabs,Google,Foursquare",523,85.3181076672104405,"travisn,jbw976,bassamtabbara,kokhang,galexrt,leseb,beatlejuse,hacor,TimJones,dmick,rootfs,dimm0,christianhuening,lorenz,caitlinbestler,liewegas,dgonzalezruiz,patrickstjohn,pierreozoux,BlaineEXE","Quantum,HPE,sb++,Red Hat,indiehosters",5,722,78.9934354485776805,"Quantum,Red Hat,HPE,sb++,indiehosters,Morphlabs,Ghostcloud,Skilld,CNCF,PNNL,Google,SUSE,Foursquare,Smartsheet,Daimler,PROMEDIO,CNAMTS,TripAdvisor,TalkingData",552,60.3938730853391685
2001,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,11/2016,30,210,56,77,77,95,62,13,6,11,10,5,9,4,1,4,3,1,3,7,1.8666666666666667,2.566666666666667,2.566666666666667,3.1666666666666665,2.066666666666667,"bassamtabbara,travisn,DoubleDensity,jbw976,DanKerns,thephred,marioava,kamalmarhubi,buptmiao,dclausen,charudut,zachlatta,philips","Quantum,Google,LinkedIn,Red Hat",4,210,100.0000000000000000,"Quantum,LinkedIn,Google,Red Hat",72,34.2857142857142857,"bassamtabbara,travisn,DoubleDensity,DanKerns,jbw976,thephred",Quantum,1,56,100.0000000000000000,Quantum,21,37.5000000000000000,"bassamtabbara,jbw976,DoubleDensity,travisn,thephred,DanKerns,charudut,zachlatta,buptmiao,philips,kamalmarhubi","Quantum,LinkedIn,Red Hat,Google",4,77,100.0000000000000000,"Quantum,Red Hat,Google,LinkedIn",27,35.0649350649350649,"bassamtabbara,travisn,DoubleDensity,DanKerns,jbw976,thephred,marioava,buptmiao,kamalmarhubi,dclausen","Quantum,LinkedIn,Google",3,77,100.0000000000000000,"Quantum,LinkedIn,Google",24,31.1688311688311688,"travisn,bassamtabbara,jbw976,DoubleDensity,thephred",Quantum,1,95,100.0000000000000000,Quantum,66,69.4736842105263158,"bassamtabbara,DoubleDensity,jbw976,travisn,hunter,charudut,DanKerns,buptmiao,zachlatta","Quantum,Morphlabs,LinkedIn",3,62,100.0000000000000000,"Quantum,Morphlabs,LinkedIn",21,33.8709677419354839
2002,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,12/2016,31,221,68,82,71,151,95,10,6,7,8,6,7,2,1,2,1,1,2,7.129032258064516,2.193548387096774,2.6451612903225805,2.2903225806451615,4.870967741935484,3.064516129032258,"jbw976,travisn,bassamtabbara,DanKerns,marioava,thephred,dab-q,hunter,larsholowko,DoubleDensity","Quantum,Morphlabs",2,221,100.0000000000000000,"Quantum,Morphlabs",144,65.1583710407239819,"bassamtabbara,travisn,jbw976,dab-q,thephred,DanKerns",Quantum,1,68,100.0000000000000000,Quantum,34,50.0000000000000000,"jbw976,travisn,bassamtabbara,DanKerns,hunter,DoubleDensity,thephred","Quantum,Morphlabs",2,82,100.0000000000000000,"Quantum,Morphlabs",64,78.0487804878048780,"jbw976,travisn,bassamtabbara,marioava,DanKerns,thephred,dab-q,larsholowko",Quantum,1,71,100.0000000000000000,Quantum,46,64.7887323943661972,"jbw976,travisn,thephred,bassamtabbara,larsholowko,dab-q",Quantum,1,151,100.0000000000000000,Quantum,102,67.5496688741721854,"travisn,bassamtabbara,jbw976,hunter,thephred,larsholowko,DanKerns","Quantum,Morphlabs",2,95,100.0000000000000000,"Quantum,Morphlabs",59,62.1052631578947368
2003,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,01/2017,31,84,18,39,27,21,32,4,3,4,3,3,5,1,1,1,1,1,2,2.7096774193548385,0.5806451612903226,1.2580645161290323,0.8709677419354839,0.6774193548387096,1.032258064516129,"travisn,jbw976,bassamtabbara,DanKerns",Quantum,1,84,100.0000000000000000,Quantum,66,78.5714285714285714,"bassamtabbara,travisn,jbw976",Quantum,1,18,100.0000000000000000,Quantum,11,61.1111111111111111,"jbw976,travisn,bassamtabbara,DanKerns",Quantum,1,39,100.0000000000000000,Quantum,34,87.1794871794871795,"travisn,jbw976,bassamtabbara",Quantum,1,27,100.0000000000000000,Quantum,21,77.7777777777777778,"jbw976,travisn,bassamtabbara",Quantum,1,21,100.0000000000000000,Quantum,20,95.2380952380952381,"travisn,jbw976,bassamtabbara,DanKerns,kokhang","Quantum,HPE",2,32,100.0000000000000000,"Quantum,HPE",22,68.7500000000000000
2004,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,02/2017,28,189,38,86,65,305,120,11,5,10,8,9,10,4,2,4,2,3,4,6.75,1.3571428571428572,3.0714285714285716,2.3214285714285716,10.892857142857142,4.285714285714286,"travisn,jbw976,bassamtabbara,thephred,kokhang,DanKerns,weekface,bzub,poppap,oskca,jason-riddle","Quantum,HPE,Zubrod Farms,Virginia Tech",4,189,100.0000000000000000,"Quantum,HPE,Zubrod Farms,Virginia Tech",138,73.0158730158730159,"travisn,bassamtabbara,jbw976,thephred,kokhang","Quantum,HPE",2,38,100.0000000000000000,"Quantum,HPE",24,63.1578947368421053,"travisn,jbw976,bassamtabbara,kokhang,bzub,thephred,DanKerns,weekface,jason-riddle,oskca","Quantum,HPE,Zubrod Farms,Virginia Tech",4,86,100.0000000000000000,"Quantum,HPE,Zubrod Farms,Virginia Tech",68,79.0697674418604651,"travisn,jbw976,thephred,bassamtabbara,weekface,kokhang,DanKerns,poppap","Quantum,HPE",2,65,100.0000000000000000,"Quantum,HPE",46,70.7692307692307692,"travisn,jbw976,kokhang,thephred,bassamtabbara,DanKerns,bzub,weekface,Dave-Suzuki","Quantum,HPE,Zubrod Farms",3,305,100.0000000000000000,"Quantum,HPE,Zubrod Farms",242,79.3442622950819672,"travisn,bassamtabbara,jbw976,bzub,hunter,kokhang,weekface,DanKerns,oskca,thephred","Quantum,Zubrod Farms,Morphlabs,HPE",4,120,100.0000000000000000,"Quantum,Zubrod Farms,HPE,Morphlabs",85,70.8333333333333333
2005,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,03/2017,31,221,43,84,94,265,172,19,7,14,13,9,17,5,2,5,2,3,5,7.129032258064516,1.3870967741935485,2.7096774193548385,3.032258064516129,8.548387096774194,5.548387096774194,"travisn,jbw976,bassamtabbara,kokhang,DanKerns,luxas,aramisjohnson,bzub,dab-q,marioava,dimm0,blingwang,ksingh7,valentin2105,sajal,rothgar,thephred,DoubleDensity,gaurav36","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat",5,221,100.0000000000000000,"Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat",138,62.4434389140271493,"travisn,bassamtabbara,jbw976,kokhang,marioava,dab-q,DanKerns","Quantum,HPE",2,43,100.0000000000000000,"Quantum,HPE",26,60.4651162790697674,"travisn,jbw976,bassamtabbara,kokhang,luxas,dimm0,DanKerns,bzub,aramisjohnson,sajal,valentin2105,rothgar,dab-q,gaurav36","Quantum,HPE,Zubrod Farms,Walt Disney,Red Hat",5,84,100.0000000000000000,"Quantum,HPE,Zubrod Farms,Red Hat,Walt Disney",52,61.9047619047619048,"travisn,jbw976,bassamtabbara,kokhang,blingwang,marioava,DanKerns,ksingh7,luxas,aramisjohnson,dab-q,thephred,DoubleDensity","Quantum,HPE",2,94,100.0000000000000000,"Quantum,HPE",60,63.8297872340425532,"jbw976,travisn,kokhang,bassamtabbara,thephred,dab-q,DanKerns,DoubleDensity,bzub","Quantum,HPE,Zubrod Farms",3,265,100.0000000000000000,"Quantum,HPE,Zubrod Farms",214,80.7547169811320755,"travisn,bassamtabbara,jbw976,kokhang,bzub,luxas,DanKerns,dimm0,dab-q,rothgar,valentin2105,hunter,jpiper,josephjacks,sajal,ksingh7,danielfaulknor","Quantum,HPE,Zubrod Farms,Walt Disney,Morphlabs",5,172,100.0000000000000000,"Quantum,HPE,Zubrod Farms,Walt Disney,Morphlabs",107,62.2093023255813953
