Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,8/23/2017,3/29/2018,62.1%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%,62.6%
Since joining CNCF,3/29/2018,4/17/2018,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
2017,8/23/2017,1/1/2018,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%,73.2%
2018,1/1/2018,4/17/2018,40.0%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%,41.5%
08/2017,8/1/2017,9/1/2017,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%,39.4%
09/2017,9/1/2017,10/1/2017,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%
10/2017,10/1/2017,11/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%
12/2017,12/1/2017,1/1/2018,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%
01/2018,1/1/2018,2/1/2018,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%,31.0%
02/2018,2/1/2018,3/1/2018,38.5%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%,42.3%
03/2018,3/1/2018,4/1/2018,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%
04/2018,4/1/2018,5/1/2018,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
Quarter from 07/2017,7/1/2017,10/1/2017,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%
Quarter from 10/2017,10/1/2017,1/1/2018,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%
Quarter from 01/2018,1/1/2018,4/1/2018,36.7%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%
