Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,8/23/2017,3/29/2018,0.6%,1.3%,1.7%,1.9%,2.2%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%
Since joining CNCF,3/29/2018,4/17/2018,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%,9.7%
2017,8/23/2017,1/1/2018,0.9%,1.3%,1.6%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%
2018,1/1/2018,4/17/2018,2.8%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%
08/2017,8/1/2017,9/1/2017,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%
09/2017,9/1/2017,10/1/2017,,,,,,,,,,,,,,,
10/2017,10/1/2017,11/1/2017,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%
11/2017,11/1/2017,12/1/2017,3.1%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%
12/2017,12/1/2017,1/1/2018,,,,,,,,,,,,,,,
01/2018,1/1/2018,2/1/2018,,,,,,,,,,,,,,,
02/2018,2/1/2018,3/1/2018,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%
03/2018,3/1/2018,4/1/2018,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%
04/2018,4/1/2018,5/1/2018,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%
Quarter from 07/2017,7/1/2017,10/1/2017,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%
Quarter from 10/2017,10/1/2017,1/1/2018,1.3%,1.8%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%
Quarter from 01/2018,1/1/2018,4/1/2018,2.5%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%,4.4%
