Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,8/23/2017,3/29/2018,Scytale,"Scytale,UnitedHealth","Scytale,UnitedHealth,Google","Scytale,UnitedHealth,Google,CNCF","Scytale,UnitedHealth,Google,CNCF,Cisco","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker","Scytale,UnitedHealth,Google,CNCF,Cisco,VMware,x-ion,Docker"
Since joining CNCF,3/29/2018,4/17/2018,Scytale,"Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF","Scytale,CNCF"
2017,8/23/2017,1/1/2018,Scytale,"Scytale,UnitedHealth","Scytale,UnitedHealth,Docker","Scytale,UnitedHealth,Docker,VMware","Scytale,UnitedHealth,Docker,VMware,x-ion","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco","Scytale,UnitedHealth,Docker,VMware,x-ion,Cisco"
2018,1/1/2018,4/17/2018,Scytale,"Scytale,CNCF","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google","Scytale,CNCF,Google"
08/2017,8/1/2017,9/1/2017,Scytale,"Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco","Scytale,Cisco"
09/2017,9/1/2017,10/1/2017,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
10/2017,10/1/2017,11/1/2017,Scytale,"Scytale,UnitedHealth","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion","Scytale,UnitedHealth,x-ion"
11/2017,11/1/2017,12/1/2017,Scytale,"Scytale,Docker","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware","Scytale,Docker,VMware"
12/2017,12/1/2017,1/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
01/2018,1/1/2018,2/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
02/2018,2/1/2018,3/1/2018,Scytale,"Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google","Scytale,Google"
