ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2017-08-23T00:00:00Z,2018-03-29T00:00:00Z,Before joining CNCF,218,463,195,60,208,118,90,25,12,14,20,16,25,6,1,2,5,4,5,2.123853211009174,0.8944954128440367,0.27522935779816515,0.9541284403669725,0.5412844036697247,0.41284403669724773,"drrt,evan2645",,0,270,58.3153347732181425,"UnitedHealth,Google",6,1.2958963282937365,"drrt,walmav",,0,105,53.8461538461538462,Google,1,0.51282051282051282051,"drrt,evan2645",,0,26,43.3333333333333333,"UnitedHealth,CNCF",4,6.6666666666666667,"drrt,evan2645",,0,140,67.3076923076923077,"Google,VMware",3,1.4423076923076923,"evan2645,ajessup",,0,79,66.9491525423728814,"Google,Heptio",9,7.6271186440677966,"evan2645,rra",,0,27,30.0000000000000000,"Docker,Google",7,7.7777777777777778
2,2018-03-29T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,19,31,8,8,15,7,6,8,4,4,8,3,5,1,0,1,1,0,1,1.631578947368421,0.42105263157894735,0.42105263157894735,0.7894736842105263,0.3684210526315789,0.3157894736842105,"drrt,evan2645",,0,16,51.6129032258064516,CNCF,3,9.6774193548387097,"drrt,evan2645",,0,6,75.0000000000000000,,,,"amartinezfayo,drrt",,0,4,50.0000000000000000,CNCF,2,25.0000000000000000,"evan2645,MarcosDY",,0,6,40.0000000000000000,CNCF,1,6.6666666666666667,"MarcosDY,drrt",,0,5,71.4285714285714286,,,,"evan2645,ajessup",,0,3,50.0000000000000000,CNCF,1,16.6666666666666667
1001,2017-08-23T00:00:00Z,2018-01-01T00:00:00Z,2017,131,318,138,36,144,66,62,18,9,7,17,14,18,4,0,1,4,4,3,2.427480916030534,1.0534351145038168,0.2748091603053435,1.099236641221374,0.5038167938931297,0.4732824427480916,"drrt,evan2645",,0,209,65.7232704402515723,"UnitedHealth,Cisco",4,1.2578616352201258,"drrt,evan2645",,0,85,61.5942028985507246,,,,"drrt,ajessup",,0,21,58.3333333333333333,UnitedHealth,2,5.5555555555555556,"drrt,evan2645",,0,103,71.5277777777777778,"UnitedHealth,Docker",2,1.3888888888888889,"evan2645,ajessup",,0,43,65.1515151515151515,"Heptio,Google",3,4.5454545454545455,"evan2645,rra",,0,22,35.4838709677419355,"Docker,Cisco",4,6.4516129032258065
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,176,65,32,79,59,34,16,10,12,12,7,15,2,1,1,2,1,3,1.6603773584905661,0.6132075471698113,0.3018867924528302,0.7452830188679245,0.5566037735849056,0.32075471698113206,"drrt,evan2645",,0,77,43.7500000000000000,"CNCF,Google",8,4.5454545454545455,"drrt,walmav",,0,32,49.2307692307692308,Google,1,1.5384615384615385,"evan2645,paul-argeniss",,0,9,28.1250000000000000,CNCF,4,12.5000000000000000,"drrt,evan2645",,0,43,54.4303797468354430,"Google,CNCF",3,3.7974683544303797,"evan2645,MarcosDY",,0,42,71.1864406779661017,Google,6,10.1694915254237288,"evan2645,ajessup",,0,13,38.2352941176470588,"Google,CNCF",6,17.6470588235294118
2001,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,08/2017,31,53,33,7,13,9,17,9,6,3,6,4,7,1,0,0,1,0,0,1.7096774193548387,1.064516129032258,0.22580645161290322,0.41935483870967744,0.2903225806451613,0.5483870967741935,"suniljames,drrt",,0,25,47.1698113207547170,Cisco,1,1.8867924528301887,"suniljames,drrt",,0,23,69.6969696969696970,,,,"briansmith,ajessup",,0,6,85.7142857142857143,,,,"briansmith,drrt",,0,7,53.8461538461538462,Cisco,1,7.6923076923076923,"evan2645,amartinezfayo",,0,6,66.6666666666666667,,,,"rra,briansmith",,0,11,64.7058823529411765,,,
2002,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,09/2017,30,39,21,6,12,7,17,7,5,3,4,3,5,0,0,0,0,0,0,1.3,0.7,0.2,0.4,0.23333333333333334,0.5666666666666667,"evan2645,drrt",,0,25,64.1025641025641026,,,,"drrt,evan2645",,0,12,57.1428571428571429,,,,"evan2645,paul-argeniss",,0,5,83.3333333333333333,,,,"evan2645,drrt",,0,10,83.3333333333333333,,,,"evan2645,amartinezfayo",,0,6,85.7142857142857143,,,,"evan2645,dudedad",,0,13,76.4705882352941176,,,
2003,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,10/2017,31,122,47,15,60,10,8,7,3,2,7,5,6,1,0,1,1,2,1,3.935483870967742,1.5161290322580645,0.4838709677419355,1.935483870967742,0.3225806451612903,0.25806451612903225,"drrt,evan2645",,0,110,90.1639344262295082,UnitedHealth,3,2.4590163934426230,"drrt,evan2645",,0,42,89.3617021276595745,,,,"drrt,PeterLamar",UnitedHealth,1,15,100.0000000000000000,UnitedHealth,2,13.3333333333333333,"drrt,evan2645",,0,55,91.6666666666666667,UnitedHealth,1,1.6666666666666667,"evan2645,mattmoyer",Heptio,1,7,70.0000000000000000,"Heptio,Google",3,30.0000000000000000,"drrt,y2bishop2y",,0,4,50.0000000000000000,Heptio,1,12.5000000000000000
2004,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,11/2017,30,32,10,1,21,27,9,9,4,1,9,7,5,2,0,0,2,1,1,1.0666666666666667,0.3333333333333333,0.03333333333333333,0.7,0.9,0.3,"drrt,evan2645",,0,19,59.3750000000000000,"Docker,VMware",2,6.2500000000000000,"drrt,evan2645",,0,7,70.0000000000000000,,,,drrt,,0,1,100.0000000000000000,,,,"evan2645,drrt",,0,11,52.3809523809523810,"VMware,Docker",2,9.5238095238095238,"evan2645,pragashj",,0,21,77.7777777777777778,Docker,1,3.7037037037037037,"kunzimariano,drrt",,0,4,44.4444444444444444,Docker,2,22.2222222222222222
2005,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,12/2017,31,72,27,7,38,13,11,7,4,4,5,5,8,0,0,0,0,1,2,2.3225806451612905,0.8709677419354839,0.22580645161290322,1.2258064516129032,0.41935483870967744,0.3548387096774194,"drrt,walmav",,0,58,80.5555555555555556,,,,"drrt,walmav",,0,23,85.1851851851851852,,,,"ajessup,drrt",,0,5,71.4285714285714286,,,,"drrt,walmav",,0,33,86.8421052631578947,,,,"ajessup,walmav",,0,10,76.9230769230769231,Red Hat,1,7.6923076923076923,"evan2645,Preskton",,0,5,45.4545454545454545,"Docker,Cisco",2,18.1818181818181818
2006,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,01/2018,31,60,29,3,28,34,10,7,5,2,6,3,5,0,0,0,0,0,2,1.935483870967742,0.9354838709677419,0.0967741935483871,0.9032258064516129,1.096774193548387,0.3225806451612903,"drrt,walmav",,0,33,55.0000000000000000,,,,"walmav,drrt",,0,19,65.5172413793103448,,,,"paul-argeniss,ajessup",,0,3,100.0000000000000000,,,,"drrt,paul-argeniss",,0,18,64.2857142857142857,,,,"evan2645,walmav",,0,33,97.0588235294117647,,,,"ajessup,justinburke",Google,1,7,70.0000000000000000,"Google,Docker",3,30.0000000000000000
2007,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,02/2018,28,71,26,15,30,0,15,12,10,8,7,0,9,1,1,0,1,0,1,2.5357142857142856,0.9285714285714286,0.5357142857142857,1.0714285714285714,0,0.5357142857142857,"evan2645,drrt",,0,31,43.6619718309859155,Google,3,4.2253521126760563,"martincapello,drrt",,0,12,46.1538461538461538,Google,1,3.8461538461538462,"y2bishop2y,paul-argeniss",,0,6,40.0000000000000000,,,,"drrt,evan2645",,0,20,66.6666666666666667,Google,2,6.6666666666666667,,,,,,,,,"evan2645,banks",,0,8,53.3333333333333333,Google,1,6.6666666666666667
2008,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,03/2018,31,28,5,9,14,19,8,9,3,4,7,4,4,1,0,1,1,1,1,0.9032258064516129,0.16129032258064516,0.2903225806451613,0.45161290322580644,0.6129032258064516,0.25806451612903225,"evan2645,caniszczyk",CNCF,1,14,50.0000000000000000,CNCF,4,14.2857142857142857,"evan2645,walmav",,0,4,80.0000000000000000,,,,"caniszczyk,evan2645",CNCF,1,6,66.6666666666666667,CNCF,3,33.3333333333333333,"evan2645,ajessup",,0,7,50.0000000000000000,CNCF,1,7.1428571428571429,"justinburke,evan2645",Google,1,12,63.1578947368421053,Google,6,31.5789473684210526,"caniszczyk,evan2645",CNCF,1,5,62.5000000000000000,CNCF,3,37.5000000000000000
2009,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,04/2018,30,17,5,5,7,6,1,4,2,3,3,3,1,1,0,1,0,0,0,0.5666666666666667,0.16666666666666666,0.16666666666666666,0.23333333333333334,0.2,0.03333333333333333,"drrt,MarcosDY",,0,13,76.4705882352941176,CNCF,1,5.8823529411764706,"drrt,MarcosDY",,0,5,100.0000000000000000,,,,"drrt,amartinezfayo",,0,4,80.0000000000000000,CNCF,1,20.0000000000000000,"drrt,MarcosDY",,0,6,85.7142857142857143,,,,"MarcosDY,drrt",,0,5,83.3333333333333333,,,,amartinezfayo,,0,1,100.0000000000000000,,,
3001,2017-07-01T00:00:00Z,2017-10-01T00:00:00Z,Quarter from 07/2017,92,92,54,13,25,16,34,10,7,4,8,5,10,1,0,0,1,0,0,1,0.5869565217391305,0.14130434782608695,0.2717391304347826,0.17391304347826086,0.3695652173913043,"drrt,suniljames",,0,40,43.4782608695652174,Cisco,1,1.0869565217391304,"suniljames,drrt",,0,33,61.1111111111111111,,,,"briansmith,evan2645",,0,9,69.2307692307692308,,,,"drrt,evan2645",,0,12,48.0000000000000000,Cisco,1,4.0000000000000000,"evan2645,amartinezfayo",,0,12,75.0000000000000000,,,,"evan2645,rra",,0,17,50.0000000000000000,,,
