Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,9/28/2017,3/29/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
Since joining CNCF,3/29/2018,4/17/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
2017,9/28/2017,1/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
2018,1/1/2018,4/17/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
09/2017,9/1/2017,10/1/2017,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
10/2017,10/1/2017,11/1/2017,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
11/2017,11/1/2017,12/1/2017,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
12/2017,12/1/2017,1/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
01/2018,1/1/2018,2/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
02/2018,2/1/2018,3/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
03/2018,3/1/2018,4/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
04/2018,4/1/2018,5/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
Quarter from 07/2017,7/1/2017,10/1/2017,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
Quarter from 10/2017,10/1/2017,1/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
Quarter from 01/2018,1/1/2018,4/1/2018,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale,Scytale
