Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,9/28/2017,3/29/2018,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
Since joining CNCF,3/29/2018,4/17/2018,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
2017,9/28/2017,1/1/2018,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%,70.5%
2018,1/1/2018,4/17/2018,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%
09/2017,9/1/2017,10/1/2017,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
10/2017,10/1/2017,11/1/2017,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
11/2017,11/1/2017,12/1/2017,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%,58.8%
12/2017,12/1/2017,1/1/2018,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
01/2018,1/1/2018,2/1/2018,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
02/2018,2/1/2018,3/1/2018,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
03/2018,3/1/2018,4/1/2018,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%
04/2018,4/1/2018,5/1/2018,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%
Quarter from 07/2017,7/1/2017,10/1/2017,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
Quarter from 10/2017,10/1/2017,1/1/2018,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%,71.2%
Quarter from 01/2018,1/1/2018,4/1/2018,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
