Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,9/28/2017,3/29/2018,64.2%,64.4%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%
Since joining CNCF,3/29/2018,4/17/2018,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%
2017,9/28/2017,1/1/2018,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%
2018,1/1/2018,4/17/2018,72.7%,73.0%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%,73.4%
09/2017,9/1/2017,10/1/2017,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%
10/2017,10/1/2017,11/1/2017,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%
11/2017,11/1/2017,12/1/2017,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%,50.6%
12/2017,12/1/2017,1/1/2018,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%
01/2018,1/1/2018,2/1/2018,62.5%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%
02/2018,2/1/2018,3/1/2018,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
03/2018,3/1/2018,4/1/2018,68.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%
04/2018,4/1/2018,5/1/2018,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%
Quarter from 07/2017,7/1/2017,10/1/2017,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%
Quarter from 10/2017,10/1/2017,1/1/2018,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%,60.4%
Quarter from 01/2018,1/1/2018,4/1/2018,73.6%,74.1%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%
