Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/2/2014,10/24/2017,77.4%,78.1%,78.3%,78.4%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%
Since joining CNCF,10/24/2017,4/17/2018,93.4%,94.4%,95.2%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
2014,1/2/2014,1/1/2015,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%
2015,1/1/2015,1/1/2016,70.1%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%,70.9%
2016,1/1/2016,1/1/2017,63.5%,65.1%,65.5%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%
2017,1/1/2017,1/1/2018,89.3%,89.8%,89.9%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
2018,1/1/2018,4/17/2018,92.9%,94.5%,95.5%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
01/2014,1/1/2014,2/1/2014,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%
02/2014,2/1/2014,3/1/2014,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%
03/2014,3/1/2014,4/1/2014,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%
04/2014,4/1/2014,5/1/2014,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%
05/2014,5/1/2014,6/1/2014,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%
06/2014,6/1/2014,7/1/2014,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%
07/2014,7/1/2014,8/1/2014,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%
