Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,1/2/2014,10/24/2017,NYU,"NYU,Red Hat","NYU,Red Hat,CNCF","NYU,Red Hat,CNCF,Huawei","NYU,Red Hat,CNCF,Huawei,IBM","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker","NYU,Red Hat,CNCF,Huawei,IBM,Docker"
Since joining CNCF,10/24/2017,4/17/2018,NYU,"NYU,Docker","NYU,Docker,CNCF","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei"
2014,1/2/2014,1/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
2015,1/1/2015,1/1/2016,NYU,"NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat"
2016,1/1/2016,1/1/2017,NYU,"NYU,Red Hat","NYU,Red Hat,Huawei","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker","NYU,Red Hat,Huawei,Docker"
2017,1/1/2017,1/1/2018,NYU,"NYU,CNCF","NYU,CNCF,Red Hat","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM","NYU,CNCF,Red Hat,IBM"
2018,1/1/2018,4/17/2018,NYU,"NYU,Docker","NYU,Docker,CNCF","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei","NYU,Docker,CNCF,Huawei"
01/2014,1/1/2014,2/1/2014,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
02/2014,2/1/2014,3/1/2014,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
03/2014,3/1/2014,4/1/2014,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
