Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Before joining CNCF,1/2/2014,10/24/2017,1,1,1,1,1,2,2,3,3,4,6,6,6,6,6
Since joining CNCF,10/24/2017,4/17/2018,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2014,1/2/2014,1/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,1/1/2015,1/1/2016,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
2016,1/1/2016,1/1/2017,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4
2017,1/1/2017,1/1/2018,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4
2018,1/1/2018,4/17/2018,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4
01/2014,1/1/2014,2/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/2014,2/1/2014,3/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03/2014,3/1/2014,4/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2014,4/1/2014,5/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/2014,5/1/2014,6/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06/2014,6/1/2014,7/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2014,7/1/2014,8/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08/2014,8/1/2014,9/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09/2014,9/1/2014,10/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2014,10/1/2014,11/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/2014,11/1/2014,12/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2014,12/1/2014,1/1/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/2015,1/1/2015,2/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/2015,2/1/2015,3/1/2015,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
03/2015,3/1/2015,4/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2015,4/1/2015,5/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/2015,5/1/2015,6/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06/2015,6/1/2015,7/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2015,7/1/2015,8/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08/2015,8/1/2015,9/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09/2015,9/1/2015,10/1/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2015,10/1/2015,11/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/2015,11/1/2015,12/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2015,12/1/2015,1/1/2016,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01/2016,1/1/2016,2/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/2016,2/1/2016,3/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03/2016,3/1/2016,4/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2016,4/1/2016,5/1/2016,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/2016,5/1/2016,6/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06/2016,6/1/2016,7/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2016,7/1/2016,8/1/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08/2016,8/1/2016,9/1/2016,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
09/2016,9/1/2016,10/1/2016,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
10/2016,10/1/2016,11/1/2016,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
11/2016,11/1/2016,12/1/2016,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
12/2016,12/1/2016,1/1/2017,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
01/2017,1/1/2017,2/1/2017,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
